family_id,universe_id,period_id,locked_support_pass,open_support_pass,contrast_evaluable,locked_mean_24h,open_mean_24h,locked_minus_open_mean_24h,contrast_pass
STALE_PEAK_FRESH_DECAY,C2,ROBUSTNESS_2022,False,True,False,-0.01570808551350773,-0.006272950925197729,-0.00943513458831,False
STALE_PEAK_FRESH_DECAY,C2,ROBUSTNESS_2023,True,True,True,0.004294370427422679,0.004457934421972065,-0.0001635639945493858,True
STALE_PEAK_FRESH_DECAY,D2,ROBUSTNESS_2022,False,True,False,-0.01570808551350773,-0.006272950925197729,-0.00943513458831,False
STALE_PEAK_FRESH_DECAY,D2,ROBUSTNESS_2023,True,True,True,0.0031150590354707005,0.01058458185735969,-0.007469522821888988,True
STALE_PEAK_FRESH_DECAY,E2,ROBUSTNESS_2022,False,True,False,-0.01570808551350773,-0.006272950925197729,-0.00943513458831,False
STALE_PEAK_FRESH_DECAY,E2,ROBUSTNESS_2023,True,True,True,0.004924409554567569,0.00819120952958391,-0.00326679997501634,True
PERSISTENT_LOWER_HIGH_GIVEBACK,C2,ROBUSTNESS_2022,False,True,False,-0.026918808350769582,-0.0034926813790288266,-0.023426126971740756,False
PERSISTENT_LOWER_HIGH_GIVEBACK,C2,ROBUSTNESS_2023,True,True,True,0.004187839429740646,0.006142365288211778,-0.0019545258584711313,True
PERSISTENT_LOWER_HIGH_GIVEBACK,D2,ROBUSTNESS_2022,False,True,False,-0.026918808350769582,-0.0034926813790288266,-0.023426126971740756,False
PERSISTENT_LOWER_HIGH_GIVEBACK,D2,ROBUSTNESS_2023,True,True,True,0.0004256683846443084,0.015495949223790755,-0.015070280839146447,True
PERSISTENT_LOWER_HIGH_GIVEBACK,E2,ROBUSTNESS_2022,False,True,False,-0.026918808350769582,-0.0034926813790288266,-0.023426126971740756,False
PERSISTENT_LOWER_HIGH_GIVEBACK,E2,ROBUSTNESS_2023,True,True,True,0.0057278646367859105,0.014011771080246144,-0.008283906443460234,True
TROUGH_RECOVERY_FAILURE,C2,ROBUSTNESS_2022,False,True,False,-0.013009783280777138,-0.00047830476273149567,-0.012531478518045643,False
TROUGH_RECOVERY_FAILURE,C2,ROBUSTNESS_2023,True,True,True,0.006087794406698885,0.008136621715436963,-0.002048827308738078,True
TROUGH_RECOVERY_FAILURE,D2,ROBUSTNESS_2022,False,True,False,-0.013009783280777138,-0.00047830476273149567,-0.012531478518045643,False
TROUGH_RECOVERY_FAILURE,D2,ROBUSTNESS_2023,True,True,True,0.005303237441031892,0.012349327538356734,-0.007046090097324842,True
TROUGH_RECOVERY_FAILURE,E2,ROBUSTNESS_2022,False,True,False,-0.013009783280777138,-0.00047830476273149567,-0.012531478518045643,False
TROUGH_RECOVERY_FAILURE,E2,ROBUSTNESS_2023,True,True,True,0.0069190769168057204,0.011792522805829004,-0.0048734458890232835,True
