pair,period_start,period_end_exclusive,expected_clock_hour_count,observed_valid_count,zero_activity_during_known_halt_count,missing_count,data_completeness_class_for_present_rows,zero_activity_inferred_from_flat_ohlc,imputation_used,forward_fill_used,backfill_used,synthetic_bar_used
ADA-USDT,2022-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,17520,17520,0,0,OBSERVED_VALID,False,False,False,False,False
ATOM-USDT,2022-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,17520,17520,0,0,OBSERVED_VALID,False,False,False,False,False
AVAX-USDT,2022-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,17520,17520,0,0,OBSERVED_VALID,False,False,False,False,False
BTC-USDT,2022-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,17520,17520,0,0,OBSERVED_VALID,False,False,False,False,False
DOGE-USDT,2022-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,17520,17520,0,0,OBSERVED_VALID,False,False,False,False,False
ETH-USDT,2022-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,17520,17520,0,0,OBSERVED_VALID,False,False,False,False,False
GRAM-USDT,2022-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,17520,10333,0,7187,OBSERVED_VALID,False,False,False,False,False
INJ-USDT,2022-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,17520,17520,0,0,OBSERVED_VALID,False,False,False,False,False
KAS-USDT,2022-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,17520,5749,0,11771,OBSERVED_VALID,False,False,False,False,False
LINK-USDT,2022-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,17520,17520,0,0,OBSERVED_VALID,False,False,False,False,False
LTC-USDT,2022-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,17520,17520,0,0,OBSERVED_VALID,False,False,False,False,False
LUNC-USDT,2022-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,17520,14022,0,3498,OBSERVED_VALID,False,False,False,False,False
OP-USDT,2022-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,17520,13902,0,3618,OBSERVED_VALID,False,False,False,False,False
SHIB-USDT,2022-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,17520,17520,0,0,OBSERVED_VALID,False,False,False,False,False
SOL-USDT,2022-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,17520,17520,0,0,OBSERVED_VALID,False,False,False,False,False
XMR-USDT,2022-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,17520,17520,0,0,OBSERVED_VALID,False,False,False,False,False
XRP-USDT,2022-01-01 00:00:00+00:00,2024-01-01 00:00:00+00:00,17520,17520,0,0,OBSERVED_VALID,False,False,False,False,False
