event_id,family_id,lane_id,control_trade_id,universe_id,period_id,pair,decision_time,governor_state,horizon_hours,exit_time,entry_open,exit_open,forward_return
8,FAST_POST_PEAK_RECLAIM_CONTROL,OPEN_OR_CAUTION,344,E2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 02:00:00+00:00,OPEN,48,2022-02-19 02:00:00+00:00,28.7478,27.1562,-0.05536423656766787
9,FAST_POST_PEAK_RECLAIM_CONTROL,GLOBAL,3,C2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 04:00:00+00:00,OPEN,6,2022-02-17 10:00:00+00:00,29.035,30.156,0.0386085758567245
9,FAST_POST_PEAK_RECLAIM_CONTROL,GLOBAL,3,C2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 04:00:00+00:00,OPEN,24,2022-02-18 04:00:00+00:00,29.035,28.3438,-0.023805751679008003
9,FAST_POST_PEAK_RECLAIM_CONTROL,GLOBAL,3,C2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 04:00:00+00:00,OPEN,48,2022-02-19 04:00:00+00:00,29.035,27.3259,-0.05886344067504734
12,FAST_POST_PEAK_RECLAIM_CONTROL,GLOBAL,172,D2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 04:00:00+00:00,OPEN,6,2022-02-17 10:00:00+00:00,29.035,30.156,0.0386085758567245
12,FAST_POST_PEAK_RECLAIM_CONTROL,GLOBAL,172,D2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 04:00:00+00:00,OPEN,24,2022-02-18 04:00:00+00:00,29.035,28.3438,-0.023805751679008003
12,FAST_POST_PEAK_RECLAIM_CONTROL,GLOBAL,172,D2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 04:00:00+00:00,OPEN,48,2022-02-19 04:00:00+00:00,29.035,27.3259,-0.05886344067504734
15,FAST_POST_PEAK_RECLAIM_CONTROL,GLOBAL,344,E2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 04:00:00+00:00,OPEN,6,2022-02-17 10:00:00+00:00,29.035,30.156,0.0386085758567245
15,FAST_POST_PEAK_RECLAIM_CONTROL,GLOBAL,344,E2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 04:00:00+00:00,OPEN,24,2022-02-18 04:00:00+00:00,29.035,28.3438,-0.023805751679008003
15,FAST_POST_PEAK_RECLAIM_CONTROL,GLOBAL,344,E2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 04:00:00+00:00,OPEN,48,2022-02-19 04:00:00+00:00,29.035,27.3259,-0.05886344067504734
10,FAST_POST_PEAK_RECLAIM_CONTROL,OPEN,3,C2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 04:00:00+00:00,OPEN,6,2022-02-17 10:00:00+00:00,29.035,30.156,0.0386085758567245
10,FAST_POST_PEAK_RECLAIM_CONTROL,OPEN,3,C2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 04:00:00+00:00,OPEN,24,2022-02-18 04:00:00+00:00,29.035,28.3438,-0.023805751679008003
10,FAST_POST_PEAK_RECLAIM_CONTROL,OPEN,3,C2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 04:00:00+00:00,OPEN,48,2022-02-19 04:00:00+00:00,29.035,27.3259,-0.05886344067504734
13,FAST_POST_PEAK_RECLAIM_CONTROL,OPEN,172,D2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 04:00:00+00:00,OPEN,6,2022-02-17 10:00:00+00:00,29.035,30.156,0.0386085758567245
13,FAST_POST_PEAK_RECLAIM_CONTROL,OPEN,172,D2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 04:00:00+00:00,OPEN,24,2022-02-18 04:00:00+00:00,29.035,28.3438,-0.023805751679008003
13,FAST_POST_PEAK_RECLAIM_CONTROL,OPEN,172,D2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 04:00:00+00:00,OPEN,48,2022-02-19 04:00:00+00:00,29.035,27.3259,-0.05886344067504734
16,FAST_POST_PEAK_RECLAIM_CONTROL,OPEN,344,E2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 04:00:00+00:00,OPEN,6,2022-02-17 10:00:00+00:00,29.035,30.156,0.0386085758567245
16,FAST_POST_PEAK_RECLAIM_CONTROL,OPEN,344,E2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 04:00:00+00:00,OPEN,24,2022-02-18 04:00:00+00:00,29.035,28.3438,-0.023805751679008003
16,FAST_POST_PEAK_RECLAIM_CONTROL,OPEN,344,E2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 04:00:00+00:00,OPEN,48,2022-02-19 04:00:00+00:00,29.035,27.3259,-0.05886344067504734
11,FAST_POST_PEAK_RECLAIM_CONTROL,OPEN_OR_CAUTION,3,C2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 04:00:00+00:00,OPEN,6,2022-02-17 10:00:00+00:00,29.035,30.156,0.0386085758567245
11,FAST_POST_PEAK_RECLAIM_CONTROL,OPEN_OR_CAUTION,3,C2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 04:00:00+00:00,OPEN,24,2022-02-18 04:00:00+00:00,29.035,28.3438,-0.023805751679008003
11,FAST_POST_PEAK_RECLAIM_CONTROL,OPEN_OR_CAUTION,3,C2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 04:00:00+00:00,OPEN,48,2022-02-19 04:00:00+00:00,29.035,27.3259,-0.05886344067504734
14,FAST_POST_PEAK_RECLAIM_CONTROL,OPEN_OR_CAUTION,172,D2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 04:00:00+00:00,OPEN,6,2022-02-17 10:00:00+00:00,29.035,30.156,0.0386085758567245
14,FAST_POST_PEAK_RECLAIM_CONTROL,OPEN_OR_CAUTION,172,D2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 04:00:00+00:00,OPEN,24,2022-02-18 04:00:00+00:00,29.035,28.3438,-0.023805751679008003
14,FAST_POST_PEAK_RECLAIM_CONTROL,OPEN_OR_CAUTION,172,D2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 04:00:00+00:00,OPEN,48,2022-02-19 04:00:00+00:00,29.035,27.3259,-0.05886344067504734
17,FAST_POST_PEAK_RECLAIM_CONTROL,OPEN_OR_CAUTION,344,E2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 04:00:00+00:00,OPEN,6,2022-02-17 10:00:00+00:00,29.035,30.156,0.0386085758567245
17,FAST_POST_PEAK_RECLAIM_CONTROL,OPEN_OR_CAUTION,344,E2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 04:00:00+00:00,OPEN,24,2022-02-18 04:00:00+00:00,29.035,28.3438,-0.023805751679008003
17,FAST_POST_PEAK_RECLAIM_CONTROL,OPEN_OR_CAUTION,344,E2,ROBUSTNESS_2022,ATOM-USDT,2022-02-17 04:00:00+00:00,OPEN,48,2022-02-19 04:00:00+00:00,29.035,27.3259,-0.05886344067504734
18,PERSISTENT_LOWER_HIGH_GIVEBACK,GLOBAL,7,C2,ROBUSTNESS_2022,AVAX-USDT,2022-02-17 15:00:00+00:00,OPEN,6,2022-02-17 21:00:00+00:00,91.326,88.295,-0.03318879618071513
18,PERSISTENT_LOWER_HIGH_GIVEBACK,GLOBAL,7,C2,ROBUSTNESS_2022,AVAX-USDT,2022-02-17 15:00:00+00:00,OPEN,24,2022-02-18 15:00:00+00:00,91.326,86.105,-0.05716882377417154
18,PERSISTENT_LOWER_HIGH_GIVEBACK,GLOBAL,7,C2,ROBUSTNESS_2022,AVAX-USDT,2022-02-17 15:00:00+00:00,OPEN,48,2022-02-19 15:00:00+00:00,91.326,83.195,-0.0890326960558877
24,PERSISTENT_LOWER_HIGH_GIVEBACK,GLOBAL,176,D2,ROBUSTNESS_2022,AVAX-USDT,2022-02-17 15:00:00+00:00,OPEN,6,2022-02-17 21:00:00+00:00,91.326,88.295,-0.03318879618071513
