family_id,global_qualified_universes_2022,global_qualified_universes_2023,global_reversed_universes_2022,global_reversed_universes_2023,global_qualified,locked_qualified_universes_2022,locked_qualified_universes_2023,locked_negative_qualified,locked_vs_open_contrast_passes_2022,locked_vs_open_contrast_passes_2023,locked_vs_open_contrast_qualified,locked_conditioned_qualified,regime_direction_reversal_pattern,advancing_modes,advances_to_action_mapping,failed_family_rescue_used,sensitivity_merge_used_for_qualification,winner_selection_used,threshold_optimization_used,parameter_search_used
STALE_PEAK_FRESH_DECAY,3,0,0,0,False,0,0,False,0,3,False,False,False,,False,False,False,False,False,False
PERSISTENT_LOWER_HIGH_GIVEBACK,0,0,0,3,False,0,0,False,0,3,False,False,False,,False,False,False,False,False,False
TROUGH_RECOVERY_FAILURE,3,0,0,3,False,0,0,False,0,3,False,False,True,,False,False,False,False,False,False
