family_id,expected_direction,lane_id,universe_id,period_id,horizon_hours,event_count,trade_count,pair_count,signal_day_count,markout_count,mean_forward_return,median_forward_return,positive_share,lopo_worst_directional_mean,support_pass,cell_outcome,expected_direction_pass,reversed_direction
STALE_PEAK_FRESH_DECAY,NEGATIVE,GLOBAL,C2,ROBUSTNESS_2022,24,66,18,7,22,66,-0.004756750333564559,-0.013105251037822174,0.3787878787878788,-0.0029122225742505624,True,QUALIFIED_EXPECTED_DIRECTION,True,False
STALE_PEAK_FRESH_DECAY,NEGATIVE,GLOBAL,C2,ROBUSTNESS_2023,24,224,45,10,81,224,0.0009374536282684604,-0.0030309777003684757,0.42857142857142855,0.0026701587307056828,True,NO_DIRECTIONAL_EDGE,False,False
STALE_PEAK_FRESH_DECAY,NEGATIVE,GLOBAL,D2,ROBUSTNESS_2022,24,66,18,7,22,66,-0.004756750333564559,-0.013105251037822174,0.3787878787878788,-0.0029122225742505624,True,QUALIFIED_EXPECTED_DIRECTION,True,False
STALE_PEAK_FRESH_DECAY,NEGATIVE,GLOBAL,D2,ROBUSTNESS_2023,24,219,46,11,87,219,0.005237581158163576,-0.001233915036136124,0.4611872146118721,0.007754928498247354,True,NO_DIRECTIONAL_EDGE,False,False
STALE_PEAK_FRESH_DECAY,NEGATIVE,GLOBAL,E2,ROBUSTNESS_2022,24,66,18,7,22,66,-0.004756750333564559,-0.013105251037822174,0.3787878787878788,-0.0029122225742505624,True,QUALIFIED_EXPECTED_DIRECTION,True,False
STALE_PEAK_FRESH_DECAY,NEGATIVE,GLOBAL,E2,ROBUSTNESS_2023,24,215,45,11,80,215,0.0035267678015757187,-0.0028455043012669545,0.4372093023255814,0.005733711084088854,True,NO_DIRECTIONAL_EDGE,False,False
STALE_PEAK_FRESH_DECAY,NEGATIVE,LOCKED,C2,ROBUSTNESS_2022,24,5,4,4,5,5,-0.01570808551350773,-0.04219257122250286,0.4,-0.006736962696100357,False,INSUFFICIENT_SUPPORT,False,False
STALE_PEAK_FRESH_DECAY,NEGATIVE,LOCKED,C2,ROBUSTNESS_2023,24,57,23,7,30,57,0.004294370427422679,-0.0005343307507347239,0.49122807017543857,0.0067683087668648475,True,NO_DIRECTIONAL_EDGE,False,False
STALE_PEAK_FRESH_DECAY,NEGATIVE,LOCKED,D2,ROBUSTNESS_2022,24,5,4,4,5,5,-0.01570808551350773,-0.04219257122250286,0.4,-0.006736962696100357,False,INSUFFICIENT_SUPPORT,False,False
STALE_PEAK_FRESH_DECAY,NEGATIVE,LOCKED,D2,ROBUSTNESS_2023,24,62,25,9,34,62,0.0031150590354707005,-0.0005513531666598848,0.4838709677419355,0.006743778535163155,True,NO_DIRECTIONAL_EDGE,False,False
STALE_PEAK_FRESH_DECAY,NEGATIVE,LOCKED,E2,ROBUSTNESS_2022,24,5,4,4,5,5,-0.01570808551350773,-0.04219257122250286,0.4,-0.006736962696100357,False,INSUFFICIENT_SUPPORT,False,False
