family_id,lane_id,universe_id,period_id,event_count,trade_count,pair_count,signal_day_count
STALE_PEAK_FRESH_DECAY,GLOBAL,C2,ROBUSTNESS_2022,66,18,7,22
STALE_PEAK_FRESH_DECAY,GLOBAL,C2,ROBUSTNESS_2023,224,45,10,81
STALE_PEAK_FRESH_DECAY,GLOBAL,D2,ROBUSTNESS_2022,66,18,7,22
STALE_PEAK_FRESH_DECAY,GLOBAL,D2,ROBUSTNESS_2023,219,46,11,87
STALE_PEAK_FRESH_DECAY,GLOBAL,E2,ROBUSTNESS_2022,66,18,7,22
STALE_PEAK_FRESH_DECAY,GLOBAL,E2,ROBUSTNESS_2023,215,45,11,80
STALE_PEAK_FRESH_DECAY,LOCKED,C2,ROBUSTNESS_2022,5,4,4,5
STALE_PEAK_FRESH_DECAY,LOCKED,C2,ROBUSTNESS_2023,57,23,7,30
STALE_PEAK_FRESH_DECAY,LOCKED,D2,ROBUSTNESS_2022,5,4,4,5
STALE_PEAK_FRESH_DECAY,LOCKED,D2,ROBUSTNESS_2023,62,25,9,34
STALE_PEAK_FRESH_DECAY,LOCKED,E2,ROBUSTNESS_2022,5,4,4,5
STALE_PEAK_FRESH_DECAY,LOCKED,E2,ROBUSTNESS_2023,58,24,8,30
STALE_PEAK_FRESH_DECAY,OPEN,C2,ROBUSTNESS_2022,61,16,7,18
STALE_PEAK_FRESH_DECAY,OPEN,C2,ROBUSTNESS_2023,131,36,10,53
STALE_PEAK_FRESH_DECAY,OPEN,D2,ROBUSTNESS_2022,61,16,7,18
STALE_PEAK_FRESH_DECAY,OPEN,D2,ROBUSTNESS_2023,128,36,10,56
STALE_PEAK_FRESH_DECAY,OPEN,E2,ROBUSTNESS_2022,61,16,7,18
STALE_PEAK_FRESH_DECAY,OPEN,E2,ROBUSTNESS_2023,119,35,10,49
STALE_PEAK_FRESH_DECAY,CAUTION,C2,ROBUSTNESS_2022,3,3,3,2
STALE_PEAK_FRESH_DECAY,CAUTION,C2,ROBUSTNESS_2023,63,22,10,21
STALE_PEAK_FRESH_DECAY,CAUTION,D2,ROBUSTNESS_2022,3,3,3,2
STALE_PEAK_FRESH_DECAY,CAUTION,D2,ROBUSTNESS_2023,58,25,9,24
STALE_PEAK_FRESH_DECAY,CAUTION,E2,ROBUSTNESS_2022,3,3,3,2
STALE_PEAK_FRESH_DECAY,CAUTION,E2,ROBUSTNESS_2023,68,26,9,25
STALE_PEAK_FRESH_DECAY,CAUTION_OR_LOCKED,C2,ROBUSTNESS_2022,7,5,5,6
STALE_PEAK_FRESH_DECAY,CAUTION_OR_LOCKED,C2,ROBUSTNESS_2023,114,34,10,46
STALE_PEAK_FRESH_DECAY,CAUTION_OR_LOCKED,D2,ROBUSTNESS_2022,7,5,5,6
STALE_PEAK_FRESH_DECAY,CAUTION_OR_LOCKED,D2,ROBUSTNESS_2023,114,36,11,52
STALE_PEAK_FRESH_DECAY,CAUTION_OR_LOCKED,E2,ROBUSTNESS_2022,7,5,5,6
STALE_PEAK_FRESH_DECAY,CAUTION_OR_LOCKED,E2,ROBUSTNESS_2023,120,35,10,49
STALE_PEAK_FRESH_DECAY,OPEN_OR_CAUTION,C2,ROBUSTNESS_2022,63,18,7,19
STALE_PEAK_FRESH_DECAY,OPEN_OR_CAUTION,C2,ROBUSTNESS_2023,182,41,10,66
STALE_PEAK_FRESH_DECAY,OPEN_OR_CAUTION,D2,ROBUSTNESS_2022,63,18,7,19
STALE_PEAK_FRESH_DECAY,OPEN_OR_CAUTION,D2,ROBUSTNESS_2023,173,42,10,71
STALE_PEAK_FRESH_DECAY,OPEN_OR_CAUTION,E2,ROBUSTNESS_2022,63,18,7,19
STALE_PEAK_FRESH_DECAY,OPEN_OR_CAUTION,E2,ROBUSTNESS_2023,172,40,10,64
PERSISTENT_LOWER_HIGH_GIVEBACK,GLOBAL,C2,ROBUSTNESS_2022,86,20,7,24
PERSISTENT_LOWER_HIGH_GIVEBACK,GLOBAL,C2,ROBUSTNESS_2023,231,49,10,87
PERSISTENT_LOWER_HIGH_GIVEBACK,GLOBAL,D2,ROBUSTNESS_2022,86,20,7,24
PERSISTENT_LOWER_HIGH_GIVEBACK,GLOBAL,D2,ROBUSTNESS_2023,235,50,11,90
PERSISTENT_LOWER_HIGH_GIVEBACK,GLOBAL,E2,ROBUSTNESS_2022,86,20,7,24
