universe_id,period_id,eligible_decision_hour_count,evaluable_decision_hour_count,unevaluable_decision_hour_count,evaluable_open_count,evaluable_caution_count,evaluable_locked_count,evaluable_share,missing_path_imputation_used,event_state_preserved_across_unevaluable_gap
C2,ROBUSTNESS_2022,2061,2061,0,1686,70,305,1.0,False,False
C2,ROBUSTNESS_2023,5884,5884,0,3355,1624,905,1.0,False,False
D2,ROBUSTNESS_2022,2061,2061,0,1686,70,305,1.0,False,False
D2,ROBUSTNESS_2023,5887,5887,0,3425,1628,834,1.0,False,False
E2,ROBUSTNESS_2022,2061,2061,0,1686,70,305,1.0,False,False
E2,ROBUSTNESS_2023,5886,5886,0,3268,1732,886,1.0,False,False
