family_id,expected_direction,lane_id,universe_id,period_id,horizon_hours,event_count,trade_count,pair_count,signal_day_count,markout_count,mean_forward_return,median_forward_return,positive_share,lopo_worst_directional_mean
STALE_PEAK_FRESH_DECAY,NEGATIVE,GLOBAL,C2,ROBUSTNESS_2022,6,66,18,7,22,66,-0.0012453456401762591,-0.004034375634331233,0.45454545454545453,6.913775968224781e-05
STALE_PEAK_FRESH_DECAY,NEGATIVE,GLOBAL,C2,ROBUSTNESS_2022,24,66,18,7,22,66,-0.004756750333564559,-0.013105251037822174,0.3787878787878788,-0.0029122225742505624
STALE_PEAK_FRESH_DECAY,NEGATIVE,GLOBAL,C2,ROBUSTNESS_2022,48,53,17,7,18,53,-0.017350621866414295,-0.028301558384293046,0.32075471698113206,-0.009974240023683011
STALE_PEAK_FRESH_DECAY,NEGATIVE,GLOBAL,C2,ROBUSTNESS_2023,6,224,45,10,81,224,0.001971433872531234,0.00038701134551644145,0.5401785714285714,0.0024803632701620184
STALE_PEAK_FRESH_DECAY,NEGATIVE,GLOBAL,C2,ROBUSTNESS_2023,24,224,45,10,81,224,0.0009374536282684604,-0.0030309777003684757,0.42857142857142855,0.0026701587307056828
STALE_PEAK_FRESH_DECAY,NEGATIVE,GLOBAL,C2,ROBUSTNESS_2023,48,154,40,10,60,154,0.005389215913585826,-0.0035438718286303073,0.44805194805194803,0.008441494339053172
STALE_PEAK_FRESH_DECAY,NEGATIVE,GLOBAL,D2,ROBUSTNESS_2022,6,66,18,7,22,66,-0.0012453456401762591,-0.004034375634331233,0.45454545454545453,6.913775968224781e-05
STALE_PEAK_FRESH_DECAY,NEGATIVE,GLOBAL,D2,ROBUSTNESS_2022,24,66,18,7,22,66,-0.004756750333564559,-0.013105251037822174,0.3787878787878788,-0.0029122225742505624
STALE_PEAK_FRESH_DECAY,NEGATIVE,GLOBAL,D2,ROBUSTNESS_2022,48,53,17,7,18,53,-0.017350621866414295,-0.028301558384293046,0.32075471698113206,-0.009974240023683011
STALE_PEAK_FRESH_DECAY,NEGATIVE,GLOBAL,D2,ROBUSTNESS_2023,6,219,46,11,87,219,0.0034944102687051197,0.0014028272364301486,0.5570776255707762,0.004242340298555249
STALE_PEAK_FRESH_DECAY,NEGATIVE,GLOBAL,D2,ROBUSTNESS_2023,24,219,46,11,87,219,0.005237581158163576,-0.001233915036136124,0.4611872146118721,0.007754928498247354
STALE_PEAK_FRESH_DECAY,NEGATIVE,GLOBAL,D2,ROBUSTNESS_2023,48,146,40,11,62,146,0.015093928572199843,0.004641443368104903,0.5342465753424658,0.01862198520942984
STALE_PEAK_FRESH_DECAY,NEGATIVE,GLOBAL,E2,ROBUSTNESS_2022,6,66,18,7,22,66,-0.0012453456401762591,-0.004034375634331233,0.45454545454545453,6.913775968224781e-05
STALE_PEAK_FRESH_DECAY,NEGATIVE,GLOBAL,E2,ROBUSTNESS_2022,24,66,18,7,22,66,-0.004756750333564559,-0.013105251037822174,0.3787878787878788,-0.0029122225742505624
STALE_PEAK_FRESH_DECAY,NEGATIVE,GLOBAL,E2,ROBUSTNESS_2022,48,53,17,7,18,53,-0.017350621866414295,-0.028301558384293046,0.32075471698113206,-0.009974240023683011
STALE_PEAK_FRESH_DECAY,NEGATIVE,GLOBAL,E2,ROBUSTNESS_2023,6,215,45,11,80,215,0.0027641297586159332,0.0005139591299698765,0.5441860465116279,0.0033721787756751673
STALE_PEAK_FRESH_DECAY,NEGATIVE,GLOBAL,E2,ROBUSTNESS_2023,24,215,45,11,80,215,0.0035267678015757187,-0.0028455043012669545,0.4372093023255814,0.005733711084088854
STALE_PEAK_FRESH_DECAY,NEGATIVE,GLOBAL,E2,ROBUSTNESS_2023,48,145,40,11,58,145,0.012133484632888908,-0.00023360392454585543,0.4896551724137931,0.015074182588072709
STALE_PEAK_FRESH_DECAY,NEGATIVE,LOCKED,C2,ROBUSTNESS_2022,6,5,4,4,5,5,0.0009501697109755236,-0.0011767389920871452,0.4,0.005084724030885446
STALE_PEAK_FRESH_DECAY,NEGATIVE,LOCKED,C2,ROBUSTNESS_2022,24,5,4,4,5,5,-0.01570808551350773,-0.04219257122250286,0.4,-0.006736962696100357
STALE_PEAK_FRESH_DECAY,NEGATIVE,LOCKED,C2,ROBUSTNESS_2022,48,3,2,2,3,3,0.012502847947326664,-0.0014491708251093138,0.3333333333333333,0.04776112193216958
STALE_PEAK_FRESH_DECAY,NEGATIVE,LOCKED,C2,ROBUSTNESS_2023,6,57,23,7,30,57,0.002615826148070308,0.002346193952033282,0.5789473684210527,0.004235775972817709
STALE_PEAK_FRESH_DECAY,NEGATIVE,LOCKED,C2,ROBUSTNESS_2023,24,57,23,7,30,57,0.004294370427422679,-0.0005343307507347239,0.49122807017543857,0.0067683087668648475
STALE_PEAK_FRESH_DECAY,NEGATIVE,LOCKED,C2,ROBUSTNESS_2023,48,30,15,7,18,30,-0.0006070064487581479,-0.008723105977962609,0.4,0.01049108562322246
STALE_PEAK_FRESH_DECAY,NEGATIVE,LOCKED,D2,ROBUSTNESS_2022,6,5,4,4,5,5,0.0009501697109755236,-0.0011767389920871452,0.4,0.005084724030885446
STALE_PEAK_FRESH_DECAY,NEGATIVE,LOCKED,D2,ROBUSTNESS_2022,24,5,4,4,5,5,-0.01570808551350773,-0.04219257122250286,0.4,-0.006736962696100357
STALE_PEAK_FRESH_DECAY,NEGATIVE,LOCKED,D2,ROBUSTNESS_2022,48,3,2,2,3,3,0.012502847947326664,-0.0014491708251093138,0.3333333333333333,0.04776112193216958
STALE_PEAK_FRESH_DECAY,NEGATIVE,LOCKED,D2,ROBUSTNESS_2023,6,62,25,9,34,62,0.002731603852166762,0.0025200771751485718,0.5806451612903226,0.003779670705750081
STALE_PEAK_FRESH_DECAY,NEGATIVE,LOCKED,D2,ROBUSTNESS_2023,24,62,25,9,34,62,0.0031150590354707005,-0.0005513531666598848,0.4838709677419355,0.006743778535163155
STALE_PEAK_FRESH_DECAY,NEGATIVE,LOCKED,D2,ROBUSTNESS_2023,48,32,15,9,20,32,0.005983504878068285,-0.005715182371482774,0.46875,0.015822035562252496
STALE_PEAK_FRESH_DECAY,NEGATIVE,LOCKED,E2,ROBUSTNESS_2022,6,5,4,4,5,5,0.0009501697109755236,-0.0011767389920871452,0.4,0.005084724030885446
