universe_id,cost_multiplier,tail_scope,selected_count,selected_net_pnl,share_of_positive_pnl,share_of_total_net_pnl
C2,1.0,TOP_1_TRADES,1,25258.9006190905,0.04289165756904822,0.2536286396555046
C2,1.0,TOP_5_TRADES,5,99162.78678407022,0.1683864376551804,0.9957093183020005
C2,1.0,TOP_10_TRADES,10,166161.2865277255,0.2821553127135399,1.6684519132865172
C2,1.0,TOP_25_TRADES,25,279381.22439485765,0.47441193061699977,2.80531132202176
C2,1.0,TOP_ASSET,1,55775.24021591871,0.094710872030769,0.5600480605134041
C2,1.0,TOP_YEAR,1,55123.639033051026,0.09360440048520917,0.5535052293703993
C2,2.0,TOP_1_TRADES,1,25172.11587014128,0.0550845399654564,-3.4282038993181794
C2,2.0,TOP_5_TRADES,5,98774.3264006494,0.21614942336379248,-13.452128246433833
C2,2.0,TOP_10_TRADES,10,157888.43840074414,0.3455097712102053,-21.502910719743614
C2,2.0,TOP_25_TRADES,25,257678.83773132908,0.5638826830644208,-35.09341848096939
C2,2.0,TOP_ASSET,1,41376.36027735182,0.09054454472881453,-5.635068596306093
C2,2.0,TOP_YEAR,1,29537.66407234099,0.06463773826057638,-4.0227502396675385
D2,1.0,TOP_1_TRADES,1,25258.9006190905,0.043397145661586846,0.24964462250904582
D2,1.0,TOP_5_TRADES,5,100272.5740413788,0.17227762867268664,0.9910371505104606
D2,1.0,TOP_10_TRADES,10,159390.4149500564,0.27384758976487206,1.5753243013947043
D2,1.0,TOP_25_TRADES,25,266131.4536663827,0.45723864367877304,2.630292081600501
D2,1.0,TOP_ASSET,1,56303.52363361212,0.09673470168934228,0.5564720379325975
D2,1.0,TOP_YEAR,1,76727.77378744264,0.13182546721080643,0.7583337221196638
D2,2.0,TOP_1_TRADES,1,25172.11587014128,0.0512069646248795,-3.183758010187322
D2,2.0,TOP_5_TRADES,5,99853.20023059417,0.20312870472498534,-12.629388316700469
D2,2.0,TOP_10_TRADES,10,153177.27613182378,0.3116044515559302,-19.37379370010949
D2,2.0,TOP_25_TRADES,25,250862.3559769353,0.5103226067484631,-31.728959115567132
D2,2.0,TOP_ASSET,1,27112.003447207717,0.05515322623624109,-3.4291141274167907
D2,2.0,TOP_YEAR,1,47928.15760852487,0.09749897401777723,-6.06193203967661
E2,1.0,TOP_1_TRADES,1,25258.9006190905,0.043466991966753195,0.2891332230768617
E2,1.0,TOP_5_TRADES,5,99162.78678407022,0.17064511720222456,1.1350951723723206
E2,1.0,TOP_10_TRADES,10,160533.07859323962,0.2762547009800049,1.8375877526923738
E2,1.0,TOP_25_TRADES,25,268676.4746439658,0.46235417531110823,3.075482035034654
E2,1.0,TOP_ASSET,1,55775.24021591871,0.09598129209854595,0.6384472236026969
E2,1.0,TOP_YEAR,1,55123.639033051026,0.09485997871249026,0.6309884844831947
E2,2.0,TOP_1_TRADES,1,25172.11587014128,0.0556161430246581,-3.0087252005097747
E2,2.0,TOP_5_TRADES,5,98774.3264006494,0.21823541146094158,-11.806111434499124
E2,2.0,TOP_10_TRADES,10,157888.43840074414,0.34884417413840635,-18.871791546492194
E2,2.0,TOP_25_TRADES,25,256113.66223636307,0.5658663794092332,-30.61227088500087
E2,2.0,TOP_ASSET,1,39052.09184579954,0.08628304178769386,-4.667744796473476
E2,2.0,TOP_YEAR,1,25728.887721287247,0.05684629400065009,-3.075273976469622
