universe_id,cost_multiplier,volatility_regime,trade_count,gross_pnl,net_pnl,implied_fees,return_on_initial_equity,win_rate,profit_factor,average_r,median_r,average_holding_bars,positive_net_contribution
C2,1.0,LOW_VOLATILITY,334,43280.62923109498,16715.915570437654,26564.713660657333,0.16715915570437653,0.40119760479041916,1.1311233032508674,0.05840408859738346,-0.6165769261724006,16.15568862275449,True
C2,1.0,NORMAL_VOLATILITY,872,151405.616583145,82874.18061664447,68531.43596650053,0.8287418061664448,0.3967889908256881,1.229043300962076,0.1268858784415075,-0.7578190261602158,18.21330275229358,True
C2,2.0,LOW_VOLATILITY,270,30756.45586741634,-9952.999880474146,40709.45574789048,-0.09952999880474146,0.3037037037037037,0.9190032122360048,-0.06997080043748963,-0.8461071094590942,15.25925925925926,False
C2,2.0,NORMAL_VOLATILITY,737,114035.74005568586,2610.345648283448,111425.39440740242,0.02610345648283448,0.3419267299864315,1.007645249757515,-0.0010183975294943458,-0.9242123353550862,18.37720488466757,True
D2,1.0,LOW_VOLATILITY,330,20396.17953564462,-6127.141474370088,26523.321010014708,-0.06127141474370088,0.37575757575757573,0.9534559155055017,-0.033088056807654774,-0.6687665346073062,14.987878787878788,False
D2,1.0,NORMAL_VOLATILITY,864,175946.3006888536,107306.57151867334,68639.72917018023,1.0730657151867333,0.4074074074074074,1.307275438957846,0.1665214104070074,-0.7207494937047694,18.697916666666668,True
D2,2.0,LOW_VOLATILITY,297,23949.742963468852,-22915.102828451345,46864.8457919202,-0.22915102828451345,0.2962962962962963,0.8242392773274644,-0.12119740870007772,-0.781415936655961,15.144781144781145,False
D2,2.0,NORMAL_VOLATILITY,809,141668.68229280796,15008.68664053877,126659.9956522692,0.1500868664053877,0.3411619283065513,1.0406622957159455,0.02134137164802311,-0.8752600559247885,18.610630407911,True
E2,1.0,LOW_VOLATILITY,334,38896.87829148251,12319.949869296815,26576.9284221857,0.12319949869296816,0.39520958083832336,1.0951893748872947,0.04057217286420839,-0.6261017206671549,15.868263473053892,True
E2,1.0,NORMAL_VOLATILITY,885,144465.68133275647,75040.81881129096,69424.86252146552,0.7504081881129095,0.40225988700564974,1.2059756541157782,0.11322584888659329,-0.7526402221145517,18.335593220338982,True
E2,2.0,LOW_VOLATILITY,268,24511.92904647399,-15899.608693265242,40411.53773973922,-0.1589960869326524,0.30223880597014924,0.8703636613556759,-0.10042595238825013,-0.8516472274424423,15.022388059701493,False
E2,2.0,NORMAL_VOLATILITY,738,118674.31374604139,7533.236162508256,111141.07758353312,0.07533236162508256,0.34823848238482386,1.0222663972580819,0.008362698205738813,-0.9092289352083387,18.48238482384824,True
