affected_years,base_token,best_old_liquidity_rank,canonical_product_id,classification,classification_evidence,daily_observations_2019_2024,exclusion_reason,first_contaminated_decision,first_observation_2019_2024,is_product,last_contaminated_decision,last_observation_2019_2024,leverage_direction,leverage_multiplier,listing_start_used,median_old_liquidity_rank,non_product_eligible_weeks,old_hysteresis_weeks,old_ranking_rows,old_top10_weeks,old_top30_weeks,old_top6_weeks,old_top8_weeks,ordinary_spot_displacement_observed,pair,registered
2023,AGIX2L,233,AGIX2L,LEVERAGED_OR_SYNTHETIC_PRODUCT,P2T_frozen_product_classification_and_frozen_general_suffix_policy,188,LEVERAGED_OR_SYNTHETIC_PRODUCT,2023-05-15T00:00:00+00:00,2023-02-10T00:00:00+00:00,True,2023-08-14T00:00:00+00:00,2023-08-16T00:00:00+00:00,L,2,2023-02-10T00:00:00+00:00,264.5,14,0,14,0,0,0,0,False,AGIX2L-USDT,True
2023,AGIX2S,255,AGIX2S,LEVERAGED_OR_SYNTHETIC_PRODUCT,P2T_frozen_product_classification_and_frozen_general_suffix_policy,188,LEVERAGED_OR_SYNTHETIC_PRODUCT,2023-05-15T00:00:00+00:00,2023-02-10T00:00:00+00:00,True,2023-08-14T00:00:00+00:00,2023-08-16T00:00:00+00:00,S,2,2023-02-10T00:00:00+00:00,275.5,14,0,14,0,0,0,0,False,AGIX2S-USDT,True
2023,APT2L,269,APT2L,LEVERAGED_OR_SYNTHETIC_PRODUCT,P2T_frozen_product_classification_and_frozen_general_suffix_policy,187,LEVERAGED_OR_SYNTHETIC_PRODUCT,2023-05-15T00:00:00+00:00,2023-02-10T00:00:00+00:00,True,2023-08-14T00:00:00+00:00,2023-08-15T00:00:00+00:00,L,2,2023-02-10T00:00:00+00:00,296.5,14,0,14,0,0,0,0,False,APT2L-USDT,True
2023,APT2S,279,APT2S,LEVERAGED_OR_SYNTHETIC_PRODUCT,P2T_frozen_product_classification_and_frozen_general_suffix_policy,187,LEVERAGED_OR_SYNTHETIC_PRODUCT,2023-05-15T00:00:00+00:00,2023-02-10T00:00:00+00:00,True,2023-08-14T00:00:00+00:00,2023-08-15T00:00:00+00:00,S,2,2023-02-10T00:00:00+00:00,298.0,14,0,14,0,0,0,0,False,APT2S-USDT,True
2023,BLUR2L,239,BLUR2L,LEVERAGED_OR_SYNTHETIC_PRODUCT,P2T_frozen_product_classification_and_frozen_general_suffix_policy,181,LEVERAGED_OR_SYNTHETIC_PRODUCT,2023-05-22T00:00:00+00:00,2023-02-16T00:00:00+00:00,True,2023-08-14T00:00:00+00:00,2023-08-15T00:00:00+00:00,L,2,2023-02-16T00:00:00+00:00,288,13,0,13,0,0,0,0,False,BLUR2L-USDT,True
2023,BLUR2S,276,BLUR2S,LEVERAGED_OR_SYNTHETIC_PRODUCT,P2T_frozen_product_classification_and_frozen_general_suffix_policy,181,LEVERAGED_OR_SYNTHETIC_PRODUCT,2023-05-22T00:00:00+00:00,2023-02-16T00:00:00+00:00,True,2023-08-14T00:00:00+00:00,2023-08-15T00:00:00+00:00,S,2,2023-02-16T00:00:00+00:00,291,13,0,13,0,0,0,0,False,BLUR2S-USDT,True
2023;2024,CFX2L,204,CFX2L,LEVERAGED_OR_SYNTHETIC_PRODUCT,P2T_frozen_product_classification_and_frozen_general_suffix_policy,644,LEVERAGED_OR_SYNTHETIC_PRODUCT,2023-05-29T00:00:00+00:00,2023-02-23T00:00:00+00:00,True,2024-11-25T00:00:00+00:00,2024-11-27T00:00:00+00:00,L,2,2023-02-23T00:00:00+00:00,335,79,0,79,0,0,0,0,False,CFX2L-USDT,True
2023;2024,CFX2S,234,CFX2S,LEVERAGED_OR_SYNTHETIC_PRODUCT,P2T_frozen_product_classification_and_frozen_general_suffix_policy,644,LEVERAGED_OR_SYNTHETIC_PRODUCT,2023-05-29T00:00:00+00:00,2023-02-23T00:00:00+00:00,True,2024-11-25T00:00:00+00:00,2024-11-27T00:00:00+00:00,S,2,2023-02-23T00:00:00+00:00,336,79,0,79,0,0,0,0,False,CFX2S-USDT,True
2023,GRT2L,277,GRT2L,LEVERAGED_OR_SYNTHETIC_PRODUCT,P2T_frozen_product_classification_and_frozen_general_suffix_policy,188,LEVERAGED_OR_SYNTHETIC_PRODUCT,2023-05-15T00:00:00+00:00,2023-02-10T00:00:00+00:00,True,2023-08-14T00:00:00+00:00,2023-08-16T00:00:00+00:00,L,2,2023-02-10T00:00:00+00:00,294.0,14,0,14,0,0,0,0,False,GRT2L-USDT,True
2023,GRT2S,281,GRT2S,LEVERAGED_OR_SYNTHETIC_PRODUCT,P2T_frozen_product_classification_and_frozen_general_suffix_policy,188,LEVERAGED_OR_SYNTHETIC_PRODUCT,2023-05-15T00:00:00+00:00,2023-02-10T00:00:00+00:00,True,2023-08-14T00:00:00+00:00,2023-08-16T00:00:00+00:00,S,2,2023-02-10T00:00:00+00:00,299.5,14,0,14,0,0,0,0,False,GRT2S-USDT,True
