decision_time,effective_top10_assets,eligible_count,top10_hhi,top10_liquidity_share,top10_median_liquidity,top10_min_liquidity,top6_liquidity_share,top6_median_liquidity,top6_min_liquidity,year
2019-01-07T00:00:00+00:00,0.0,0,0,0.0,,,0.0,,,2019
2019-01-14T00:00:00+00:00,0.0,0,0,0.0,,,0.0,,,2019
2019-01-21T00:00:00+00:00,0.0,0,0,0.0,,,0.0,,,2019
2019-01-28T00:00:00+00:00,1.988126400532377,2,0.5029861279102886,1.0,339508.44805763,313271.109061275,1.0,339508.44805763,313271.109061275,2019
2019-02-04T00:00:00+00:00,1.929567679296117,2,0.5182508033948765,1.0,302733.26234219,244894.88075320498,1.0,302733.26234219,244894.88075320498,2019
2019-02-11T00:00:00+00:00,1.8110378832544278,2,0.5521695648922617,1.0,239296.0409862675,161999.66748997,1.0,239296.0409862675,161999.66748997,2019
2019-02-18T00:00:00+00:00,1.7996012189387636,2,0.5556786634039437,1.0,215313.08567547,143462.580929135,1.0,215313.08567547,143462.580929135,2019
2019-02-25T00:00:00+00:00,1.806357024265679,2,0.5536004159568181,1.0,213300.41892277525,143462.580929135,1.0,213300.41892277525,143462.580929135,2019
2019-03-04T00:00:00+00:00,1.9034195756634977,2,0.5253702403745732,1.0,201222.63268960675,155895.931214935,1.0,201222.63268960675,155895.931214935,2019
2019-03-11T00:00:00+00:00,2.705044278639071,3,0.3696797157431774,1.0,247765.78296629692,145850.80812008135,1.0,247765.78296629692,145850.80812008135,2019
2019-03-18T00:00:00+00:00,2.9162579135594093,13,0.34290519893676347,0.9977900786833698,9882.405554526713,1173.8879837463242,0.9871258060582868,98474.54967674034,9041.001287411767,2019
2019-03-25T00:00:00+00:00,2.909416194150423,13,0.3437115672933172,0.9969313118342942,9316.853698598086,1891.4810372608542,0.985243439337188,123136.59240529177,8189.907229361197,2019
2019-04-01T00:00:00+00:00,3.0791531894577306,13,0.32476461496743847,0.9974762248332254,10733.32034600572,2099.16251879803,0.9869567389275639,181286.15026140338,9976.130674003081,2019
2019-04-08T00:00:00+00:00,2.5756032803406783,13,0.38825855194117037,0.9983016044253061,14327.034776622237,2809.2121662572067,0.9913197836422251,242373.86179158205,13585.85849923333,2019
