applicable_end,applicable_start,boundary_status,coverage_ratio,covered_pair_days,documented_inactivity_boundary,expected_applicable_pair_days,first_valid_open,last_valid_open,missing_pair_days,pair,product_eligible
2024-12-31T00:00:00+00:00,2021-02-20T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1411,True,1411,2021-02-20T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,CAKE-USDT,True
2024-12-31T00:00:00+00:00,2022-05-27T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,950,True,950,2022-05-27T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,CCD-USDT,True
2024-12-31T00:00:00+00:00,2021-05-12T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1330,True,1330,2021-05-12T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,CELO-USDT,True
2024-12-31T00:00:00+00:00,2022-04-25T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,982,True,982,2022-04-25T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,CELR-USDT,True
2024-12-31T00:00:00+00:00,2021-11-08T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1150,True,1150,2021-11-08T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,CERE-USDT,True
2024-12-31T00:00:00+00:00,2023-05-10T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,602,True,602,2023-05-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,CETUS-USDT,True
2024-12-31T00:00:00+00:00,2021-07-14T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1267,True,1267,2021-07-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,CFG-USDT,True
2024-12-31T00:00:00+00:00,2022-04-01T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1006,True,1006,2022-04-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,CFX-USDT,True
2024-12-31T00:00:00+00:00,2023-04-10T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,632,True,632,2023-04-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,CGPT-USDT,True
2024-12-31T00:00:00+00:00,2019-05-28T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,2045,True,2045,2019-05-28T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,CHR-USDT,True
2024-12-31T00:00:00+00:00,2021-03-16T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1387,True,1387,2021-03-16T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,CHZ-USDT,True
2024-12-31T00:00:00+00:00,2020-09-04T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1580,True,1580,2020-09-04T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,CKB-USDT,True
2024-12-31T00:00:00+00:00,2020-06-26T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1650,True,1650,2020-06-26T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,COMP-USDT,True
2024-12-31T00:00:00+00:00,2023-12-18T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,380,True,380,2023-12-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,COQ-USDT,True
2024-12-31T00:00:00+00:00,2019-06-04T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,2038,True,2038,2019-06-04T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,COTI-USDT,True
2024-12-31T00:00:00+00:00,2021-10-28T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1161,True,1161,2021-10-28T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,CPOOL-USDT,True
2024-12-31T00:00:00+00:00,2021-12-09T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1119,True,1119,2021-12-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,CREDI-USDT,True
2024-12-31T00:00:00+00:00,2020-07-02T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1644,True,1644,2020-07-02T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,CRO-USDT,True
2024-12-31T00:00:00+00:00,2021-01-21T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1441,True,1441,2021-01-21T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,CRV-USDT,True
2024-12-31T00:00:00+00:00,2022-06-29T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,917,True,917,2022-06-29T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,CSPR-USDT,True
2024-12-31T00:00:00+00:00,2022-01-13T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1084,True,1084,2022-01-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,CTC-USDT,True
2024-12-31T00:00:00+00:00,2021-09-23T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1196,True,1196,2021-09-23T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,CTSI-USDT,True
2024-12-31T00:00:00+00:00,2022-02-02T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1064,True,1064,2022-02-02T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,CVX-USDT,True
2024-12-31T00:00:00+00:00,2021-12-30T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1098,True,1098,2021-12-30T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,CWEB-USDT,True
2024-12-31T00:00:00+00:00,2023-11-01T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,427,True,427,2023-11-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,CYBER-USDT,True
2024-12-31T00:00:00+00:00,2019-11-18T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1871,True,1871,2019-11-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,DAG-USDT,True
2024-12-31T00:00:00+00:00,2021-02-09T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1422,True,1422,2021-02-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,DAO-USDT,True
2024-12-31T00:00:00+00:00,2019-01-01T00:00:00+00:00,EXACT_FULL_HISTORY,0.8088503649635036,1773,True,2192,2018-09-06T00:00:00+00:00,2024-12-31T00:00:00+00:00,419,DASH-USDT,True
2024-12-31T00:00:00+00:00,2023-07-20T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,531,True,531,2023-07-20T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,DCK-USDT,True
2024-12-31T00:00:00+00:00,2023-11-22T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,406,True,406,2023-11-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,DCR-USDT,True
2024-12-31T00:00:00+00:00,2023-11-24T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,404,True,404,2023-11-24T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,DENT-USDT,True
2024-12-31T00:00:00+00:00,2021-09-27T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1192,True,1192,2021-09-27T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,DEXE-USDT,True
2024-12-31T00:00:00+00:00,2020-05-13T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1694,True,1694,2020-05-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,DGB-USDT,True
2024-12-31T00:00:00+00:00,2020-08-18T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1597,True,1597,2020-08-18T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,DIA-USDT,True
2024-12-31T00:00:00+00:00,2021-09-22T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1197,True,1197,2021-09-22T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,DMTR-USDT,True
2024-12-31T00:00:00+00:00,2021-04-06T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1366,True,1366,2021-04-06T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,DODO-USDT,True
2024-12-31T00:00:00+00:00,2021-02-09T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1422,True,1422,2021-02-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,DOGE-USDT,True
2024-12-31T00:00:00+00:00,2020-08-21T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1594,True,1594,2020-08-21T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,DOT-USDT,True
2024-12-31T00:00:00+00:00,2022-05-13T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,964,True,964,2022-05-13T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,DUSK-USDT,True
2024-12-31T00:00:00+00:00,2021-09-09T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1210,True,1210,2021-09-09T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,DYDX-USDT,True
2024-12-31T00:00:00+00:00,2023-05-31T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,581,True,581,2023-05-31T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,EDU-USDT,True
2024-12-31T00:00:00+00:00,2021-09-14T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1205,True,1205,2021-09-14T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,EGLD-USDT,True
2024-12-31T00:00:00+00:00,2021-05-28T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1314,True,1314,2021-05-28T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,ELON-USDT,True
2024-12-31T00:00:00+00:00,2021-03-17T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1386,True,1386,2021-03-17T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,ENJ-USDT,True
2024-12-31T00:00:00+00:00,2021-11-10T00:00:00+00:00,EXACT_FULL_HISTORY,1.0,1148,True,1148,2021-11-10T00:00:00+00:00,2024-12-31T00:00:00+00:00,0,ENS-USDT,True
