changed_members,comparison,decision_time,exact_match,jaccard,left_eligible_count,mean_common_rank_displacement,right_eligible_count,symmetric_difference_size,top_n
,A_P0_vs_C2,2019-01-07T00:00:00+00:00,True,1.0,0,0.0,0,0,4
,A_P0_vs_C2,2019-01-07T00:00:00+00:00,True,1.0,0,0.0,0,0,6
,A_P0_vs_C2,2019-01-07T00:00:00+00:00,True,1.0,0,0.0,0,0,8
,A_P0_vs_C2,2019-01-07T00:00:00+00:00,True,1.0,0,0.0,0,0,10
,A_P0_vs_C2,2019-01-07T00:00:00+00:00,True,1.0,0,0.0,0,0,30
,A_P0_vs_C2,2019-01-07T00:00:00+00:00,True,1.0,0,0.0,0,0,HYSTERESIS
,B_P0A_vs_C2,2019-01-07T00:00:00+00:00,True,1.0,0,0.0,0,0,4
,B_P0A_vs_C2,2019-01-07T00:00:00+00:00,True,1.0,0,0.0,0,0,6
,B_P0A_vs_C2,2019-01-07T00:00:00+00:00,True,1.0,0,0.0,0,0,8
,B_P0A_vs_C2,2019-01-07T00:00:00+00:00,True,1.0,0,0.0,0,0,10
,B_P0A_vs_C2,2019-01-07T00:00:00+00:00,True,1.0,0,0.0,0,0,30
,B_P0A_vs_C2,2019-01-07T00:00:00+00:00,True,1.0,0,0.0,0,0,HYSTERESIS
,D2_vs_C2,2019-01-07T00:00:00+00:00,True,1.0,0,0.0,0,0,4
,D2_vs_C2,2019-01-07T00:00:00+00:00,True,1.0,0,0.0,0,0,6
,D2_vs_C2,2019-01-07T00:00:00+00:00,True,1.0,0,0.0,0,0,8
,D2_vs_C2,2019-01-07T00:00:00+00:00,True,1.0,0,0.0,0,0,10
,D2_vs_C2,2019-01-07T00:00:00+00:00,True,1.0,0,0.0,0,0,30
,D2_vs_C2,2019-01-07T00:00:00+00:00,True,1.0,0,0.0,0,0,HYSTERESIS
,A_P0_vs_C2,2019-01-14T00:00:00+00:00,True,1.0,0,0.0,0,0,4
,A_P0_vs_C2,2019-01-14T00:00:00+00:00,True,1.0,0,0.0,0,0,6
,A_P0_vs_C2,2019-01-14T00:00:00+00:00,True,1.0,0,0.0,0,0,8
,A_P0_vs_C2,2019-01-14T00:00:00+00:00,True,1.0,0,0.0,0,0,10
,A_P0_vs_C2,2019-01-14T00:00:00+00:00,True,1.0,0,0.0,0,0,30
,A_P0_vs_C2,2019-01-14T00:00:00+00:00,True,1.0,0,0.0,0,0,HYSTERESIS
,B_P0A_vs_C2,2019-01-14T00:00:00+00:00,True,1.0,0,0.0,0,0,4
,B_P0A_vs_C2,2019-01-14T00:00:00+00:00,True,1.0,0,0.0,0,0,6
,B_P0A_vs_C2,2019-01-14T00:00:00+00:00,True,1.0,0,0.0,0,0,8
,B_P0A_vs_C2,2019-01-14T00:00:00+00:00,True,1.0,0,0.0,0,0,10
,B_P0A_vs_C2,2019-01-14T00:00:00+00:00,True,1.0,0,0.0,0,0,30
,B_P0A_vs_C2,2019-01-14T00:00:00+00:00,True,1.0,0,0.0,0,0,HYSTERESIS
,D2_vs_C2,2019-01-14T00:00:00+00:00,True,1.0,0,0.0,0,0,4
,D2_vs_C2,2019-01-14T00:00:00+00:00,True,1.0,0,0.0,0,0,6
,D2_vs_C2,2019-01-14T00:00:00+00:00,True,1.0,0,0.0,0,0,8
,D2_vs_C2,2019-01-14T00:00:00+00:00,True,1.0,0,0.0,0,0,10
,D2_vs_C2,2019-01-14T00:00:00+00:00,True,1.0,0,0.0,0,0,30
,D2_vs_C2,2019-01-14T00:00:00+00:00,True,1.0,0,0.0,0,0,HYSTERESIS
,A_P0_vs_C2,2019-01-21T00:00:00+00:00,True,1.0,0,0.0,0,0,4
,A_P0_vs_C2,2019-01-21T00:00:00+00:00,True,1.0,0,0.0,0,0,6
,A_P0_vs_C2,2019-01-21T00:00:00+00:00,True,1.0,0,0.0,0,0,8
,A_P0_vs_C2,2019-01-21T00:00:00+00:00,True,1.0,0,0.0,0,0,10
,A_P0_vs_C2,2019-01-21T00:00:00+00:00,True,1.0,0,0.0,0,0,30
,A_P0_vs_C2,2019-01-21T00:00:00+00:00,True,1.0,0,0.0,0,0,HYSTERESIS
,B_P0A_vs_C2,2019-01-21T00:00:00+00:00,True,1.0,0,0.0,0,0,4
,B_P0A_vs_C2,2019-01-21T00:00:00+00:00,True,1.0,0,0.0,0,0,6
,B_P0A_vs_C2,2019-01-21T00:00:00+00:00,True,1.0,0,0.0,0,0,8
,B_P0A_vs_C2,2019-01-21T00:00:00+00:00,True,1.0,0,0.0,0,0,10
,B_P0A_vs_C2,2019-01-21T00:00:00+00:00,True,1.0,0,0.0,0,0,30
