factor,level,level_id,parameter,value_json
RANKING_HORIZON_FAMILY,LOW,RH_MEDIUM_168_720,momentum_fast_bars,168
RANKING_HORIZON_FAMILY,LOW,RH_MEDIUM_168_720,momentum_slow_bars,720
RANKING_HORIZON_FAMILY,LOW,RH_MEDIUM_168_720,momentum_skip_bars,24
RANKING_HORIZON_FAMILY,LOW,RH_MEDIUM_168_720,persistence_window_bars,168
RANKING_HORIZON_FAMILY,LOW,RH_MEDIUM_168_720,trend_fast_ema_bars,168
RANKING_HORIZON_FAMILY,LOW,RH_MEDIUM_168_720,trend_slow_ema_bars,336
RANKING_HORIZON_FAMILY,HIGH,RH_SLOW_336_1440,momentum_fast_bars,336
RANKING_HORIZON_FAMILY,HIGH,RH_SLOW_336_1440,momentum_slow_bars,1440
RANKING_HORIZON_FAMILY,HIGH,RH_SLOW_336_1440,momentum_skip_bars,24
RANKING_HORIZON_FAMILY,HIGH,RH_SLOW_336_1440,persistence_window_bars,336
RANKING_HORIZON_FAMILY,HIGH,RH_SLOW_336_1440,trend_fast_ema_bars,336
RANKING_HORIZON_FAMILY,HIGH,RH_SLOW_336_1440,trend_slow_ema_bars,720
ENTRY_FAMILY,LOW,ENTRY_CONFIRMED_PULLBACK,entry_family,"""CONFIRMED_PULLBACK"""
ENTRY_FAMILY,LOW,ENTRY_CONFIRMED_PULLBACK,pullback_ema_bars,24
ENTRY_FAMILY,LOW,ENTRY_CONFIRMED_PULLBACK,pullback_lookback_bars,12
ENTRY_FAMILY,LOW,ENTRY_CONFIRMED_PULLBACK,recovery_requires_close_above_ema,true
ENTRY_FAMILY,LOW,ENTRY_CONFIRMED_PULLBACK,recovery_requires_close_above_prior_close,true
ENTRY_FAMILY,LOW,ENTRY_CONFIRMED_PULLBACK,maximum_extension_atr,1.5
ENTRY_FAMILY,HIGH,ENTRY_CONTRACTION_BREAKOUT,entry_family,"""VOLATILITY_CONTRACTION_BREAKOUT"""
ENTRY_FAMILY,HIGH,ENTRY_CONTRACTION_BREAKOUT,breakout_lookback_bars,24
ENTRY_FAMILY,HIGH,ENTRY_CONTRACTION_BREAKOUT,atr_window_bars,24
ENTRY_FAMILY,HIGH,ENTRY_CONTRACTION_BREAKOUT,atr_reference_window_bars,168
ENTRY_FAMILY,HIGH,ENTRY_CONTRACTION_BREAKOUT,maximum_atr_to_reference_ratio,0.75
ENTRY_FAMILY,HIGH,ENTRY_CONTRACTION_BREAKOUT,maximum_extension_atr,1.0
SELECTION_BREADTH,LOW,TOP_K_2,top_k,2
SELECTION_BREADTH,LOW,TOP_K_2,maximum_positions,2
SELECTION_BREADTH,HIGH,TOP_K_3,top_k,3
SELECTION_BREADTH,HIGH,TOP_K_3,maximum_positions,3
EXIT_CONVEXITY_FAMILY,LOW,EXIT_TRAIL_3ATR,initial_stop_atr,2.5
EXIT_CONVEXITY_FAMILY,LOW,EXIT_TRAIL_3ATR,trail_activation_r,1.0
EXIT_CONVEXITY_FAMILY,LOW,EXIT_TRAIL_3ATR,trail_atr,3.0
EXIT_CONVEXITY_FAMILY,LOW,EXIT_TRAIL_3ATR,maximum_holding_bars,720
EXIT_CONVEXITY_FAMILY,LOW,EXIT_TRAIL_3ATR,profit_cap,null
EXIT_CONVEXITY_FAMILY,HIGH,EXIT_TRAIL_4ATR,initial_stop_atr,2.5
EXIT_CONVEXITY_FAMILY,HIGH,EXIT_TRAIL_4ATR,trail_activation_r,1.5
EXIT_CONVEXITY_FAMILY,HIGH,EXIT_TRAIL_4ATR,trail_atr,4.0
EXIT_CONVEXITY_FAMILY,HIGH,EXIT_TRAIL_4ATR,maximum_holding_bars,720
EXIT_CONVEXITY_FAMILY,HIGH,EXIT_TRAIL_4ATR,profit_cap,null
MARKET_GATE_STRICTNESS,LOW,GATE_MODERATE,btc_ema_bars,168
MARKET_GATE_STRICTNESS,LOW,GATE_MODERATE,require_btc_above_ema,true
MARKET_GATE_STRICTNESS,LOW,GATE_MODERATE,require_btc_ema_positive_slope,false
MARKET_GATE_STRICTNESS,LOW,GATE_MODERATE,breadth_ema_bars,168
MARKET_GATE_STRICTNESS,LOW,GATE_MODERATE,minimum_breadth_fraction,0.5
MARKET_GATE_STRICTNESS,LOW,GATE_MODERATE,require_positive_median_168h_return,true
MARKET_GATE_STRICTNESS,HIGH,GATE_STRICT,btc_ema_bars,168
MARKET_GATE_STRICTNESS,HIGH,GATE_STRICT,require_btc_above_ema,true
MARKET_GATE_STRICTNESS,HIGH,GATE_STRICT,require_btc_ema_positive_slope,true
MARKET_GATE_STRICTNESS,HIGH,GATE_STRICT,btc_ema_slope_lookback_bars,24
MARKET_GATE_STRICTNESS,HIGH,GATE_STRICT,breadth_ema_bars,168
MARKET_GATE_STRICTNESS,HIGH,GATE_STRICT,minimum_breadth_fraction,0.6
MARKET_GATE_STRICTNESS,HIGH,GATE_STRICT,require_positive_median_168h_return,true
COST_HURDLE_LEVEL,LOW,COST_HURDLE_6X,effective_cost_uncertainty_multiplier,1.25
COST_HURDLE_LEVEL,LOW,COST_HURDLE_6X,minimum_atr_to_effective_round_trip_cost,6.0
COST_HURDLE_LEVEL,HIGH,COST_HURDLE_10X,effective_cost_uncertainty_multiplier,1.25
COST_HURDLE_LEVEL,HIGH,COST_HURDLE_10X,minimum_atr_to_effective_round_trip_cost,10.0
