execution_order,variant_id,partition_id,universe_id,cost_multiplier
1,RD19_P2_V01,DISCOVERY_CORE,C2,1.0
2,RD19_P2_V01,DISCOVERY_CORE,C2,2.0
3,RD19_P2_V01,DISCOVERY_CORE,D2,1.0
4,RD19_P2_V01,DISCOVERY_CORE,D2,2.0
5,RD19_P2_V01,DISCOVERY_CORE,E2,1.0
6,RD19_P2_V01,DISCOVERY_CORE,E2,2.0
7,RD19_P2_V01,VALIDATION_2022,C2,1.0
8,RD19_P2_V01,VALIDATION_2022,C2,2.0
9,RD19_P2_V01,VALIDATION_2022,D2,1.0
10,RD19_P2_V01,VALIDATION_2022,D2,2.0
11,RD19_P2_V01,VALIDATION_2022,E2,1.0
12,RD19_P2_V01,VALIDATION_2022,E2,2.0
13,RD19_P2_V01,STRESS_2023,C2,1.0
14,RD19_P2_V01,STRESS_2023,C2,2.0
15,RD19_P2_V01,STRESS_2023,D2,1.0
16,RD19_P2_V01,STRESS_2023,D2,2.0
17,RD19_P2_V01,STRESS_2023,E2,1.0
18,RD19_P2_V01,STRESS_2023,E2,2.0
19,RD19_P2_V02,DISCOVERY_CORE,C2,1.0
20,RD19_P2_V02,DISCOVERY_CORE,C2,2.0
21,RD19_P2_V02,DISCOVERY_CORE,D2,1.0
22,RD19_P2_V02,DISCOVERY_CORE,D2,2.0
23,RD19_P2_V02,DISCOVERY_CORE,E2,1.0
24,RD19_P2_V02,DISCOVERY_CORE,E2,2.0
25,RD19_P2_V02,VALIDATION_2022,C2,1.0
26,RD19_P2_V02,VALIDATION_2022,C2,2.0
27,RD19_P2_V02,VALIDATION_2022,D2,1.0
28,RD19_P2_V02,VALIDATION_2022,D2,2.0
29,RD19_P2_V02,VALIDATION_2022,E2,1.0
30,RD19_P2_V02,VALIDATION_2022,E2,2.0
31,RD19_P2_V02,STRESS_2023,C2,1.0
32,RD19_P2_V02,STRESS_2023,C2,2.0
33,RD19_P2_V02,STRESS_2023,D2,1.0
34,RD19_P2_V02,STRESS_2023,D2,2.0
35,RD19_P2_V02,STRESS_2023,E2,1.0
36,RD19_P2_V02,STRESS_2023,E2,2.0
37,RD19_P2_V03,DISCOVERY_CORE,C2,1.0
38,RD19_P2_V03,DISCOVERY_CORE,C2,2.0
39,RD19_P2_V03,DISCOVERY_CORE,D2,1.0
40,RD19_P2_V03,DISCOVERY_CORE,D2,2.0
41,RD19_P2_V03,DISCOVERY_CORE,E2,1.0
42,RD19_P2_V03,DISCOVERY_CORE,E2,2.0
43,RD19_P2_V03,VALIDATION_2022,C2,1.0
44,RD19_P2_V03,VALIDATION_2022,C2,2.0
45,RD19_P2_V03,VALIDATION_2022,D2,1.0
46,RD19_P2_V03,VALIDATION_2022,D2,2.0
47,RD19_P2_V03,VALIDATION_2022,E2,1.0
48,RD19_P2_V03,VALIDATION_2022,E2,2.0
49,RD19_P2_V03,STRESS_2023,C2,1.0
50,RD19_P2_V03,STRESS_2023,C2,2.0
51,RD19_P2_V03,STRESS_2023,D2,1.0
52,RD19_P2_V03,STRESS_2023,D2,2.0
53,RD19_P2_V03,STRESS_2023,E2,1.0
54,RD19_P2_V03,STRESS_2023,E2,2.0
