rank_order,metric,direction
1,WORST_UNIVERSE_2X_MONTHLY_GEOMETRIC_RETURN,DESCENDING
2,WORST_UNIVERSE_2X_PROFIT_FACTOR,DESCENDING
3,WORST_UNIVERSE_2X_MAXIMUM_DRAWDOWN,ASCENDING
4,MAXIMUM_TURNOVER_ACROSS_RUNS,ASCENDING
5,TOP_5_TRADE_SHARE_OF_POSITIVE_PNL,ASCENDING
6,VARIANT_ID,LEXICOGRAPHIC_ASCENDING
