gate_order,gate_id,scope,operator,threshold,failure_action
1,TECHNICAL_VALIDITY,ALL_2019_2023_RUNS,EQUAL,TRUE,REJECT_VARIANT
2,CASH_FEASIBILITY,ALL_UNIVERSES_ALL_COSTS_2019_2023,MINIMUM_GTE,0.0,REJECT_VARIANT
3,TWO_X_NET_RETURN,EACH_UNIVERSE_COMBINED_2019_2023,GT,0.0,REJECT_VARIANT
4,TWO_X_PROFIT_FACTOR,EACH_UNIVERSE_COMBINED_2019_2023,GTE,1.05,REJECT_VARIANT
5,TWO_X_MAXIMUM_DRAWDOWN,EACH_UNIVERSE_COMBINED_2019_2023,LTE,0.30,REJECT_VARIANT
6,TURNOVER_MATERIAL_REDUCTION,EACH_UNIVERSE_EACH_COST_2019_2023,LTE,240.0,REJECT_VARIANT
7,TWO_X_WORST_UNIVERSE_MONTHLY_RETURN,WORST_UNIVERSE_COMBINED_2019_2023,GTE,0.02,REJECT_VARIANT
8,TWO_X_MINIMUM_TRADE_COUNT,EACH_UNIVERSE_COMBINED_2019_2023,GTE,75,REJECT_VARIANT
9,TWO_X_POSITIVE_YEAR_COUNT,EACH_UNIVERSE_2019_2023,GTE,3,REJECT_VARIANT
10,NO_PER_UNIVERSE_PARAMETERIZATION,VARIANT_DEFINITION,EQUAL,TRUE,INVALIDATE_DISCOVERY
