portfolio_id,universe_id,cost_multiplier,signal_events,missing_entry_bar,missing_exit_bar_precheck,same_pair_open,position_slots_full,gross_limit_rejection,capacity_unavailable,capacity_capped_entries,cash_capped_entries,admitted_entries,scheduled_exits,admission_fraction,same_pair_open_fraction,slot_full_fraction
MOMENTUM_BREAKOUT,C2,2.0,2472,0,0,1814,178,0,0,193,0,480,480,0.1941747572815534,0.7338187702265372,0.07200647249190939
MOMENTUM_BREAKOUT,D2,2.0,2513,0,0,1845,186,0,0,196,0,482,482,0.1918026263430163,0.7341822522881019,0.07401512136888182
MOMENTUM_BREAKOUT,E2,2.0,2471,0,0,1811,180,0,0,193,0,480,480,0.1942533387292594,0.7329016592472684,0.07284500202347227
VOLATILITY_EXPANSION,C2,2.0,2858,0,0,1949,308,0,0,200,0,601,601,0.21028691392582224,0.6819454163750874,0.10776766969909027
VOLATILITY_EXPANSION,D2,2.0,2847,0,0,1951,292,0,0,195,0,604,604,0.21215314365999297,0.6852827537759044,0.10256410256410256
VOLATILITY_EXPANSION,E2,2.0,2858,0,0,1947,310,0,0,200,0,601,601,0.21028691392582224,0.6812456263121064,0.10846745976207138
RELATIVE_STRENGTH_ROTATION,C2,2.0,1655,0,0,1245,19,0,0,141,0,391,391,0.2362537764350453,0.7522658610271903,0.011480362537764351
RELATIVE_STRENGTH_ROTATION,D2,2.0,1568,0,0,1167,14,0,0,125,0,387,387,0.24681122448979592,0.7442602040816326,0.008928571428571428
RELATIVE_STRENGTH_ROTATION,E2,2.0,1658,0,0,1247,19,0,0,141,0,392,392,0.23642943305186973,0.7521109770808203,0.011459589867310011
MOMENTUM_ACCELERATION,C2,2.0,6587,0,0,4997,943,0,0,204,0,647,647,0.09822377410050098,0.7586154546834675,0.14316077121603157
MOMENTUM_ACCELERATION,D2,2.0,6612,0,0,5058,908,0,0,203,0,646,646,0.09770114942528736,0.76497277676951,0.13732607380520268
MOMENTUM_ACCELERATION,E2,2.0,6586,0,0,4990,949,0,0,204,0,647,647,0.09823868812632858,0.7576677801396903,0.14409353173398118
UNION_ALL_RAW_QUALIFIED,C2,2.0,11517,0,0,9240,1603,0,0,213,0,674,674,0.058522184596683166,0.8022922636103151,0.13918555179300166
UNION_ALL_RAW_QUALIFIED,D2,2.0,11473,0,0,9222,1580,0,0,227,0,671,671,0.058485139022051776,0.8038002266190186,0.13771463435892967
UNION_ALL_RAW_QUALIFIED,E2,2.0,11518,0,0,9239,1605,0,0,213,0,674,674,0.058517103663830526,0.8021357874631012,0.13934710887306825
