portfolio_id,universe_id,cost_multiplier,period_id,trade_count,net_pnl,profit_factor
POST_RESULT_DIAGNOSTIC_BREAKOUT_PLUS_RELATIVE_STRENGTH,C2,1.0,DISCOVERY_2019_2020,337,76834.95812558751,1.548190536611663
POST_RESULT_DIAGNOSTIC_BREAKOUT_PLUS_RELATIVE_STRENGTH,C2,1.0,TEMPORAL_REPLICATION_2021,196,283326.3611107361,1.3223008730990933
POST_RESULT_DIAGNOSTIC_BREAKOUT_PLUS_RELATIVE_STRENGTH,C2,2.0,DISCOVERY_2019_2020,337,61743.045130263905,1.43734873954887
POST_RESULT_DIAGNOSTIC_BREAKOUT_PLUS_RELATIVE_STRENGTH,C2,2.0,TEMPORAL_REPLICATION_2021,196,245097.11580372302,1.2981486915689466
POST_RESULT_DIAGNOSTIC_BREAKOUT_PLUS_RELATIVE_STRENGTH,D2,1.0,DISCOVERY_2019_2020,337,75999.64268004172,1.5513259070341574
POST_RESULT_DIAGNOSTIC_BREAKOUT_PLUS_RELATIVE_STRENGTH,D2,1.0,TEMPORAL_REPLICATION_2021,197,363670.2749582491,1.4479597454968032
POST_RESULT_DIAGNOSTIC_BREAKOUT_PLUS_RELATIVE_STRENGTH,D2,2.0,DISCOVERY_2019_2020,337,60530.53355805053,1.436403095848982
POST_RESULT_DIAGNOSTIC_BREAKOUT_PLUS_RELATIVE_STRENGTH,D2,2.0,TEMPORAL_REPLICATION_2021,197,316720.74301595945,1.4156256345526301
POST_RESULT_DIAGNOSTIC_BREAKOUT_PLUS_RELATIVE_STRENGTH,E2,1.0,DISCOVERY_2019_2020,337,76834.95812558751,1.548190536611663
POST_RESULT_DIAGNOSTIC_BREAKOUT_PLUS_RELATIVE_STRENGTH,E2,1.0,TEMPORAL_REPLICATION_2021,196,283326.3611107361,1.3223008730990933
POST_RESULT_DIAGNOSTIC_BREAKOUT_PLUS_RELATIVE_STRENGTH,E2,2.0,DISCOVERY_2019_2020,337,61743.045130263905,1.43734873954887
POST_RESULT_DIAGNOSTIC_BREAKOUT_PLUS_RELATIVE_STRENGTH,E2,2.0,TEMPORAL_REPLICATION_2021,196,245097.11580372302,1.2981486915689466
