trade_id,symbol,entry_timestamp,exit_timestamp,entry_price,exit_price,quantity,entry_fee,exit_fee,gross_pnl,net_pnl,holding_bars,exit_reason
TRADE-000001,BTC/USDT,2023-01-10T00:00:00Z,2023-02-09T00:00:00Z,17136.063749999998,23233.277550000003,1.458911472595333,25.0,33.89529516368659,8895.295163686593,8836.399868522905,30,time_stop_30_bars
TRADE-000002,BTC/USDT,2023-02-17T00:00:00Z,2023-02-26T00:00:00Z,24339.763799999997,22805.834235714286,0.7148433680280428,17.399118731799035,16.302599355747248,-1096.5193760517855,-1130.2210941393319,9,stop_loss
TRADE-000003,BTC/USDT,2023-03-16T00:00:00Z,2023-04-15T00:00:00Z,24688.838249999997,30357.4137,0.4698968312909185,11.601206861929024,14.26485250381752,2663.6456418884945,2637.779582522748,30,time_stop_30_bars
TRADE-000004,BTC/USDT,2023-06-22T00:00:00Z,2023-07-19T00:00:00Z,28319.45265,30126.1294,0.6120908088658066,17.33407667917541,18.43992691244196,1105.850233266548,1070.0762296749306,27,rsi_failure_below_45
TRADE-000005,BTC/USDT,2023-10-03T00:00:00Z,2023-10-12T00:00:00Z,28006.69635,26747.34820714286,0.8941967561498567,25.043497026644033,23.917392002437833,-1126.1050242062004,-1175.065913235282,9,stop_loss
TRADE-000006,BTC/USDT,2023-10-25T00:00:00Z,2023-11-24T00:00:00Z,33088.3359,37388.39645,0.4707144043703205,15.575156324773593,17.599256765323158,2024.100440549564,1990.9260274594672,30,time_stop_30_bars
TRADE-000007,BTC/USDT,2023-12-03T00:00:00Z,2023-12-21T00:00:00Z,38700.140400000004,42247.66560000001,0.5149043405436722,19.92687027160953,21.75350639527759,1826.6361236680607,1784.9557470011737,18,rsi_failure_below_45
TRADE-000008,BTC/USDT,2024-01-04T00:00:00Z,2024-01-04T00:00:00Z,44967.6726,42092.11484285714,0.39942127748627415,17.961045235476526,16.81248628263296,-1148.5589528435657,-1183.3324843616754,0,stop_loss
TRADE-000009,BTC/USDT,2024-01-10T00:00:00Z,2024-01-13T00:00:00Z,46972.67459999999,43029.51733571428,0.28771574018635543,13.514777841071815,12.380269430106646,-1134.5084109651684,-1160.403458236347,3,stop_loss
TRADE-000010,BTC/USDT,2024-02-09T00:00:00Z,2024-03-10T00:00:00Z,44363.5707,68089.93800000001,0.46143195786877617,20.47076928615087,31.418873402503586,10948.104116352715,10896.214473664062,30,time_stop_30_bars
TRADE-000011,BTC/USDT,2024-03-13T00:00:00Z,2024-03-20T00:00:00Z,72126.54525,64294.45097857143,0.1571389920501648,11.3338926206456,10.103165221191446,-1230.7273994541542,-1252.1644572959913,7,stop_loss
TRADE-000012,BTC/USDT,2024-05-17T00:00:00Z,2024-06-05T00:00:00Z,66243.9054,68774.3956,0.23290336744482756,15.428428640356598,16.017788329222732,589.3596888661352,557.9134718965558,19,rsi_failure_below_45
TRADE-000013,BTC/USDT,2024-07-17T00:00:00Z,2024-08-04T00:00:00Z,64752.05984999999,61463.053100000005,0.22077188348271948,14.295434212470276,13.569313997485402,-726.1202149848748,-753.9849631948305,18,momentum_failure_close_below_ema50
TRADE-000014,BTC/USDT,2024-08-25T00:00:00Z,2024-08-28T00:00:00Z,64073.0205,58626.11513571429,0.22356687991351462,14.32460527981966,13.106857642342119,-1217.7476374775422,-1245.179100399704,3,stop_loss
TRADE-000015,BTC/USDT,2024-09-20T00:00:00Z,2024-10-03T00:00:00Z,61785.77745,60784.1927,0.2552887714271307,15.773215216880617,15.517521876572966,-255.6933403076503,-286.9840774011039,13,momentum_failure_close_below_ema50
TRADE-000016,BTC/USDT,2024-10-17T00:00:00Z,2024-11-16T00:00:00Z,67105.23585,87283.23655,0.2872609194512748,19.276711750265648,25.073062784036118,5796.351033770467,5752.001259236166,30,time_stop_30_bars
TRADE-000017,BTC/USDT,2024-11-22T00:00:00Z,2024-12-22T00:00:00Z,94336.1445,97751.1,0.15495912008898144,14.618245944307006,15.147424443730035,529.1784994230294,499.4128290349924,30,time_stop_30_bars
