family_id,component,input_trades,kept_trades,removed_trades,kept_fraction
MTF_TREND_BREAKOUT,regime,968,904,64,0.9338842975206612
MTF_TREND_BREAKOUT,volatility,968,764,204,0.7892561983471075
MTF_TREND_BREAKOUT,asset,968,792,176,0.8181818181818182
MTF_TREND_BREAKOUT,structure,968,612,356,0.6322314049586777
MTF_TREND_BREAKOUT,fee_buffer,968,741,227,0.765495867768595
MTF_TREND_BREAKOUT,cooldown_after_full_stack,364,318,46,0.8736263736263736
MTF_PULLBACK_RECLAIM,regime,1839,1740,99,0.9461663947797716
MTF_PULLBACK_RECLAIM,volatility,1839,1242,597,0.6753670473083198
MTF_PULLBACK_RECLAIM,asset,1839,1477,362,0.8031538879825992
MTF_PULLBACK_RECLAIM,structure,1839,1331,508,0.723762914627515
MTF_PULLBACK_RECLAIM,fee_buffer,1839,1093,746,0.5943447525829255
MTF_PULLBACK_RECLAIM,cooldown_after_full_stack,498,377,121,0.7570281124497992
MTF_COMPRESSION_EXPANSION,regime,1332,1168,164,0.8768768768768769
MTF_COMPRESSION_EXPANSION,volatility,1332,1332,0,1.0
MTF_COMPRESSION_EXPANSION,asset,1332,1185,147,0.8896396396396397
MTF_COMPRESSION_EXPANSION,structure,1332,570,762,0.42792792792792794
MTF_COMPRESSION_EXPANSION,fee_buffer,1332,892,440,0.6696696696696697
MTF_COMPRESSION_EXPANSION,cooldown_after_full_stack,355,313,42,0.8816901408450705
MTF_RANGE_RECLAIM,regime,2937,288,2649,0.09805924412665985
MTF_RANGE_RECLAIM,volatility,2937,2937,0,1.0
MTF_RANGE_RECLAIM,asset,2937,209,2728,0.07116104868913857
MTF_RANGE_RECLAIM,structure,2937,2225,712,0.7575757575757576
MTF_RANGE_RECLAIM,fee_buffer,2937,2749,188,0.9359891045284303
MTF_RANGE_RECLAIM,cooldown_after_full_stack,26,18,8,0.6923076923076923
