family_id,variant_id,component_id,regime_type,regime,trade_count,net_pnl,return_on_initial_equity,win_rate,profit_factor,average_r,median_r,average_mfe_r,average_mae_r,average_holding_bars
MTF_TREND_BREAKOUT,BASELINE,MTF_TREND_BREAKOUT::BASELINE,MARKET_TREND,BEAR,42,876.2109720905348,0.008762109720905348,0.4523809523809524,1.0763833208471314,0.04172433200431122,-0.8106561315486049,2.2962600636213786,-0.9741652726840181,14.904761904761905
MTF_TREND_BREAKOUT,BASELINE,MTF_TREND_BREAKOUT::BASELINE,MARKET_TREND,BULL,68,2720.3922118268347,0.02720392211826835,0.4264705882352941,1.1361144294236314,0.08001153564196578,-0.8979688726266593,2.044953884166459,-0.9117772560520665,17.279411764705884
MTF_TREND_BREAKOUT,BASELINE,MTF_TREND_BREAKOUT::BASELINE,MARKET_TREND,STRONG_BULL,794,28173.73618161484,0.2817373618161484,0.4080604534005038,1.1234965736165152,0.07096658987812304,-0.770304705510898,2.0398097880571586,-1.070526775457427,15.610831234256928
MTF_TREND_BREAKOUT,BASELINE,MTF_TREND_BREAKOUT::BASELINE,MARKET_TREND,TRANSITION,64,245.1316005790968,0.0024513160057909682,0.421875,1.0134250506960998,0.007660362518096764,-0.7601364081650779,1.9799943475380608,-1.018693803328997,11.953125
MTF_TREND_BREAKOUT,BASELINE,MTF_TREND_BREAKOUT::BASELINE,VOLATILITY,HIGH_VOLATILITY,204,-14073.137427836898,-0.140731374278369,0.35784313725490197,0.7934386293468496,-0.13797193556702841,-1.0453116946644248,1.622003924082669,-1.0532011765330456,14.441176470588236
MTF_TREND_BREAKOUT,BASELINE,MTF_TREND_BREAKOUT::BASELINE,VOLATILITY,LOW_VOLATILITY,99,10014.77411238617,0.10014774112386171,0.45454545454545453,1.4512765487138266,0.2023186689370943,-0.4081221801284216,2.2928277358668807,-1.0543561169125426,13.282828282828282
MTF_TREND_BREAKOUT,BASELINE,MTF_TREND_BREAKOUT::BASELINE,VOLATILITY,NORMAL_VOLATILITY,665,36073.83428156205,0.3607383428156205,0.42255639097744363,1.1923653846569005,0.1084927346813896,-0.7526402221145517,2.1412776697617315,-1.0509415975991565,16.090225563909776
MTF_TREND_BREAKOUT,REGIME_GATE,MTF_TREND_BREAKOUT::REGIME_GATE,MARKET_TREND,BEAR,42,876.2109720905348,0.008762109720905348,0.4523809523809524,1.0763833208471314,0.04172433200431122,-0.8106561315486049,2.2962600636213786,-0.9741652726840181,14.904761904761905
MTF_TREND_BREAKOUT,REGIME_GATE,MTF_TREND_BREAKOUT::REGIME_GATE,MARKET_TREND,BULL,68,2720.3922118268347,0.02720392211826835,0.4264705882352941,1.1361144294236314,0.08001153564196578,-0.8979688726266593,2.044953884166459,-0.9117772560520665,17.279411764705884
MTF_TREND_BREAKOUT,REGIME_GATE,MTF_TREND_BREAKOUT::REGIME_GATE,MARKET_TREND,STRONG_BULL,794,28173.73618161484,0.2817373618161484,0.4080604534005038,1.1234965736165152,0.07096658987812304,-0.770304705510898,2.0398097880571586,-1.070526775457427,15.610831234256928
