variant_id,entry_family,top_k,maximum_positions,momentum_fast_bars,momentum_slow_bars,trail_activation_r,trail_atr,market_gate,cost_hurdle,cost_hurdle_ratio,parameters_frozen
RD19_P2_V01,VOLATILITY_CONTRACTION_BREAKOUT,2,2,336,1440,1.5,4.0,GATE_STRICT,COST_HURDLE_10X,10.0,True
RD19_P2_V02,VOLATILITY_CONTRACTION_BREAKOUT,3,3,168,720,1.0,3.0,GATE_STRICT,COST_HURDLE_10X,10.0,True
RD19_P2_V03,CONFIRMED_PULLBACK,3,3,336,1440,1.5,4.0,GATE_MODERATE,COST_HURDLE_10X,10.0,True
RD19_P2_V04,VOLATILITY_CONTRACTION_BREAKOUT,2,2,168,720,1.5,4.0,GATE_STRICT,COST_HURDLE_6X,6.0,True
RD19_P2_V05,CONFIRMED_PULLBACK,3,3,168,720,1.0,3.0,GATE_STRICT,COST_HURDLE_10X,10.0,True
RD19_P2_V06,CONFIRMED_PULLBACK,2,2,168,720,1.5,4.0,GATE_MODERATE,COST_HURDLE_10X,10.0,True
RD19_P2_V07,CONFIRMED_PULLBACK,2,2,336,1440,1.0,3.0,GATE_STRICT,COST_HURDLE_6X,6.0,True
RD19_P2_V08,VOLATILITY_CONTRACTION_BREAKOUT,2,2,336,1440,1.0,3.0,GATE_MODERATE,COST_HURDLE_10X,10.0,True
RD19_P2_V09,VOLATILITY_CONTRACTION_BREAKOUT,3,3,336,1440,1.0,3.0,GATE_MODERATE,COST_HURDLE_6X,6.0,True
RD19_P2_V10,VOLATILITY_CONTRACTION_BREAKOUT,3,3,168,720,1.5,4.0,GATE_MODERATE,COST_HURDLE_6X,6.0,True
RD19_P2_V11,CONFIRMED_PULLBACK,3,3,336,1440,1.5,4.0,GATE_STRICT,COST_HURDLE_6X,6.0,True
RD19_P2_V12,CONFIRMED_PULLBACK,2,2,168,720,1.0,3.0,GATE_MODERATE,COST_HURDLE_6X,6.0,True
