pair,symbol,rows,first_timestamp,last_timestamp,parquet_bytes,metadata_sha256,declared_parquet_sha256,data_exists,metadata_exists
ADA-USDT,ADA/USDT,48182,2019-07-04T11:00:00+00:00,2025-01-01T00:00:00+00:00,2538961,be71b86023c5e385492a8165cd211b4e0f7fd16ebe985f3941315b29890990b5,8f585ac8b067d883078d7234a0e0b64cbe5c4ee0d9d475b7fefa37bc0b00ab7c,True,True
ATOM-USDT,ATOM/USDT,49166,2019-05-24T11:00:00+00:00,2025-01-01T00:00:00+00:00,2224986,378b8f86002c7059a9bc49c58bb5a80e46bac809887319d7f596dd252d0d59a1,6ce2daf7f94959f2cf3be56a884d8ff1b397ef4ebbdcbc4b52d27d8c9ee4b45a,True,True
AVAX-USDT,AVAX/USDT,33542,2021-03-05T11:00:00+00:00,2025-01-01T00:00:00+00:00,1302735,fb47cdfebd1854fb8aac15b2a35c90aaf38f8acd58344f0c1692b7f710546752,39e0d8ff2b0190b1d203d2e5f761fc9f8c75a054f9ecdcb6cb01a0426e359d09,True,True
BNB-USDT,BNB/USDT,48542,2019-06-19T11:00:00+00:00,2025-01-01T00:00:00+00:00,2008383,391945e2ea490c239d1e559ee43cf50c4203096252c5324b6525cad642bd8e26,2a8db08e2d07197f356f993a2f249ddae4f8f1236663f9d54e2b820483702220,True,True
BTC-USDT,BTC/USDT,52608,2019-01-01T01:00:00+00:00,2025-01-01T00:00:00+00:00,2325503,a4a33e1231e7c7b7739d228eeed9db8ef48d6a2dfd7ccf12fbc4d55976172bce,16ad84288c8ec859da367b9cafaf1c76a05045de4f81289b4b31b7840c08d773,True,True
DOGE-USDT,DOGE/USDT,34125,2021-02-09T04:00:00+00:00,2025-01-01T00:00:00+00:00,1353718,56edc02e972ae5c6f35ca94fd73bd3478ca3ca24f613ffe32cb540603be28b24,d1ff46fff28cd664da61a11abc8207e1e1d2e3745acfd8d274157b98305591e7,True,True
DOT-USDT,DOT/USDT,38239,2020-08-21T18:00:00+00:00,2025-01-01T00:00:00+00:00,1710262,b21ec32d4c5751219176552e235a6b83d133910819ec7da8b35a70e8de4af783,5fc2185ba5ee45b81c127636efcce7508e49abbb9046c647cac71b0023c55ef9,True,True
ETH-USDT,ETH/USDT,52608,2019-01-01T01:00:00+00:00,2025-01-01T00:00:00+00:00,2215326,7c6fea44c8a49c54526f823f90926a8a61b2371fd2115764b7e56cbb9f07861c,58bdac8b9d0f724bfabbed33f20bf9b5954f9cb9258f6d135e7c3622f431dc6e,True,True
FET-USDT,FET/USDT,16333,2023-02-20T12:00:00+00:00,2025-01-01T00:00:00+00:00,603206,3168d584499fd55e592eeecf1b228ebdf459fad3ee47c919aa3410529bf2ba0a,faf0dd782bc5dd23562d2d0c4131bf0666327c13ba5fe650e194e244e1796bc3,True,True
FIL-USDT,FIL/USDT,36919,2020-10-15T18:00:00+00:00,2025-01-01T00:00:00+00:00,1631422,9b06503db38afcb7803e82bc25a51ad1358898ac69602f036962bbef348f1b7b,a566db8f6ed46ca1a5e6f1ce450c887b0cf6a7273f59ad34fe3fcc7bf48fc791,True,True
GRAM-USDT,GRAM/USDT,19118,2022-10-27T11:00:00+00:00,2025-01-01T00:00:00+00:00,770974,bed381a93e682d970e4362ee4b1041bf995020b7397ca6b77110e5339a09c8cf,db76f211eb42e66c3bcd9762162af57110dfa40f73cf67b75b9445cc0701e000,True,True
