decision_time,boundary,upper_rank,lower_rank,original_c2_upper_asset,original_c2_lower_asset,upper_confidence,lower_confidence,upper_liquidity,lower_liquidity,relative_gap,p2s2_opportunity_class,p2s2_potential_5pct,p2s2_potential_10pct,p2s2_potential_15pct,p2s2_swap_executed,e05_eligibility,e05_intervention,e05_reason_code,e05_promoted_asset,e05_displaced_asset,e10_eligibility,e10_intervention,e10_reason_code,e10_promoted_asset,e10_displaced_asset,e15_eligibility,e15_intervention,e15_reason_code,e15_promoted_asset,e15_displaced_asset
2019-05-06T00:00:00+00:00,TOP6_ENTRY,6,7,NEO-USDT,TRX-USDT,CURRENT_SEED_KLINE_CONFIRMED,EVIDENCE_STRONG,34079.07967172006,26165.910807665266,0.23220019261909233,ABOVE_15_PERCENT,False,False,False,False,False,False,GAP_ABOVE_THRESHOLD,,,False,False,GAP_ABOVE_THRESHOLD,,,False,False,GAP_ABOVE_THRESHOLD,,
2019-05-06T00:00:00+00:00,TOP8_RETENTION,8,9,ETC-USDT,BCHSV-USDT,CURRENT_SEED_KLINE_CONFIRMED,CURRENT_SEED_KLINE_CONFIRMED,25563.248192793148,25197.609159154545,0.01430330883153123,UP_TO_5_PERCENT,False,False,False,False,False,False,SAME_CONFIDENCE_CLASS,,,False,False,SAME_CONFIDENCE_CLASS,,,False,False,SAME_CONFIDENCE_CLASS,,
2019-05-13T00:00:00+00:00,TOP6_ENTRY,6,7,NEO-USDT,XLM-USDT,CURRENT_SEED_KLINE_CONFIRMED,CURRENT_SEED_KLINE_CONFIRMED,107974.61802342851,76252.25667529987,0.29379461514969635,ABOVE_15_PERCENT,False,False,False,False,False,False,SAME_CONFIDENCE_CLASS,,,False,False,SAME_CONFIDENCE_CLASS,,,False,False,SAME_CONFIDENCE_CLASS,,
2019-05-13T00:00:00+00:00,TOP8_RETENTION,8,9,ONT-USDT,ETC-USDT,CURRENT_SEED_KLINE_CONFIRMED,CURRENT_SEED_KLINE_CONFIRMED,60593.51349515232,36155.71478216287,0.40330717437180064,ABOVE_15_PERCENT,False,False,False,False,False,False,SAME_CONFIDENCE_CLASS,,,False,False,SAME_CONFIDENCE_CLASS,,,False,False,SAME_CONFIDENCE_CLASS,,
2019-05-20T00:00:00+00:00,TOP6_ENTRY,6,7,NEO-USDT,XLM-USDT,CURRENT_SEED_KLINE_CONFIRMED,CURRENT_SEED_KLINE_CONFIRMED,145976.27491622628,83789.74622244854,0.42600435399153536,ABOVE_15_PERCENT,False,False,False,False,False,False,SAME_CONFIDENCE_CLASS,,,False,False,SAME_CONFIDENCE_CLASS,,,False,False,SAME_CONFIDENCE_CLASS,,
2019-05-20T00:00:00+00:00,TOP8_RETENTION,8,9,ONT-USDT,TRX-USDT,CURRENT_SEED_KLINE_CONFIRMED,EVIDENCE_STRONG,74297.574848463,64018.28123066138,0.13835301675414338,ABOVE_10_THROUGH_15_PERCENT,False,False,True,False,False,False,GAP_ABOVE_THRESHOLD,,,False,False,GAP_ABOVE_THRESHOLD,,,True,True,SWAP_APPLIED_CONFIDENCE_TIEBREAK,TRX-USDT,ONT-USDT
2019-05-27T00:00:00+00:00,TOP6_ENTRY,6,7,NEO-USDT,TRX-USDT,CURRENT_SEED_KLINE_CONFIRMED,EVIDENCE_STRONG,159360.73173027483,97962.36128865491,0.3852791699371675,ABOVE_15_PERCENT,False,False,False,False,False,False,GAP_ABOVE_THRESHOLD,,,False,False,GAP_ABOVE_THRESHOLD,,,False,False,GAP_ABOVE_THRESHOLD,,
2019-05-27T00:00:00+00:00,TOP8_RETENTION,8,9,XLM-USDT,ONT-USDT,CURRENT_SEED_KLINE_CONFIRMED,CURRENT_SEED_KLINE_CONFIRMED,83789.74622244854,75103.28348895951,0.10366975823542703,ABOVE_10_THROUGH_15_PERCENT,False,False,False,False,False,False,SAME_CONFIDENCE_CLASS,,,False,False,SAME_CONFIDENCE_CLASS,,,False,False,SAME_CONFIDENCE_CLASS,,
2019-06-03T00:00:00+00:00,TOP6_ENTRY,6,7,NEO-USDT,TRX-USDT,CURRENT_SEED_KLINE_CONFIRMED,EVIDENCE_STRONG,192155.5946807742,135946.16516978323,0.2925203900743615,ABOVE_15_PERCENT,False,False,False,False,False,False,GAP_ABOVE_THRESHOLD,,,False,False,GAP_ABOVE_THRESHOLD,,,False,False,GAP_ABOVE_THRESHOLD,,
2019-06-03T00:00:00+00:00,TOP8_RETENTION,8,9,XLM-USDT,ETC-USDT,CURRENT_SEED_KLINE_CONFIRMED,CURRENT_SEED_KLINE_CONFIRMED,85492.1696853163,81475.24849013332,0.04698583753305894,UP_TO_5_PERCENT,False,False,False,False,False,False,SAME_CONFIDENCE_CLASS,,,False,False,SAME_CONFIDENCE_CLASS,,,False,False,SAME_CONFIDENCE_CLASS,,
2019-06-10T00:00:00+00:00,TOP6_ENTRY,6,7,NEO-USDT,TRX-USDT,CURRENT_SEED_KLINE_CONFIRMED,EVIDENCE_STRONG,195043.1568753061,156211.32001142768,0.19909356209151274,ABOVE_15_PERCENT,False,False,False,False,False,False,GAP_ABOVE_THRESHOLD,,,False,False,GAP_ABOVE_THRESHOLD,,,False,False,GAP_ABOVE_THRESHOLD,,
