asset,pair,confidence_class,eligible_weeks,top6_slots,top10_slots,hysteresis_slots,top6_slot_share,top10_slot_share,hysteresis_slot_share,first_eligible_week,first_top6_week,best_rank,median_rank,longest_top6_run
1INCH,1INCH-USDT,CURRENT_SEED_KLINE_CONFIRMED,197,0,0,0,0.0,0.0,0.0,2021-03-29T00:00:00+00:00,,20,121.0,0
AGI,AGI-USDT,CURRENT_SEED_KLINE_CONFIRMED,77,0,0,0,0.0,0.0,0.0,2023-07-17T00:00:00+00:00,,129,214.0,0
ARTFI,ARTFI-USDT,CURRENT_SEED_KLINE_CONFIRMED,16,0,0,0,0.0,0.0,0.0,2024-09-16T00:00:00+00:00,,177,192.0,0
AVA,AVA-USDT,CURRENT_SEED_KLINE_CONFIRMED,291,0,0,0,0.0,0.0,0.0,2019-06-10T00:00:00+00:00,,12,142.0,0
BAX,BAX-USDT,CURRENT_SEED_KLINE_CONFIRMED,182,0,0,0,0.0,0.0,0.0,2021-07-12T00:00:00+00:00,,47,182.0,0
BCHSV,BCHSV-USDT,CURRENT_SEED_KLINE_CONFIRMED,301,62,98,53,0.43356643356643354,0.2020618556701031,0.363013698630137,2019-04-01T00:00:00+00:00,2019-07-15T00:00:00+00:00,2,74.0,37
CGPT,CGPT-USDT,CURRENT_SEED_KLINE_CONFIRMED,78,0,0,0,0.0,0.0,0.0,2023-07-10T00:00:00+00:00,,58,111.5,0
CHR,CHR-USDT,CURRENT_SEED_KLINE_CONFIRMED,279,0,11,0,0.0,0.02268041237113402,0.0,2019-09-02T00:00:00+00:00,,8,96.0,0
COMP,COMP-USDT,CURRENT_SEED_KLINE_CONFIRMED,223,0,2,0,0.0,0.004123711340206186,0.0,2020-09-28T00:00:00+00:00,,9,118.0,0
COTI,COTI-USDT,CURRENT_SEED_KLINE_CONFIRMED,278,0,20,0,0.0,0.041237113402061855,0.0,2019-09-09T00:00:00+00:00,,8,66.0,0
DAG,DAG-USDT,CURRENT_SEED_KLINE_CONFIRMED,255,0,0,0,0.0,0.0,0.0,2020-02-17T00:00:00+00:00,,13,78.0,0
DASH,DASH-USDT,CURRENT_SEED_KLINE_CONFIRMED,250,0,3,0,0.0,0.006185567010309278,0.0,2020-03-23T00:00:00+00:00,,9,79.0,0
DCR,DCR-USDT,CURRENT_SEED_KLINE_CONFIRMED,45,0,0,0,0.0,0.0,0.0,2024-02-26T00:00:00+00:00,,313,349.0,0
DENT,DENT-USDT,CURRENT_SEED_KLINE_CONFIRMED,45,0,0,0,0.0,0.0,0.0,2024-02-26T00:00:00+00:00,,234,318.0,0
DGB,DGB-USDT,CURRENT_SEED_KLINE_CONFIRMED,229,0,0,0,0.0,0.0,0.0,2020-08-17T00:00:00+00:00,,22,131.0,0
ENJ,ENJ-USDT,CURRENT_SEED_KLINE_CONFIRMED,185,0,0,0,0.0,0.0,0.0,2021-06-21T00:00:00+00:00,,24,116.0,0
ETC,ETC-USDT,CURRENT_SEED_KLINE_CONFIRMED,301,0,41,0,0.0,0.08453608247422681,0.0,2019-04-01T00:00:00+00:00,,8,43.0,0
ETN,ETN-USDT,CURRENT_SEED_KLINE_CONFIRMED,273,0,0,0,0.0,0.0,0.0,2019-10-14T00:00:00+00:00,,11,189.0,0
GAS,GAS-USDT,CURRENT_SEED_KLINE_CONFIRMED,187,0,0,0,0.0,0.0,0.0,2021-06-07T00:00:00+00:00,,56,252.0,0
