decision_time,c2_top6,without_bchsv_top6,top6_changed,jaccard
2019-04-01T00:00:00+00:00,BTC;ETH;KCS;LTC;NEO;XRP,BTC;ETH;KCS;LTC;NEO;XRP,False,1.0
2019-04-08T00:00:00+00:00,BTC;ETH;KCS;LTC;NEO;XRP,BTC;ETH;KCS;LTC;NEO;XRP,False,1.0
2019-04-15T00:00:00+00:00,BTC;ETH;KCS;LTC;NEO;XRP,BTC;ETH;KCS;LTC;NEO;XRP,False,1.0
2019-04-22T00:00:00+00:00,BTC;ETH;KCS;LTC;NEO;XRP,BTC;ETH;KCS;LTC;NEO;XRP,False,1.0
2019-04-29T00:00:00+00:00,BTC;ETH;KCS;LTC;NEO;XRP,BTC;ETH;KCS;LTC;NEO;XRP,False,1.0
2019-05-06T00:00:00+00:00,BTC;ETH;KCS;LTC;NEO;XRP,BTC;ETH;KCS;LTC;NEO;XRP,False,1.0
2019-05-13T00:00:00+00:00,BTC;ETH;KCS;LTC;NEO;XRP,BTC;ETH;KCS;LTC;NEO;XRP,False,1.0
2019-05-20T00:00:00+00:00,BTC;ETH;KCS;LTC;NEO;XRP,BTC;ETH;KCS;LTC;NEO;XRP,False,1.0
2019-05-27T00:00:00+00:00,BTC;ETH;KCS;LTC;NEO;XRP,BTC;ETH;KCS;LTC;NEO;XRP,False,1.0
2019-06-03T00:00:00+00:00,BTC;ETH;KCS;LTC;NEO;XRP,BTC;ETH;KCS;LTC;NEO;XRP,False,1.0
2019-06-10T00:00:00+00:00,BTC;ETH;KCS;LTC;NEO;XRP,BTC;ETH;KCS;LTC;NEO;XRP,False,1.0
2019-06-17T00:00:00+00:00,BTC;ETH;KCS;LTC;NEO;XRP,BTC;ETH;KCS;LTC;NEO;XRP,False,1.0
2019-06-24T00:00:00+00:00,BTC;ETH;KCS;LTC;NEO;XRP,BTC;ETH;KCS;LTC;NEO;XRP,False,1.0
2019-07-01T00:00:00+00:00,BTC;ETH;KCS;LTC;NEO;XRP,BTC;ETH;KCS;LTC;NEO;XRP,False,1.0
2019-07-08T00:00:00+00:00,BTC;ETH;KCS;LTC;NEO;XRP,BTC;ETH;KCS;LTC;NEO;XRP,False,1.0
2019-07-15T00:00:00+00:00,BCHSV;BTC;ETH;KCS;LTC;XRP,BTC;ETH;KCS;LTC;TRX;XRP,True,0.7142857142857143
2019-07-22T00:00:00+00:00,BCHSV;BTC;ETH;KCS;LTC;XRP,BTC;ETH;KCS;LTC;TRX;XRP,True,0.7142857142857143
2019-07-29T00:00:00+00:00,BCHSV;BTC;ETH;KCS;LTC;XRP,BTC;ETH;KCS;LTC;TRX;XRP,True,0.7142857142857143
