decision_time,rank,liquidity,eligible
2019-07-15T00:00:00+00:00,4,6635415.608261786,True
2019-07-22T00:00:00+00:00,2,15078582.72829482,True
2019-07-29T00:00:00+00:00,3,19967699.00080415,True
2019-08-05T00:00:00+00:00,4,25608877.3976316,True
2019-08-12T00:00:00+00:00,4,30187920.792442247,True
2019-08-19T00:00:00+00:00,4,30187920.792442247,True
2019-08-26T00:00:00+00:00,4,28703627.747035146,True
2019-09-02T00:00:00+00:00,4,27024319.10437143,True
2019-09-09T00:00:00+00:00,4,25817550.169905588,True
2019-09-16T00:00:00+00:00,2,23964657.92932227,True
2019-09-23T00:00:00+00:00,2,21017091.06297182,True
2019-10-07T00:00:00+00:00,6,617368.211743515,True
2019-10-14T00:00:00+00:00,5,527014.9162525707,True
2019-10-21T00:00:00+00:00,5,419029.1117915353,True
2019-10-28T00:00:00+00:00,5,400869.21342386905,True
2019-11-04T00:00:00+00:00,5,349741.34044110053,True
2019-11-11T00:00:00+00:00,5,395479.0447885331,True
2019-11-18T00:00:00+00:00,5,424098.49690236227,True
2019-11-25T00:00:00+00:00,5,406633.3716564037,True
2019-12-02T00:00:00+00:00,5,414201.4363560628,True
2019-12-09T00:00:00+00:00,5,406385.44306914706,True
2019-12-16T00:00:00+00:00,5,364581.98572288896,True
2019-12-23T00:00:00+00:00,5,361060.6955485038,True
2019-12-30T00:00:00+00:00,4,353543.8570755161,True
2020-01-06T00:00:00+00:00,4,406047.45681156835,True
2020-01-13T00:00:00+00:00,4,526796.0053533935,True
2020-01-20T00:00:00+00:00,4,795878.3143494141,True
2020-01-27T00:00:00+00:00,4,1993399.350946912,True
2020-02-03T00:00:00+00:00,4,3287419.1438389122,True
2020-02-10T00:00:00+00:00,4,3706243.9778471263,True
2020-02-17T00:00:00+00:00,4,4266826.886449998,True
2020-02-24T00:00:00+00:00,4,4665620.0626217825,True
2020-03-02T00:00:00+00:00,4,5405146.923699951,True
2020-03-09T00:00:00+00:00,4,5449103.0133054275,True
2020-03-16T00:00:00+00:00,4,4951532.845813606,True
2020-03-23T00:00:00+00:00,4,4533182.8184383,True
2020-03-30T00:00:00+00:00,4,4092182.66753137,True
2020-04-06T00:00:00+00:00,4,2845278.5114808576,True
2020-04-13T00:00:00+00:00,4,1908994.787983848,True
2020-04-20T00:00:00+00:00,4,1596929.5891766148,True
2020-04-27T00:00:00+00:00,4,1388330.1704076484,True
2020-05-04T00:00:00+00:00,4,1335587.0763025898,True
2020-05-11T00:00:00+00:00,4,1290030.7532188073,True
2020-05-18T00:00:00+00:00,4,1378465.439034576,True
2020-05-25T00:00:00+00:00,4,1162141.6243523494,True
2020-06-01T00:00:00+00:00,4,1127067.3652198527,True
2020-06-08T00:00:00+00:00,5,1127067.3652198527,True
2020-06-15T00:00:00+00:00,5,920870.3674206769,True
2020-07-06T00:00:00+00:00,6,677759.7146964439,True
2020-07-13T00:00:00+00:00,6,746754.6558970911,True
2020-07-20T00:00:00+00:00,5,962543.144163681,True
2020-08-03T00:00:00+00:00,5,1582602.8245271314,True
2020-08-10T00:00:00+00:00,5,2068358.925977882,True
2020-08-17T00:00:00+00:00,5,2824189.289416174,True
2020-08-24T00:00:00+00:00,6,3182281.3573934417,True
2020-08-31T00:00:00+00:00,6,2882339.114824076,True
2020-10-26T00:00:00+00:00,6,877223.6152873088,True
2020-11-02T00:00:00+00:00,6,999749.9348039844,True
2020-11-23T00:00:00+00:00,6,1137495.6167127583,True
2020-12-14T00:00:00+00:00,6,1764976.03410595,True
2020-12-21T00:00:00+00:00,6,1953791.7146779639,True
2020-12-28T00:00:00+00:00,6,2347914.7722050725,True
2021-01-04T00:00:00+00:00,6,2621529.8389604064,True
2021-01-11T00:00:00+00:00,6,3111478.4859826453,True
2021-02-08T00:00:00+00:00,5,8613697.606274871,True
