decision_time,period,variant,pair,canonical_asset_id,adjusted_rank,confidence_class,member
2019-01-28T00:00:00+00:00,FULL,E10,BTC-USDT,BTC,1,EVIDENCE_STRONG,True
2019-01-28T00:00:00+00:00,FULL,E10,ETH-USDT,ETH,2,EVIDENCE_STRONG,True
2019-02-04T00:00:00+00:00,FULL,E10,BTC-USDT,BTC,1,EVIDENCE_STRONG,True
2019-02-04T00:00:00+00:00,FULL,E10,ETH-USDT,ETH,2,EVIDENCE_STRONG,True
2019-02-11T00:00:00+00:00,FULL,E10,BTC-USDT,BTC,1,EVIDENCE_STRONG,True
2019-02-11T00:00:00+00:00,FULL,E10,ETH-USDT,ETH,2,EVIDENCE_STRONG,True
2019-02-18T00:00:00+00:00,FULL,E10,BTC-USDT,BTC,1,EVIDENCE_STRONG,True
2019-02-18T00:00:00+00:00,FULL,E10,ETH-USDT,ETH,2,EVIDENCE_STRONG,True
2019-02-25T00:00:00+00:00,FULL,E10,BTC-USDT,BTC,1,EVIDENCE_STRONG,True
2019-02-25T00:00:00+00:00,FULL,E10,ETH-USDT,ETH,2,EVIDENCE_STRONG,True
2019-03-04T00:00:00+00:00,FULL,E10,BTC-USDT,BTC,1,EVIDENCE_STRONG,True
2019-03-04T00:00:00+00:00,FULL,E10,ETH-USDT,ETH,2,EVIDENCE_STRONG,True
2019-03-11T00:00:00+00:00,FULL,E10,BTC-USDT,BTC,1,EVIDENCE_STRONG,True
2019-03-11T00:00:00+00:00,FULL,E10,ETH-USDT,ETH,2,EVIDENCE_STRONG,True
2019-03-11T00:00:00+00:00,FULL,E10,KCS-USDT,KCS,3,EVIDENCE_STRONG,True
2019-03-18T00:00:00+00:00,FULL,E10,BTC-USDT,BTC,1,EVIDENCE_STRONG,True
2019-03-18T00:00:00+00:00,FULL,E10,ETH-USDT,ETH,2,EVIDENCE_STRONG,True
2019-03-18T00:00:00+00:00,FULL,E10,KCS-USDT,KCS,3,EVIDENCE_STRONG,True
2019-03-18T00:00:00+00:00,FULL,E10,NEO-USDT,NEO,4,CURRENT_SEED_KLINE_CONFIRMED,True
2019-03-18T00:00:00+00:00,FULL,E10,LTC-USDT,LTC,5,EVIDENCE_STRONG,True
2019-03-18T00:00:00+00:00,FULL,E10,XRP-USDT,XRP,6,EVIDENCE_STRONG,True
2019-03-25T00:00:00+00:00,FULL,E10,BTC-USDT,BTC,1,EVIDENCE_STRONG,True
2019-03-25T00:00:00+00:00,FULL,E10,ETH-USDT,ETH,2,EVIDENCE_STRONG,True
2019-03-25T00:00:00+00:00,FULL,E10,KCS-USDT,KCS,3,EVIDENCE_STRONG,True
2019-03-25T00:00:00+00:00,FULL,E10,LTC-USDT,LTC,4,EVIDENCE_STRONG,True
2019-03-25T00:00:00+00:00,FULL,E10,NEO-USDT,NEO,5,CURRENT_SEED_KLINE_CONFIRMED,True
2019-03-25T00:00:00+00:00,FULL,E10,XRP-USDT,XRP,6,EVIDENCE_STRONG,True
2019-04-01T00:00:00+00:00,POST_WARMUP,E10,BTC-USDT,BTC,1,EVIDENCE_STRONG,True
2019-04-01T00:00:00+00:00,POST_WARMUP,E10,KCS-USDT,KCS,2,EVIDENCE_STRONG,True
2019-04-01T00:00:00+00:00,POST_WARMUP,E10,ETH-USDT,ETH,3,EVIDENCE_STRONG,True
2019-04-01T00:00:00+00:00,POST_WARMUP,E10,LTC-USDT,LTC,4,EVIDENCE_STRONG,True
2019-04-01T00:00:00+00:00,POST_WARMUP,E10,NEO-USDT,NEO,5,CURRENT_SEED_KLINE_CONFIRMED,True
2019-04-01T00:00:00+00:00,POST_WARMUP,E10,XRP-USDT,XRP,6,EVIDENCE_STRONG,True
2019-04-08T00:00:00+00:00,POST_WARMUP,E10,KCS-USDT,KCS,1,EVIDENCE_STRONG,True
2019-04-08T00:00:00+00:00,POST_WARMUP,E10,BTC-USDT,BTC,2,EVIDENCE_STRONG,True
2019-04-08T00:00:00+00:00,POST_WARMUP,E10,ETH-USDT,ETH,3,EVIDENCE_STRONG,True
2019-04-08T00:00:00+00:00,POST_WARMUP,E10,XRP-USDT,XRP,4,EVIDENCE_STRONG,True
2019-04-08T00:00:00+00:00,POST_WARMUP,E10,LTC-USDT,LTC,5,EVIDENCE_STRONG,True
2019-04-08T00:00:00+00:00,POST_WARMUP,E10,NEO-USDT,NEO,6,CURRENT_SEED_KLINE_CONFIRMED,True
2019-04-15T00:00:00+00:00,POST_WARMUP,E10,KCS-USDT,KCS,1,EVIDENCE_STRONG,True
2019-04-15T00:00:00+00:00,POST_WARMUP,E10,BTC-USDT,BTC,2,EVIDENCE_STRONG,True
2019-04-15T00:00:00+00:00,POST_WARMUP,E10,ETH-USDT,ETH,3,EVIDENCE_STRONG,True
2019-04-15T00:00:00+00:00,POST_WARMUP,E10,XRP-USDT,XRP,4,EVIDENCE_STRONG,True
2019-04-15T00:00:00+00:00,POST_WARMUP,E10,LTC-USDT,LTC,5,EVIDENCE_STRONG,True
2019-04-15T00:00:00+00:00,POST_WARMUP,E10,NEO-USDT,NEO,6,CURRENT_SEED_KLINE_CONFIRMED,True
2019-04-22T00:00:00+00:00,POST_WARMUP,E10,KCS-USDT,KCS,1,EVIDENCE_STRONG,True
2019-04-22T00:00:00+00:00,POST_WARMUP,E10,BTC-USDT,BTC,2,EVIDENCE_STRONG,True
2019-04-22T00:00:00+00:00,POST_WARMUP,E10,ETH-USDT,ETH,3,EVIDENCE_STRONG,True
2019-04-22T00:00:00+00:00,POST_WARMUP,E10,LTC-USDT,LTC,4,EVIDENCE_STRONG,True
2019-04-22T00:00:00+00:00,POST_WARMUP,E10,XRP-USDT,XRP,5,EVIDENCE_STRONG,True
2019-04-22T00:00:00+00:00,POST_WARMUP,E10,NEO-USDT,NEO,6,CURRENT_SEED_KLINE_CONFIRMED,True
2019-04-29T00:00:00+00:00,POST_WARMUP,E10,KCS-USDT,KCS,1,EVIDENCE_STRONG,True
2019-04-29T00:00:00+00:00,POST_WARMUP,E10,BTC-USDT,BTC,2,EVIDENCE_STRONG,True
2019-04-29T00:00:00+00:00,POST_WARMUP,E10,ETH-USDT,ETH,3,EVIDENCE_STRONG,True
2019-04-29T00:00:00+00:00,POST_WARMUP,E10,LTC-USDT,LTC,4,EVIDENCE_STRONG,True
