pair,classification,in_c2_eligibility,in_c2_rankings,in_c2_topn,in_c2_hysteresis,in_e05,in_e10,in_e15,status
AGIX2L-USDT,EXCLUDED_LEVERAGED_OR_SYNTHETIC,False,False,False,False,False,False,False,EXCLUDED_BEFORE_AGGREGATION
AGIX2S-USDT,EXCLUDED_LEVERAGED_OR_SYNTHETIC,False,False,False,False,False,False,False,EXCLUDED_BEFORE_AGGREGATION
APT2L-USDT,EXCLUDED_LEVERAGED_OR_SYNTHETIC,False,False,False,False,False,False,False,EXCLUDED_BEFORE_AGGREGATION
APT2S-USDT,EXCLUDED_LEVERAGED_OR_SYNTHETIC,False,False,False,False,False,False,False,EXCLUDED_BEFORE_AGGREGATION
BLUR2L-USDT,EXCLUDED_LEVERAGED_OR_SYNTHETIC,False,False,False,False,False,False,False,EXCLUDED_BEFORE_AGGREGATION
BLUR2S-USDT,EXCLUDED_LEVERAGED_OR_SYNTHETIC,False,False,False,False,False,False,False,EXCLUDED_BEFORE_AGGREGATION
CFX2L-USDT,EXCLUDED_LEVERAGED_OR_SYNTHETIC,False,False,False,False,False,False,False,EXCLUDED_BEFORE_AGGREGATION
CFX2S-USDT,EXCLUDED_LEVERAGED_OR_SYNTHETIC,False,False,False,False,False,False,False,EXCLUDED_BEFORE_AGGREGATION
GRT2L-USDT,EXCLUDED_LEVERAGED_OR_SYNTHETIC,False,False,False,False,False,False,False,EXCLUDED_BEFORE_AGGREGATION
GRT2S-USDT,EXCLUDED_LEVERAGED_OR_SYNTHETIC,False,False,False,False,False,False,False,EXCLUDED_BEFORE_AGGREGATION
OP2L-USDT,EXCLUDED_LEVERAGED_OR_SYNTHETIC,False,False,False,False,False,False,False,EXCLUDED_BEFORE_AGGREGATION
OP2S-USDT,EXCLUDED_LEVERAGED_OR_SYNTHETIC,False,False,False,False,False,False,False,EXCLUDED_BEFORE_AGGREGATION
