decision_time,period,variant,top_n,rank,pair,canonical_asset_id,confidence_class
2019-03-04T00:00:00+00:00,FULL,E05,30,2,ETH-USDT,ETH,EVIDENCE_STRONG
2019-03-11T00:00:00+00:00,FULL,E05,4,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-03-11T00:00:00+00:00,FULL,E05,4,2,ETH-USDT,ETH,EVIDENCE_STRONG
2019-03-11T00:00:00+00:00,FULL,E05,4,3,KCS-USDT,KCS,EVIDENCE_STRONG
2019-03-11T00:00:00+00:00,FULL,E05,6,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-03-11T00:00:00+00:00,FULL,E05,6,2,ETH-USDT,ETH,EVIDENCE_STRONG
2019-03-11T00:00:00+00:00,FULL,E05,6,3,KCS-USDT,KCS,EVIDENCE_STRONG
2019-03-11T00:00:00+00:00,FULL,E05,8,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-03-11T00:00:00+00:00,FULL,E05,8,2,ETH-USDT,ETH,EVIDENCE_STRONG
2019-03-11T00:00:00+00:00,FULL,E05,8,3,KCS-USDT,KCS,EVIDENCE_STRONG
2019-03-11T00:00:00+00:00,FULL,E05,10,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-03-11T00:00:00+00:00,FULL,E05,10,2,ETH-USDT,ETH,EVIDENCE_STRONG
2019-03-11T00:00:00+00:00,FULL,E05,10,3,KCS-USDT,KCS,EVIDENCE_STRONG
2019-03-11T00:00:00+00:00,FULL,E05,30,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-03-11T00:00:00+00:00,FULL,E05,30,2,ETH-USDT,ETH,EVIDENCE_STRONG
2019-03-11T00:00:00+00:00,FULL,E05,30,3,KCS-USDT,KCS,EVIDENCE_STRONG
2019-03-18T00:00:00+00:00,FULL,E05,4,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-03-18T00:00:00+00:00,FULL,E05,4,2,ETH-USDT,ETH,EVIDENCE_STRONG
2019-03-18T00:00:00+00:00,FULL,E05,4,3,KCS-USDT,KCS,EVIDENCE_STRONG
2019-03-18T00:00:00+00:00,FULL,E05,4,4,NEO-USDT,NEO,CURRENT_SEED_KLINE_CONFIRMED
2019-03-18T00:00:00+00:00,FULL,E05,6,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-03-18T00:00:00+00:00,FULL,E05,6,2,ETH-USDT,ETH,EVIDENCE_STRONG
2019-03-18T00:00:00+00:00,FULL,E05,6,3,KCS-USDT,KCS,EVIDENCE_STRONG
2019-03-18T00:00:00+00:00,FULL,E05,6,4,NEO-USDT,NEO,CURRENT_SEED_KLINE_CONFIRMED
2019-03-18T00:00:00+00:00,FULL,E05,6,5,LTC-USDT,LTC,EVIDENCE_STRONG
2019-03-18T00:00:00+00:00,FULL,E05,6,6,XRP-USDT,XRP,EVIDENCE_STRONG
2019-03-18T00:00:00+00:00,FULL,E05,8,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-03-18T00:00:00+00:00,FULL,E05,8,2,ETH-USDT,ETH,EVIDENCE_STRONG
2019-03-18T00:00:00+00:00,FULL,E05,8,3,KCS-USDT,KCS,EVIDENCE_STRONG
2019-03-18T00:00:00+00:00,FULL,E05,8,4,NEO-USDT,NEO,CURRENT_SEED_KLINE_CONFIRMED
2019-03-18T00:00:00+00:00,FULL,E05,8,5,LTC-USDT,LTC,EVIDENCE_STRONG
2019-03-18T00:00:00+00:00,FULL,E05,8,6,XRP-USDT,XRP,EVIDENCE_STRONG
2019-03-18T00:00:00+00:00,FULL,E05,8,7,ETC-USDT,ETC,CURRENT_SEED_KLINE_CONFIRMED
2019-03-18T00:00:00+00:00,FULL,E05,8,8,TRX-USDT,TRX,EVIDENCE_STRONG
2019-03-18T00:00:00+00:00,FULL,E05,10,1,BTC-USDT,BTC,EVIDENCE_STRONG
2019-03-18T00:00:00+00:00,FULL,E05,10,2,ETH-USDT,ETH,EVIDENCE_STRONG
2019-03-18T00:00:00+00:00,FULL,E05,10,3,KCS-USDT,KCS,EVIDENCE_STRONG
2019-03-18T00:00:00+00:00,FULL,E05,10,4,NEO-USDT,NEO,CURRENT_SEED_KLINE_CONFIRMED
