variant,period,decision_time,boundary,promoted_asset,displaced_asset,promoted_confidence,displaced_confidence,upper_liquidity,lower_liquidity,absolute_liquidity_difference,relative_liquidity_sacrifice,c2_top6_total_liquidity,variant_top6_total_liquidity,top6_liquidity_retained_ratio,affects_raw_top6,affects_raw_top8_only,affects_hysteresis
E05,POST_WARMUP,2019-11-04T00:00:00+00:00,TOP8_RETENTION,ALGO-USDT,CHR-USDT,EVIDENCE_STRONG,CURRENT_SEED_KLINE_CONFIRMED,47428.24648427785,45967.200294809736,1461.0461894681139,0.030805401796847813,13747484.405633831,13747484.405633831,1.0,False,True,False
E05,POST_WARMUP,2020-02-17T00:00:00+00:00,TOP8_RETENTION,ADA-USDT,ETC-USDT,EVIDENCE_STRONG,CURRENT_SEED_KLINE_CONFIRMED,278568.0524099375,267136.12288222916,11431.92952770833,0.041038193105091735,32046397.586162537,32046397.586162537,1.0,False,True,False
E05,POST_WARMUP,2020-08-31T00:00:00+00:00,TOP6_ENTRY,ATOM-USDT,BCHSV-USDT,EVIDENCE_STRONG,CURRENT_SEED_KLINE_CONFIRMED,2882339.114824076,2779410.0655792127,102929.04924486345,0.03571024960785911,97269236.45037657,97166307.4011317,0.9989418129204974,True,False,False
E05,POST_WARMUP,2020-10-26T00:00:00+00:00,TOP6_ENTRY,ADA-USDT,BCHSV-USDT,EVIDENCE_STRONG,CURRENT_SEED_KLINE_CONFIRMED,877223.6152873088,872690.0571055287,4533.558181780158,0.005168075850643081,33341298.11160446,33336764.55342268,0.9998640257446904,True,False,False
E05,POST_WARMUP,2021-02-22T00:00:00+00:00,TOP6_ENTRY,KCS-USDT,XLM-USDT,EVIDENCE_STRONG,CURRENT_SEED_KLINE_CONFIRMED,10725316.166044153,10485219.80792638,240096.35811777413,0.022385946894312347,282828760.256152,282588663.8980342,0.9991510893096576,True,False,False
E05,POST_WARMUP,2021-09-13T00:00:00+00:00,TOP6_ENTRY,DOT-USDT,VET-USDT,EVIDENCE_STRONG,CURRENT_SEED_KLINE_CONFIRMED,27363500.48716194,27061717.407506816,301783.07965512574,0.011028672292739464,828305862.9051647,828004079.8255095,0.9996356622678044,True,False,False
E05,POST_WARMUP,2021-12-06T00:00:00+00:00,TOP6_ENTRY,AVAX-USDT,MANA-USDT,EVIDENCE_STRONG,CURRENT_SEED_KLINE_CONFIRMED,69317408.72874781,68236928.30724064,1080480.4215071797,0.015587432382755461,1060924079.2451651,1059843598.823658,0.998981566690167,True,False,False
E05,POST_WARMUP,2023-02-13T00:00:00+00:00,TOP8_RETENTION,ADA-USDT,GRAM-USDT,EVIDENCE_STRONG,CURRENT_SEED_KLINE_CONFIRMED,7996544.642973324,7653470.614598624,343074.0283746999,0.042902784101401074,294053585.6207795,294053585.6207795,1.0,False,True,False
E05,POST_WARMUP,2023-05-22T00:00:00+00:00,TOP8_RETENTION,INJ-USDT,GRAM-USDT,EVIDENCE_STRONG,CURRENT_SEED_KLINE_CONFIRMED,4833042.8996742945,4806594.1645624,26448.735111894086,0.005472480931976934,193574788.31645235,193574788.31645235,1.0,False,True,True
E05,POST_WARMUP,2023-08-07T00:00:00+00:00,TOP8_RETENTION,SHIB-USDT,XLM-USDT,EVIDENCE_STRONG,CURRENT_SEED_KLINE_CONFIRMED,5439881.946636623,5330743.264718462,109138.68191816099,0.02006269308576437,144814316.17778718,144814316.17778718,1.0,False,True,False
