scope,variant_id,cost_multiplier,trade_count,net_return,monthly_geometric_return,maximum_drawdown,profit_factor,minimum_cash,minimum_equity,capital_feasible
STANDALONE,QUALITY_MOMENTUM_BREAKOUT_V2,1.0,228,-0.44451618670346416,-0.008130556729770588,0.5952106453020666,0.6189408439546303,-188931.10387983482,55548.38132965358,False
STANDALONE,QUALITY_MOMENTUM_BREAKOUT_V2,1.5,228,-0.5717721866994204,-0.011707629043083423,0.6849939471893052,0.5415322299957428,-195582.9276772316,42822.78133005796,False
STANDALONE,QUALITY_MOMENTUM_BREAKOUT_V2,2.0,228,-0.6990281866953764,-0.016535206313212925,0.7764909975812184,0.47535276601602316,-202234.7514746285,30097.181330462365,False
STANDALONE,QUALITY_MOMENTUM_BREAKOUT_V2,3.0,228,-0.9535401866872856,-0.041723014690709825,0.9648264312298822,0.3745663131595622,-215538.39906942187,4645.98133127144,False
OVERLAY,QUALITY_MOMENTUM_BREAKOUT_V2,1.0,698,0.5445731030131471,0.006055156830776731,0.21882790585301637,1.191211339633195,-95926.18681385188,95293.35797858726,False
OVERLAY,QUALITY_MOMENTUM_BREAKOUT_V2,1.5,698,0.23420584240595033,0.0029262693127283246,0.2918340279280728,1.0770152179573307,-112468.68866320365,94507.85320346303,False
OVERLAY,QUALITY_MOMENTUM_BREAKOUT_V2,2.0,698,-0.07616141820127131,-0.0010994139975536443,0.38753306723273684,0.9765401273421319,-129011.19051255661,92383.85817987287,False
OVERLAY,QUALITY_MOMENTUM_BREAKOUT_V2,3.0,698,-0.6968959394156853,-0.016438793519796158,0.7524902785961212,0.8111580568979023,-162096.1942112612,30310.406058431465,False
STANDALONE,PULLBACK_REACCELERATION_V2,1.0,180,0.12041673029901956,0.0015800931751348557,0.26722805729653376,1.1259605115498117,-191774.5979738167,98781.10546187454,False
STANDALONE,PULLBACK_REACCELERATION_V2,1.5,180,0.008046171589638274,0.0001112881093614515,0.323233385903938,1.0077773778363601,-197910.94196519628,98109.1581928119,False
STANDALONE,PULLBACK_REACCELERATION_V2,2.0,180,-0.10432438711974368,-0.0015287460117705542,0.3924294818845291,0.9065770769706386,-204047.28595657612,89567.56128802564,False
STANDALONE,PULLBACK_REACCELERATION_V2,3.0,180,-0.3290655045385049,-0.005526344398299132,0.5352252887886304,0.7440140755459398,-216319.97393933526,67093.44954614951,False
OVERLAY,PULLBACK_REACCELERATION_V2,1.0,693,0.8794179789251144,0.00880002525354917,0.16639899457208296,1.3077011092318098,-159327.92153603217,94543.68957438038,False
OVERLAY,PULLBACK_REACCELERATION_V2,1.5,693,0.5590690488001919,0.006185664102599242,0.22367978912426578,1.1824848804969388,-177707.146217722,93289.60059715276,False
OVERLAY,PULLBACK_REACCELERATION_V2,2.0,693,0.2387201186752348,0.002977116179664341,0.2969744131169779,1.0727541963012293,-196086.3708994136,92035.51161992509,False
OVERLAY,PULLBACK_REACCELERATION_V2,3.0,693,-0.40197774157463195,-0.007113740614929531,0.5706893437470347,0.8925875061443957,-232844.82026279435,59802.225842536805,False
STANDALONE,SQUEEZE_TREND_RELEASE_V2,1.0,93,0.21407130728436696,0.002697226372684103,0.12770939035135198,1.5314465195638016,-144111.7452259293,98668.4843443281,False
STANDALONE,SQUEEZE_TREND_RELEASE_V2,1.5,93,0.1497622654170807,0.0019397401808263215,0.15305229313067115,1.3388459038468554,-146727.77289064042,98534.27158825508,False
STANDALONE,SQUEEZE_TREND_RELEASE_V2,2.0,93,0.0854532235497969,0.0011392661353724076,0.18688148899015378,1.1760759065433115,-150367.1978024046,98400.05883218211,False
STANDALONE,SQUEEZE_TREND_RELEASE_V2,3.0,93,-0.043164860184773834,-0.000612519885897167,0.2599342490047225,0.925228076412374,-157646.04762593325,95683.51398152261,False
OVERLAY,SQUEEZE_TREND_RELEASE_V2,1.0,603,0.917106990470216,0.009078197878696903,0.13119492804877164,1.3924727861904105,-106592.04527036351,95178.94982197955,False
OVERLAY,SQUEEZE_TREND_RELEASE_V2,1.5,603,0.6495691735915472,0.0069743400305584125,0.17493356491528633,1.2594759393297983,-121986.47394101552,94429.99096855147,False
OVERLAY,SQUEEZE_TREND_RELEASE_V2,2.0,603,0.3820313567128557,0.004502979746913827,0.22974941254692316,1.1424896399221602,-137380.90261166845,93681.03211512335,False
OVERLAY,SQUEEZE_TREND_RELEASE_V2,3.0,603,-0.1530442770444963,-0.002303899277944499,0.3884352071186117,0.9500082601938895,-168169.7599529731,84695.57229555037,False
STANDALONE,BULL_LIQUIDITY_SWEEP_RECLAIM_V2,1.0,71,-0.18263257744587924,-0.00279642153649029,0.2052601602782016,0.5518286101819344,-126820.69979009192,81736.74225541207,False
STANDALONE,BULL_LIQUIDITY_SWEEP_RECLAIM_V2,1.5,71,-0.22742414089730012,-0.003576521222659501,0.24506680513840373,0.4845591208205165,-129122.75073196334,77257.58591026999,False
STANDALONE,BULL_LIQUIDITY_SWEEP_RECLAIM_V2,2.0,71,-0.27221570434871867,-0.004402559792008431,0.28527233821855236,0.42944684693219043,-131424.80167383462,72778.42956512813,False
STANDALONE,BULL_LIQUIDITY_SWEEP_RECLAIM_V2,3.0,71,-0.3617988312515579,-0.006216814968943107,0.36690429449463513,0.34189383115596295,-139075.15796702995,63820.116874844214,False
OVERLAY,BULL_LIQUIDITY_SWEEP_RECLAIM_V2,1.0,621,0.8441586452602075,0.008534759341201958,0.15318534279361962,1.3387470805147994,-60683.911876542945,93022.40989313189,False
OVERLAY,BULL_LIQUIDITY_SWEEP_RECLAIM_V2,1.5,621,0.5673895208703035,0.006260033997708581,0.18538557947832468,1.2126823174757655,-65683.79198228075,92070.18107527996,False
OVERLAY,BULL_LIQUIDITY_SWEEP_RECLAIM_V2,2.0,621,0.29062039648037685,0.003548917055299805,0.24712681423884486,1.1017902551485028,-79600.10193732899,91117.95225742797,False
OVERLAY,BULL_LIQUIDITY_SWEEP_RECLAIM_V2,3.0,621,-0.26291785229944886,-0.004227042801795866,0.43065084502476736,0.9192074011469876,-114784.25935340767,73708.21477005511,False
STANDALONE,RELATIVE_STRENGTH_ROTATION_RECLAIM_V2,1.0,127,0.23233452324064152,0.0029051377880722207,0.20928374969426666,1.360124207965454,-41836.73776864454,99261.7324838372,False
