hypothesis_id,candidate_count,candidate_assets,evaluated_count,standalone_trade_count,overlay_new_trade_count,first_signal_close,last_signal_close
QUALITY_MOMENTUM_BREAKOUT_V2,283,6,283,228,131,2019-10-27 11:00:00+00:00,2024-12-24 22:00:00+00:00
PULLBACK_REACCELERATION_V2,204,6,204,180,126,2019-09-04 18:00:00+00:00,2024-12-13 04:00:00+00:00
SQUEEZE_TREND_RELEASE_V2,111,6,111,93,36,2019-11-02 13:00:00+00:00,2024-12-25 11:00:00+00:00
BULL_LIQUIDITY_SWEEP_RECLAIM_V2,73,6,73,71,54,2019-09-05 11:00:00+00:00,2024-12-17 15:00:00+00:00
RELATIVE_STRENGTH_ROTATION_RECLAIM_V2,146,6,146,127,87,2020-01-13 21:00:00+00:00,2024-12-12 21:00:00+00:00
