order_id,signal_id,created_at,symbol,side,reason,stop_loss
ORD-000001,SIG-000001,2023-02-16T00:00:00Z,BTC/USDT,buy,regime_momentum_breakout_entry,22817.242857142857
ORD-000002,SIG-000002,2023-03-15T00:00:00Z,BTC/USDT,buy,regime_momentum_breakout_entry,22396.714285714283
ORD-000003,SIG-000003,2023-04-14T00:00:00Z,BTC/USDT,sell,time_stop_30_bars,
RISK-ORD-000001,,2023-02-26T00:00:00Z,BTC/USDT,sell,stop_loss,
