scenario,weekly_observation_count,effective_sample_size,observed_total_pnl,role
OBSERVED_FIXED6,313,292.727116813393,108155.86314022547,DESCRIPTIVE_ONLY_NOT_A_CONFIRMATION_GATE
CONFIRMED_PIT_ONLY,313,235.6230410943337,17107.467256313317,DESCRIPTIVE_ONLY_NOT_A_CONFIRMATION_GATE
REMOVE_POSITIVE_NON_PIT,313,299.20431109501783,82083.48202958163,DESCRIPTIVE_ONLY_NOT_A_CONFIRMATION_GATE
UNRESOLVED_ZERO_EDGE,313,313.0,27196.702303936334,DESCRIPTIVE_ONLY_NOT_A_CONFIRMATION_GATE
UNRESOLVED_POSITIVE_HAIRCUT_50,313,302.06803576322517,17876.913608371608,DESCRIPTIVE_ONLY_NOT_A_CONFIRMATION_GATE
STRICT_REMOVE_ALL_UNCERTAIN_POSITIVE,313,184.81331278405477,-98474.41703412609,DESCRIPTIVE_ONLY_NOT_A_CONFIRMATION_GATE
