path,accepted_for_read,discovery_reason,suffix,size_bytes,load_status,row_count,first_day,last_day,error
data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,True,SAFE_PRE_2025_CANDIDATE,.json,17665158,LOADED,113800.0,2021-01-01T00:00:00+00:00,2024-12-31T00:00:00+00:00,
data/research/rd01/dominance/raw/defillama-stablecoins-2021-2024.json,True,SAFE_PRE_2025_CANDIDATE,.json,1206254,REJECTED_PARSE_OR_SCHEMA,0.0,,,"A1Error: Panel columns unresolved for data/research/rd01/dominance/raw/defillama-stablecoins-2021-2024.json: asset=None, time=date, cap=None"
data/research/rd09/pilot/coinmetrics/asset-metrics-2022-03.json,False,NO_EXPLICIT_PRE_2025_BOUND_IN_FILENAME,.json,6103,,,,,
data/research/rd09/pilot/coinmetrics/asset-metrics-2023-03.json,False,NO_EXPLICIT_PRE_2025_BOUND_IN_FILENAME,.json,6029,,,,,
data/research/rd09/pilot/coinmetrics/asset-metrics-2024-03.json,False,NO_EXPLICIT_PRE_2025_BOUND_IN_FILENAME,.json,6034,,,,,
data/research/rd09/pilot/coinmetrics/asset-metrics-btc-eth-ada-2022-03.json,False,NO_EXPLICIT_PRE_2025_BOUND_IN_FILENAME,.json,21202,,,,,
data/research/rd09/pilot/coinmetrics/asset-metrics-btc-eth-ada-2023-03.json,False,NO_EXPLICIT_PRE_2025_BOUND_IN_FILENAME,.json,20719,,,,,
data/research/rd09/pilot/coinmetrics/asset-metrics-btc-eth-ada-2024-03.json,False,NO_EXPLICIT_PRE_2025_BOUND_IN_FILENAME,.json,20709,,,,,
data/research/rd09/pilot/coinmetrics/catalog-all-asset-metrics.json,False,NO_EXPLICIT_PRE_2025_BOUND_IN_FILENAME,.json,2359710,,,,,
data/research/rd09/pilot/coinmetrics/catalog-all-v2-asset-metrics.json,False,NO_EXPLICIT_PRE_2025_BOUND_IN_FILENAME,.json,1035681,,,,,
data/research/rd09/pilot/coinmetrics/catalog-v2-pit-asset-metrics.json,False,NO_EXPLICIT_PRE_2025_BOUND_IN_FILENAME,.json,250246,,,,,
