source_asset,canonical_symbol,day,source_timestamp,available_at,market_cap_usd,source_path,source_span_days,rebalance_time,market_cap_rank,top6_member,top10_member
btc,BTC,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,618626936448.978,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2021-01-04 00:00:00+00:00,1,True,True
eth,ETH,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,113022171397.96152,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2021-01-04 00:00:00+00:00,2,True,True
xrp,XRP,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,22697316038.74482,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2021-01-04 00:00:00+00:00,3,True,True
xlm,XLM,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,14369176581.40838,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2021-01-04 00:00:00+00:00,4,True,True
link,LINK,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,13804014049.6833,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2021-01-04 00:00:00+00:00,5,True,True
ltc,LTC,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,10737693162.064533,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2021-01-04 00:00:00+00:00,6,True,True
dot,DOT,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,10492233044.669643,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2021-01-04 00:00:00+00:00,7,False,True
bch,BCH,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,7894877072.046675,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2021-01-04 00:00:00+00:00,8,False,True
ada,ADA,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,6582025469.578494,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2021-01-04 00:00:00+00:00,9,False,True
cro,CRO,2021-01-03 00:00:00+00:00,2021-01-03 00:00:00+00:00,2021-01-04 00:00:00+00:00,6036316279.05837,data/research/rd01/dominance/raw/coinmetrics-community-market-cap-panel-2021-2024.json,1460,2021-01-04 00:00:00+00:00,10,False,True
