excluded_symbol,remaining_trade_count,observed_net_pnl,observed_return_on_initial,confirmed_pit_net_pnl,confirmed_pit_return_on_initial
AVAX,529,109589.80171623317,1.0958980171623316,17107.46725631332,0.17107467256313322
BTC,347,88388.75301806914,0.8838875301806914,21091.661096397147,0.21091661096397146
ETH,370,53507.99346205382,0.5350799346205382,-3613.5891127341233,-0.03613589112734123
LINK,527,97696.02336525277,0.9769602336525277,16736.862528963622,0.16736862528963622
NEAR,545,101946.95037868562,1.0194695037868562,17107.467256313324,0.17107467256313325
SOL,517,89649.7937608328,0.8964979376083281,17107.46725631332,0.17107467256313322
