scenario,trade_count,nonzero_trade_count,net_pnl,return_on_initial_equity,gross_profit,gross_loss,profit_factor,win_rate_on_nonzero
OBSERVED_FIXED6,567,567,108155.86314022547,1.0815586314022547,321992.92330001283,213837.06015978736,1.505786335911124,0.4144620811287478
CONFIRMED_PIT_ONLY,567,289,17107.46725631332,0.17107467256313322,115362.6431256613,98255.17586934796,1.17411263177689,0.4359861591695502
REMOVE_POSITIVE_NON_PIT,567,561,82083.48202958163,0.8208348202958163,295920.542189369,213837.06015978736,1.3838599444279942,0.40819964349376114
UNRESOLVED_ZERO_EDGE,567,319,27196.702303936334,0.2719670230393633,141435.02423630515,114238.3219323688,1.2380698687086573,0.41379310344827586
UNRESOLVED_POSITIVE_HAIRCUT_50,567,567,17876.913608371615,0.17876913608371614,231713.973768159,213837.06015978736,1.083600633094251,0.4144620811287478
STRICT_REMOVE_ALL_UNCERTAIN_POSITIVE,567,458,-98474.41703412609,-0.9847441703412609,115362.6431256613,213837.06015978736,0.5394885387942476,0.27510917030567683
