scope,top_n,available_positive_trades,removed_positive_pnl,remaining_net_pnl,remaining_return_on_initial,remaining_profit_factor
ALL_TRADES,1,235,22785.108141264605,85370.75499896087,0.8537075499896086,1.399232737932183
ALL_TRADES,3,235,52096.82425557897,56059.0388846465,0.560590388846465,1.2621577328212288
ALL_TRADES,5,235,71366.4789498387,36789.38419038677,0.3678938419038677,1.172044004733774
PIT_ELIGIBLE,1,126,10308.793612622763,97847.0695276027,0.9784706952760269,1.457577697030101
PIT_ELIGIBLE,3,126,23874.469275565774,84281.39386465968,0.8428139386465968,1.3941383864970895
PIT_ELIGIBLE,5,126,34970.44490605956,73185.4182341659,0.731854182341659,1.34224852408408
NON_PIT,1,6,22785.108141264605,85370.75499896087,0.8537075499896086,1.399232737932183
NON_PIT,3,6,24861.242052123114,83294.62108810236,0.8329462108810236,1.3895237851935553
NON_PIT,5,6,25992.908190048725,82162.95495017676,0.8216295495017676,1.384231596191892
UNRESOLVED,1,103,16742.9924034956,91412.87073672985,0.9141287073672985,1.4274884375440937
UNRESOLVED,3,103,38272.57719595132,69883.28594427413,0.6988328594427413,1.326806241593738
UNRESOLVED,5,103,55706.793068476356,52449.07007174911,0.5244907007174912,1.2452758658043517
