year,trade_count,pit_eligible_trade_count,non_pit_trade_count,unresolved_trade_count,resolved_trade_ratio,pit_eligible_net_pnl,non_pit_net_pnl,unresolved_net_pnl,complete_weekly_snapshots,loaded_panel_count
2019,15,0,0,15,0.0,0.0,0.0,-4509.474284492727,0,1
2020,119,0,0,119,0.0,0.0,0.0,46540.771772635744,0,1
2021,133,108,12,13,0.9022556390977443,19100.693647191893,-6524.935985898016,16183.207161910952,52,1
2022,17,8,2,7,0.5882352941176471,659.5046360714907,-83.66920156186814,-963.6131551436868,52,1
2023,104,70,9,25,0.7596153846153846,6471.099249757655,19617.487939388353,10039.503814997977,52,1
2024,179,103,7,69,0.6145251396648045,-9123.830276707713,-2919.6477043054583,13668.765526380872,53,1
