policy_id,portfolio_id,universe_id,cost_multiplier,signal_events,missing_entry_bar,missing_exit_bar_precheck,same_pair_open,position_slots_full,gross_limit_rejection,capacity_unavailable,capacity_capped_entries,cash_capped_entries,admitted_entries,max_hold_exits,time_failure_exits,profit_trail_gap_exits,profit_trail_touch_exits
BASELINE_H168,UNION_FOCUS,C2,1.0,2249,0,0,1702,170,0,0,4,0,377,377,0,0,0
BASELINE_H168,UNION_FOCUS,C2,2.0,2249,0,0,1702,170,0,0,3,0,377,377,0,0,0
BASELINE_H168,MOMENTUM_BREAKOUT,C2,1.0,1279,0,0,827,128,0,0,0,0,324,324,0,0,0
BASELINE_H168,MOMENTUM_BREAKOUT,C2,2.0,1279,0,0,827,128,0,0,0,0,324,324,0,0,0
BASELINE_H168,RELATIVE_STRENGTH_ROTATION,C2,1.0,1047,0,0,745,10,0,0,3,0,292,292,0,0,0
BASELINE_H168,RELATIVE_STRENGTH_ROTATION,C2,2.0,1047,0,0,745,10,0,0,3,0,292,292,0,0,0
BASELINE_H168,UNION_FOCUS,D2,1.0,2306,0,0,1749,179,0,0,5,0,378,378,0,0,0
BASELINE_H168,UNION_FOCUS,D2,2.0,2306,0,0,1749,179,0,0,4,0,378,378,0,0,0
BASELINE_H168,MOMENTUM_BREAKOUT,D2,1.0,1303,0,0,833,142,0,0,0,0,328,328,0,0,0
BASELINE_H168,MOMENTUM_BREAKOUT,D2,2.0,1303,0,0,833,142,0,0,0,0,328,328,0,0,0
BASELINE_H168,RELATIVE_STRENGTH_ROTATION,D2,1.0,1079,0,0,785,7,0,0,5,0,287,287,0,0,0
BASELINE_H168,RELATIVE_STRENGTH_ROTATION,D2,2.0,1079,0,0,785,7,0,0,5,0,287,287,0,0,0
BASELINE_H168,UNION_FOCUS,E2,1.0,2289,0,0,1730,179,0,0,4,0,380,380,0,0,0
BASELINE_H168,UNION_FOCUS,E2,2.0,2289,0,0,1730,179,0,0,3,0,380,380,0,0,0
BASELINE_H168,MOMENTUM_BREAKOUT,E2,1.0,1292,0,0,830,136,0,0,0,0,326,326,0,0,0
BASELINE_H168,MOMENTUM_BREAKOUT,E2,2.0,1292,0,0,830,136,0,0,0,0,326,326,0,0,0
BASELINE_H168,RELATIVE_STRENGTH_ROTATION,E2,1.0,1073,0,0,776,6,0,0,3,0,291,291,0,0,0
BASELINE_H168,RELATIVE_STRENGTH_ROTATION,E2,2.0,1073,0,0,776,6,0,0,3,0,291,291,0,0,0
TIME_FAIL_72_H168,UNION_FOCUS,C2,1.0,2249,0,0,1640,154,0,0,17,0,455,210,245,0,0
TIME_FAIL_72_H168,UNION_FOCUS,C2,2.0,2249,0,0,1640,154,0,0,8,0,455,210,245,0,0
TIME_FAIL_72_H168,MOMENTUM_BREAKOUT,C2,1.0,1279,0,0,780,115,0,0,5,0,384,172,212,0,0
TIME_FAIL_72_H168,MOMENTUM_BREAKOUT,C2,2.0,1279,0,0,780,115,0,0,4,0,384,172,212,0,0
TIME_FAIL_72_H168,RELATIVE_STRENGTH_ROTATION,C2,1.0,1047,0,0,705,4,0,0,13,0,338,156,182,0,0
