universe_id,period_id,timestamp,candidate_rank,family_id,pair,membership_rank,signal_strength,decision_close,return_72h,aux_value,atr24_at_signal
C2,ROBUSTNESS_2022,2022-01-01 18:00:00+00:00,1,MOMENTUM_BREAKOUT,AVAX-USDT,4,0.7276774672273012,113.511,0.07430437251561606,112.04,2.0215
C2,ROBUSTNESS_2022,2022-01-02 01:00:00+00:00,1,MOMENTUM_BREAKOUT,AVAX-USDT,4,1.171514324693044,116.374,0.12978981602834816,114.585,1.5270833333333325
C2,ROBUSTNESS_2022,2022-01-02 04:00:00+00:00,1,MOMENTUM_BREAKOUT,AVAX-USDT,4,0.5334456968292391,117.315,0.18854161390000512,116.471,1.5821666666666658
C2,ROBUSTNESS_2022,2022-01-02 17:00:00+00:00,1,MOMENTUM_BREAKOUT,ETH-USDT,2,1.0154005167958633,3839.2,0.021789408968602597,3814.64,24.1875
C2,ROBUSTNESS_2022,2022-01-03 21:00:00+00:00,1,RELATIVE_STRENGTH_ROTATION,XRP-USDT,3,0.00011614237961499185,0.82576,0.015095638491419594,0.014979496111804602,0.006205416666666681
C2,ROBUSTNESS_2022,2022-01-03 22:00:00+00:00,1,RELATIVE_STRENGTH_ROTATION,ETH-USDT,2,0.008850303529185366,3723.13,0.009164290438346434,0.0003139869091610681,26.564583333333303
C2,ROBUSTNESS_2022,2022-01-04 14:00:00+00:00,1,MOMENTUM_BREAKOUT,ETH-USDT,2,0.25671603181788744,3865.96,0.041970330760274344,3857.69,32.214583333333316
C2,ROBUSTNESS_2022,2022-01-09 10:00:00+00:00,1,RELATIVE_STRENGTH_ROTATION,SAND-USDT,7,0.014937223250233167,4.81803,0.015799826695255703,0.0008626034450225362,0.08415208333333331
C2,ROBUSTNESS_2022,2022-01-10 04:00:00+00:00,1,RELATIVE_STRENGTH_ROTATION,AVAX-USDT,4,0.005713959405231339,89.263,0.017636463131013747,0.011922503725782407,1.584083333333334
C2,ROBUSTNESS_2022,2022-01-11 17:00:00+00:00,1,MOMENTUM_BREAKOUT,ETH-USDT,2,0.20496649586124907,3219.25,0.028816776816188883,3210.8,41.22624999999999
C2,ROBUSTNESS_2022,2022-01-12 10:00:00+00:00,1,MOMENTUM_BREAKOUT,AVAX-USDT,4,1.4940137389597583,94.327,0.1249627306229053,92.424,1.2737499999999997
C2,ROBUSTNESS_2022,2022-01-12 12:00:00+00:00,1,MOMENTUM_BREAKOUT,SAND-USDT,8,0.7279600159693521,4.95222,0.037231435596905005,4.8922,0.0824495833333333
C2,ROBUSTNESS_2022,2022-01-12 13:00:00+00:00,1,MOMENTUM_BREAKOUT,ETH-USDT,2,0.6843915377489058,3317.26,0.06677343212353937,3294.79,32.83208333333338
