trade_count,final_equity,net_return,net_pnl,profit_factor,win_rate,maximum_drawdown,turnover,mean_holding_hours,policy_id,portfolio_id,universe_id,cost_multiplier,minimum_cash
377,84268.48677025997,-0.15731513229740024,-15731.513229740027,0.9188069368429603,0.4323607427055703,0.5832577187742894,83.51704967810433,168.0,BASELINE_H168,UNION_FOCUS,C2,1.0,4279.031153973944
377,71338.37827080382,-0.28661621729196185,-28661.62172919618,0.848042090418362,0.4217506631299735,0.61575287564912,77.29389753078672,168.0,BASELINE_H168,UNION_FOCUS,C2,2.0,3948.921742900233
324,45001.74304965646,-0.5499825695034354,-54998.25695034354,0.6222361032549689,0.4444444444444444,0.7329317974478852,49.770136370373436,168.0,BASELINE_H168,MOMENTUM_BREAKOUT,C2,1.0,2768.239894544511
324,38933.836055671985,-0.6106616394432802,-61066.163944328015,0.5739235518737268,0.4382716049382716,0.7504771254213031,46.82895017071959,168.0,BASELINE_H168,MOMENTUM_BREAKOUT,C2,2.0,2559.604964837924
292,57454.83100295208,-0.4254516899704792,-42545.16899704792,0.724641696924276,0.4486301369863014,0.6714915273428357,56.54106975445358,168.0,BASELINE_H168,RELATIVE_STRENGTH_ROTATION,C2,1.0,3732.1204811209172
292,50527.87753211948,-0.4947212246788052,-49472.12246788052,0.674935782649197,0.4280821917808219,0.6916192183441836,53.526481982580385,168.0,BASELINE_H168,RELATIVE_STRENGTH_ROTATION,C2,2.0,3511.8239206297876
378,98627.30302626186,-0.013726969737381411,-1372.6969737381442,0.9928299573122121,0.4708994708994709,0.5832577187742894,86.7852491556856,168.0,BASELINE_H168,UNION_FOCUS,D2,1.0,4279.031153973944
378,83603.55299255,-0.1639644700745,-16396.44700745,0.9120734878104912,0.4576719576719577,0.61575287564912,80.1546723715937,168.0,BASELINE_H168,UNION_FOCUS,D2,2.0,3948.921742900233
328,47714.37413728575,-0.5228562586271426,-52285.62586271425,0.6468049533654425,0.45121951219512196,0.7329317974478852,50.64367529152002,168.0,BASELINE_H168,MOMENTUM_BREAKOUT,D2,1.0,2768.239894544511
328,41193.51009002969,-0.588064899099703,-58806.48990997031,0.5957506047874613,0.4451219512195122,0.7504771254213031,47.58289179047831,168.0,BASELINE_H168,MOMENTUM_BREAKOUT,D2,2.0,2559.604964837924
287,71962.33141654282,-0.28037668583457187,-28037.668583457184,0.8149132460421367,0.4738675958188153,0.6714915273428357,56.916777418465784,168.0,BASELINE_H168,RELATIVE_STRENGTH_ROTATION,D2,1.0,3732.1204811209172
