universe_id,period_id,family_id,snapshot_hours,asset_checks,feature_ready_pass,candidate_events,candidate_survival_fraction_of_feature_ready
C2,ROBUSTNESS_2022,MOMENTUM_BREAKOUT,8760,52560,52560,638,0.012138508371385083
C2,ROBUSTNESS_2022,RELATIVE_STRENGTH_ROTATION,8760,52560,52560,484,0.009208523592085236
C2,ROBUSTNESS_2023,MOMENTUM_BREAKOUT,8760,52560,52560,647,0.012309741248097413
C2,ROBUSTNESS_2023,RELATIVE_STRENGTH_ROTATION,8760,52560,52560,571,0.010863774733637747
D2,ROBUSTNESS_2022,MOMENTUM_BREAKOUT,8760,52560,52560,638,0.012138508371385083
D2,ROBUSTNESS_2022,RELATIVE_STRENGTH_ROTATION,8760,52560,52560,484,0.009208523592085236
D2,ROBUSTNESS_2023,MOMENTUM_BREAKOUT,8760,52560,52560,671,0.012766362252663623
D2,ROBUSTNESS_2023,RELATIVE_STRENGTH_ROTATION,8760,52560,52560,603,0.011472602739726027
E2,ROBUSTNESS_2022,MOMENTUM_BREAKOUT,8760,52560,52560,638,0.012138508371385083
E2,ROBUSTNESS_2022,RELATIVE_STRENGTH_ROTATION,8760,52560,52560,484,0.009208523592085236
E2,ROBUSTNESS_2023,MOMENTUM_BREAKOUT,8760,52560,52560,660,0.012557077625570776
E2,ROBUSTNESS_2023,RELATIVE_STRENGTH_ROTATION,8760,52560,52560,597,0.011358447488584476
