policy_id,portfolio_id,universe_id,cost_multiplier,period_id,trade_count,net_pnl,profit_factor
BASELINE_H168,MOMENTUM_BREAKOUT,C2,1.0,ROBUSTNESS_2022,158,-72547.04853145813,0.3854323477561023
BASELINE_H168,MOMENTUM_BREAKOUT,C2,1.0,ROBUSTNESS_2023,166,17548.79158111463,1.6371345931498413
BASELINE_H168,MOMENTUM_BREAKOUT,C2,2.0,ROBUSTNESS_2022,158,-74425.08310727474,0.3664455134342636
BASELINE_H168,MOMENTUM_BREAKOUT,C2,2.0,ROBUSTNESS_2023,166,13358.919162946717,1.5167897662740257
BASELINE_H168,MOMENTUM_BREAKOUT,D2,1.0,ROBUSTNESS_2022,158,-72547.04853145813,0.3854323477561023
BASELINE_H168,MOMENTUM_BREAKOUT,D2,1.0,ROBUSTNESS_2023,170,20261.422668743893,1.6755956573631297
BASELINE_H168,MOMENTUM_BREAKOUT,D2,2.0,ROBUSTNESS_2022,158,-74425.08310727474,0.3664455134342636
BASELINE_H168,MOMENTUM_BREAKOUT,D2,2.0,ROBUSTNESS_2023,170,15618.593197304435,1.5578358230360108
BASELINE_H168,MOMENTUM_BREAKOUT,E2,1.0,ROBUSTNESS_2022,158,-72547.04853145813,0.3854323477561023
BASELINE_H168,MOMENTUM_BREAKOUT,E2,1.0,ROBUSTNESS_2023,168,17411.576332550314,1.5948056492534939
BASELINE_H168,MOMENTUM_BREAKOUT,E2,2.0,ROBUSTNESS_2022,158,-74425.08310727474,0.3664455134342636
BASELINE_H168,MOMENTUM_BREAKOUT,E2,2.0,ROBUSTNESS_2023,168,13190.333954309079,1.482226641287216
BASELINE_H168,RELATIVE_STRENGTH_ROTATION,C2,1.0,ROBUSTNESS_2022,144,-65898.1574418103,0.4645335794287471
BASELINE_H168,RELATIVE_STRENGTH_ROTATION,C2,1.0,ROBUSTNESS_2023,148,23352.9884447624,1.742742708364396
