policy_id,portfolio_id,universe_id,cost_multiplier,pair,signal_time,entry_time,exit_time,holding_hours,exit_reason,entry_price,exit_price,quantity,entry_notional,exit_notional,entry_cost,exit_cost,gross_pnl,net_pnl,period_id,membership_rank,support_families,support_count,atr24_at_signal,high_water_at_exit
BASELINE_H168,UNION_FOCUS,C2,1.0,AVAX-USDT,2022-01-01 18:00:00+00:00,2022-01-01 19:00:00+00:00,2022-01-08 19:00:00+00:00,168,MAX_HOLD_168H,113.531,80.282,158.54700478283465,18000.0,12728.47063797553,22.5,15.910588297469413,-5271.52936202447,-5309.939950321939,ROBUSTNESS_2022,4,MOMENTUM_BREAKOUT,1,2.0215,117.5
BASELINE_H168,UNION_FOCUS,C2,1.0,ETH-USDT,2022-01-02 17:00:00+00:00,2022-01-02 18:00:00+00:00,2022-01-09 18:00:00+00:00,168,MAX_HOLD_168H,3839.21,3160.53,4.7030346984743305,18055.937844729633,14864.082255569077,22.56992230591204,18.58010281946135,-3191.8555891605556,-3233.005614285929,ROBUSTNESS_2022,2,MOMENTUM_BREAKOUT,1,24.1875,3894.35
BASELINE_H168,UNION_FOCUS,C2,1.0,XRP-USDT,2022-01-03 21:00:00+00:00,2022-01-03 22:00:00+00:00,2022-01-10 22:00:00+00:00,168,MAX_HOLD_168H,0.82554,0.73336,21462.410572994326,17718.078424429736,15739.673417811118,22.14759803053717,19.6745917722639,-1978.4050066186173,-2020.2271964214185,ROBUSTNESS_2022,3,RELATIVE_STRENGTH_ROTATION,1,0.006205416666666681,0.84595
BASELINE_H168,UNION_FOCUS,C2,1.0,SAND-USDT,2022-01-09 10:00:00+00:00,2022-01-09 11:00:00+00:00,2022-01-16 11:00:00+00:00,168,MAX_HOLD_168H,4.81412,4.82948,3341.906861472618,16088.340659952559,16139.672349344779,20.110425824940698,20.174590436680973,51.33168939222014,11.046673130598471,ROBUSTNESS_2022,7,RELATIVE_STRENGTH_ROTATION,1,0.08415208333333331,5.21172
BASELINE_H168,UNION_FOCUS,C2,1.0,AVAX-USDT,2022-01-10 04:00:00+00:00,2022-01-10 05:00:00+00:00,2022-01-17 05:00:00+00:00,168,MAX_HOLD_168H,89.237,89.746,180.55792133479918,16112.447226153474,16204.351208112887,20.140559032691844,20.25543901014111,91.9039819594127,51.507983916579754,ROBUSTNESS_2022,4,RELATIVE_STRENGTH_ROTATION,1,1.584083333333334,97.234
BASELINE_H168,UNION_FOCUS,C2,1.0,ETH-USDT,2022-01-11 17:00:00+00:00,2022-01-11 18:00:00+00:00,2022-01-18 18:00:00+00:00,168,MAX_HOLD_168H,3219.25,3132.22,4.963519633417689,15978.810579879895,15546.835466183553,19.97351322484987,19.43354433272944,-431.9751136963423,-471.38217125392157,ROBUSTNESS_2022,2,MOMENTUM_BREAKOUT,1,41.22624999999999,3411.68
BASELINE_H168,UNION_FOCUS,C2,1.0,SHIB-USDT,2022-01-12 13:00:00+00:00,2022-01-12 14:00:00+00:00,2022-01-19 14:00:00+00:00,168,MAX_HOLD_168H,2.932e-05,2.76e-05,565379050.5262388,16576.91376142932,15604.461794524192,20.721142201786652,19.50557724315524,-972.4519669051297,-1012.6786863500715,ROBUSTNESS_2022,7,MOMENTUM_BREAKOUT,1,4.1750000000000024e-07,3.293e-05
BASELINE_H168,UNION_FOCUS,C2,1.0,BTC-USDT,2022-01-12 14:00:00+00:00,2022-01-12 15:00:00+00:00,2022-01-19 15:00:00+00:00,168,MAX_HOLD_168H,43928.5,42192.8,0.34746232158558316,15263.49859377229,14660.408242196194,19.079373242215365,18.325510302745244,-603.0903515760965,-640.4952351210571,ROBUSTNESS_2022,1,MOMENTUM_BREAKOUT,1,405.1125000000011,44421.0
BASELINE_H168,UNION_FOCUS,C2,1.0,DOT-USDT,2022-01-17 11:00:00+00:00,2022-01-17 12:00:00+00:00,2022-01-24 12:00:00+00:00,168,MAX_HOLD_168H,26.7771,16.2365,600.8634071944141,16089.379540785547,9755.918710912105,20.111724425981933,12.194898388640132,-6333.460829873442,-6365.767452688065,ROBUSTNESS_2022,4,RELATIVE_STRENGTH_ROTATION,1,0.3583999999999996,26.8212
BASELINE_H168,UNION_FOCUS,C2,1.0,BTC-USDT,2022-01-20 15:00:00+00:00,2022-01-20 16:00:00+00:00,2022-01-27 16:00:00+00:00,168,MAX_HOLD_168H,42973.1,36876.7,0.3618452046368029,15549.610163377794,13343.657057829989,19.437012704222244,16.679571322287487,-2205.9531055478055,-2242.069689574315,ROBUSTNESS_2022,1,MOMENTUM_BREAKOUT,1,298.98749999999956,43498.3
