check_id,passed,blocking
P2_MATRIX_FROZEN,True,True
P2_EXECUTION_ORDER_COMPLETE,True,True
P2_PARAMETERS_FROZEN,True,True
P2A_REPORT_PASS,True,True
P2A_MANIFEST_COMPLETE,True,True
P2A_ALL_TECHNICAL_CHECKS_PASS,True,True
P2A_ALL_VARIANTS_EXERCISED,True,True
P2A_BOTH_COST_LEVELS_EXERCISED,True,True
P2A_FIXTURE_CASH_NONNEGATIVE,True,True
P2A_NEXT_BAR_EXECUTION_PASS,True,True
P2A_SPOT_LONG_ONLY_PASS,True,True
P2A_REAL_SOURCE_PREFLIGHT_COMPLETE,True,True
P2A_REAL_FEATURE_INTEGRATION_COMPLETE,True,True
P2A_POST_2024_ACCESS_ABSENT,True,True
P2A_HISTORICAL_REPLAY_ABSENT,True,True
P2A_PERFORMANCE_REPORTING_ABSENT,True,True
SOURCE_DATA_HASHES_VERIFIED,True,True
MEMBERSHIP_CONTRACT_VERIFIED,True,True
2024_ACCESS_NOT_AUTHORIZED,True,True
POST_2024_ACCESS_NOT_AUTHORIZED,True,True
PRODUCTION_NOT_AUTHORIZED,True,True
