path,sha256,bytes,lineage_role
src/spotbot/research/rd19_p2a_engine.py,ca9ac0a81c09a346e462295f75ae19c0a1e230fe3e670afff8f046d20339b70d,22805,P2A_FROZEN_IMPLEMENTATION_OR_EVIDENCE
scripts/research/run_rd19_p2a_technical_dry_run.py,dc9a3b7e8a16cb471aea57abbdb96762f9289868aaa62bc5e4828ac75daa8ed5,28499,P2A_FROZEN_IMPLEMENTATION_OR_EVIDENCE
scripts/research/validate_rd19_p2a_technical_dry_run.py,f185c8aa5e1249595adb96f5c2ff225580a4ace084a4e536c9ad8a8083dfe70e,6797,P2A_FROZEN_IMPLEMENTATION_OR_EVIDENCE
tests/research/test_rd19_p2a_engine.py,265ddac91bb643c6d3084f10806bff1ebb889e7d61795989b1b9cdfab9339d11,2901,P2A_FROZEN_IMPLEMENTATION_OR_EVIDENCE
data/research/rd19_p2a/rd19-p2a-technical-dry-run-protocol-v1.json,e89e61d128117cfc39adc1d83e61e6dcc849a605939f6d66f72002911ea844e4,1993,P2A_FROZEN_IMPLEMENTATION_OR_EVIDENCE
data/research/rd19_p2a_runtime/rd19-p2a-technical-dry-run-report-v1.json,883e735bbf0457a8a11cca754a96c353b1fc983639d8256a17c8ca8bc2daabbb,1890,P2A_FROZEN_IMPLEMENTATION_OR_EVIDENCE
data/research/rd19_p2a_runtime/output-manifest.json,64af2118749ea4704752c5a19c02ffe3e69a236da2d460677fe0db7b8b60b82b,2514,P2A_FROZEN_IMPLEMENTATION_OR_EVIDENCE
data/research/rd19_p2a_runtime/implementation-contract.json,dba886d473b85e0c965bb10e56448977c8495e959c70999bc9000dbdea2dfe13,898,P2A_FROZEN_IMPLEMENTATION_OR_EVIDENCE
data/research/rd19_p2a_runtime/technical-checks.csv,cce9314a8d7901c1a33a9ae9a1195a8780a55334d24a542b64c7421eee4bfd6a,744,P2A_FROZEN_IMPLEMENTATION_OR_EVIDENCE
data/research/rd19_p2a_runtime/variant-contract-ledger.csv,6775ff7d640304194fd7f42ce471766f2e0d0801518ccce5ac969ecc9f3737b8,1327,P2A_FROZEN_IMPLEMENTATION_OR_EVIDENCE
data/research/rd19_p2a_runtime/feature-integration-preflight.csv,dee11e719616430e878b562c6235053bfad9a19cf4315025d7515147f86807f1,1170,P2A_FROZEN_IMPLEMENTATION_OR_EVIDENCE
data/research/rd19_p2a_runtime/real-source-preflight.csv,5bbc6a9fb67ede7640d824aabb0e9b8315520c12772085e6a3c68003948d4f0f,7983,P2A_FROZEN_IMPLEMENTATION_OR_EVIDENCE
data/research/rd19_p2a_runtime/fixture-dry-run-summary.csv,6e20b2dd7a6fbbe408c917e4b48a6f632cd7411ad53aad6a724e7645eb86ba83,2410,P2A_FROZEN_IMPLEMENTATION_OR_EVIDENCE
C:/SIRAJ/Repositories/spot-speculation-bot/data/research/rd19_p2a_runtime/feature-integration-preflight.csv,dee11e719616430e878b562c6235053bfad9a19cf4315025d7515147f86807f1,1170,P2A_RUNTIME_EVIDENCE
C:/SIRAJ/Repositories/spot-speculation-bot/data/research/rd19_p2a_runtime/fixture-candidates.parquet,227f1c30b3eaf84318e38f26ed36dc3ae1e333708f5ae75c91895268a19ec3bf,22735,P2A_RUNTIME_EVIDENCE
