pair,canonical_asset_id,confidence_class,variant_d_presence,p2t_identity_classification,eligible_in_c,historical_membership_retained,notes
1INCH-USDT,1INCH,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
AAVE-USDT,AAVE,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ACH-USDT,ACH,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ACS-USDT,ACS,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ADA-USDT,ADA,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ADX-USDT,ADX,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
AGI-USDT,AGI,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
AGIX2L-USDT,AGIX2L,EXCLUDED_LEVERAGED_OR_SYNTHETIC,False,LEVERAGED_OR_SYNTHETIC_PRODUCT,True,True,Excluded product appears in the committed C ranking; P2U stops before Variant-E construction.
AGIX2S-USDT,AGIX2S,EXCLUDED_LEVERAGED_OR_SYNTHETIC,False,LEVERAGED_OR_SYNTHETIC_PRODUCT,True,True,Excluded product appears in the committed C ranking; P2U stops before Variant-E construction.
AGLD-USDT,AGLD,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
AIOZ-USDT,AIOZ,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
AKT-USDT,AKT,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ALEPH-USDT,ALEPH,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ALEX-USDT,ALEX,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ALGO-USDT,ALGO,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ALICE-USDT,ALICE,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ALPINE-USDT,ALPINE,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
AMP-USDT,AMP,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ANKR-USDT,ANKR,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
APE-USDT,APE,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
API3-USDT,API3,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
APT-USDT,APT,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
APT2L-USDT,APT2L,EXCLUDED_LEVERAGED_OR_SYNTHETIC,False,LEVERAGED_OR_SYNTHETIC_PRODUCT,True,True,Excluded product appears in the committed C ranking; P2U stops before Variant-E construction.
APT2S-USDT,APT2S,EXCLUDED_LEVERAGED_OR_SYNTHETIC,False,LEVERAGED_OR_SYNTHETIC_PRODUCT,True,True,Excluded product appears in the committed C ranking; P2U stops before Variant-E construction.
AR-USDT,AR,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ARB-USDT,ARB,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ARKM-USDT,ARKM,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ARPA-USDT,ARPA,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ARTFI-USDT,ARTFI,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
ARTY-USDT,ARTY,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ASTR-USDT,ASTR,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ATA-USDT,ATA,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
ATOM-USDT,ATOM,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
AUCTION-USDT,AUCTION,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
AUDIO-USDT,AUDIO,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
AURORA-USDT,AURORA,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
AVA-USDT,AVA,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
AVAX-USDT,AVAX,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
AXS-USDT,AXS,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
AZERO-USDT,AZERO,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
BABYDOGE-USDT,BABYDOGE,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
BAL-USDT,BAL,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
BAND-USDT,BAND,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
BAT-USDT,BAT,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
BAX-USDT,BAX,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
BCH-USDT,BCH,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
BCHSV-USDT,BCHSV,CURRENT_SEED_KLINE_CONFIRMED,False,TEMPORALLY_DISTINCT_ASSET,True,True,Classification is diagnostic only until the restricted panel is repaired.
BDX-USDT,BDX,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
BFC-USDT,BFC,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
BICO-USDT,BICO,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
BIGTIME-USDT,BIGTIME,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
BLUR-USDT,BLUR,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
BLUR2L-USDT,BLUR2L,EXCLUDED_LEVERAGED_OR_SYNTHETIC,False,LEVERAGED_OR_SYNTHETIC_PRODUCT,True,True,Excluded product appears in the committed C ranking; P2U stops before Variant-E construction.
BLUR2S-USDT,BLUR2S,EXCLUDED_LEVERAGED_OR_SYNTHETIC,False,LEVERAGED_OR_SYNTHETIC_PRODUCT,True,True,Excluded product appears in the committed C ranking; P2U stops before Variant-E construction.
BLZ-USDT,BLZ,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
BNB-USDT,BNB,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
BNC-USDT,BNC,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
BOBA-USDT,BOBA,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
BONK-USDT,BONK,EVIDENCE_STRONG,True,,True,True,Classification is diagnostic only until the restricted panel is repaired.
