pair,identity_classification,appears_in_c_rankings,c_ranking_row_count,c_decision_count,contamination,required_action
AGIX2L-USDT,LEVERAGED_OR_SYNTHETIC_PRODUCT,True,14,14,True,repair P1R restricted panel before P2U can construct Variant E
AGIX2S-USDT,LEVERAGED_OR_SYNTHETIC_PRODUCT,True,14,14,True,repair P1R restricted panel before P2U can construct Variant E
APT2L-USDT,LEVERAGED_OR_SYNTHETIC_PRODUCT,True,14,14,True,repair P1R restricted panel before P2U can construct Variant E
APT2S-USDT,LEVERAGED_OR_SYNTHETIC_PRODUCT,True,14,14,True,repair P1R restricted panel before P2U can construct Variant E
BLUR2L-USDT,LEVERAGED_OR_SYNTHETIC_PRODUCT,True,13,13,True,repair P1R restricted panel before P2U can construct Variant E
BLUR2S-USDT,LEVERAGED_OR_SYNTHETIC_PRODUCT,True,13,13,True,repair P1R restricted panel before P2U can construct Variant E
CFX2L-USDT,LEVERAGED_OR_SYNTHETIC_PRODUCT,True,79,79,True,repair P1R restricted panel before P2U can construct Variant E
CFX2S-USDT,LEVERAGED_OR_SYNTHETIC_PRODUCT,True,79,79,True,repair P1R restricted panel before P2U can construct Variant E
GRT2L-USDT,LEVERAGED_OR_SYNTHETIC_PRODUCT,True,14,14,True,repair P1R restricted panel before P2U can construct Variant E
GRT2S-USDT,LEVERAGED_OR_SYNTHETIC_PRODUCT,True,14,14,True,repair P1R restricted panel before P2U can construct Variant E
OP2L-USDT,LEVERAGED_OR_SYNTHETIC_PRODUCT,True,27,27,True,repair P1R restricted panel before P2U can construct Variant E
OP2S-USDT,LEVERAGED_OR_SYNTHETIC_PRODUCT,True,26,26,True,repair P1R restricted panel before P2U can construct Variant E
