day,successful_transaction_count,unique_sending_addresses,unique_receiving_addresses,unique_active_addresses,native_fees_paid,block_count,native_transfer_count
2022-03-01 00:00:00.000 UTC,689322,87186,30727,95956,1.1379308419370134e+22,42132,82698
2022-03-02 00:00:00.000 UTC,697026,85060,29823,93187,8.198852170268517e+21,42636,89248
2022-03-03 00:00:00.000 UTC,691323,82623,28670,90758,7.076667593447636e+21,42954,89382
2022-03-04 00:00:00.000 UTC,679238,81798,31033,90707,1.082489003581397e+22,42970,87135
2022-03-05 00:00:00.000 UTC,621708,69835,25555,77576,6.171759384106596e+21,43054,71348
2022-03-06 00:00:00.000 UTC,621871,75226,25170,82196,6.493701416150597e+21,43402,81712
2022-03-07 00:00:00.000 UTC,675904,90695,28891,98015,7.184900543079108e+21,42675,98763
2022-03-08 00:00:00.000 UTC,667021,83235,26830,90429,5.725477661937625e+21,42548,79384
2022-03-09 00:00:00.000 UTC,689815,79998,27969,87707,5.96216886804217e+21,42801,78305
2022-03-10 00:00:00.000 UTC,668918,78016,26540,85914,4.670659436278339e+21,42326,79151
2022-03-11 00:00:00.000 UTC,703050,85011,29744,93139,7.926236656942245e+21,40175,97384
2022-03-12 00:00:00.000 UTC,720021,78067,25296,85422,6.270943672492869e+21,42618,82327
2022-03-13 00:00:00.000 UTC,721035,74567,25760,81890,8.320389333278762e+21,42102,74262
2022-03-14 00:00:00.000 UTC,765666,102030,40836,111388,1.1195691877152443e+22,42387,101264
2022-03-15 00:00:00.000 UTC,787444,118521,32179,126555,1.1240398447975256e+22,41558,90150
2022-03-16 00:00:00.000 UTC,718148,80533,27017,88736,8.924720005745159e+21,41299,71385
2022-03-17 00:00:00.000 UTC,751422,87528,29832,96224,1.1040065781442982e+22,40510,77128
2022-03-18 00:00:00.000 UTC,740992,82225,28121,90713,9.713732826940742e+21,41504,74096
2022-03-19 00:00:00.000 UTC,738488,79969,26716,88161,8.159248178257932e+21,41931,70916
2022-03-20 00:00:00.000 UTC,708228,74511,23503,82139,9.066229932255563e+21,42025,61415
2022-03-21 00:00:00.000 UTC,750125,78921,28044,88372,1.0768250687402625e+22,41937,73663
2022-03-22 00:00:00.000 UTC,763060,84854,28991,93859,1.1425992726078852e+22,41940,82746
2022-03-23 00:00:00.000 UTC,756432,83065,28728,91806,1.0423797417356466e+22,42111,81219
2022-03-24 00:00:00.000 UTC,762826,81181,28916,90262,8.88535574473991e+21,42445,74192
2022-03-25 00:00:00.000 UTC,754753,76937,28335,85554,9.679285080221454e+21,42478,75974
2022-03-26 00:00:00.000 UTC,724427,70252,23213,77821,5.734569464329053e+21,42469,66570
2022-03-27 00:00:00.000 UTC,721771,67679,21802,75523,6.099728935171792e+21,42564,59144
2022-03-28 00:00:00.000 UTC,789266,88649,28876,97700,1.2745234012554584e+22,42549,86898
2022-03-29 00:00:00.000 UTC,787348,82342,28843,91318,1.2003364594936722e+22,42537,80737
2022-03-30 00:00:00.000 UTC,786504,79368,27623,88368,1.0846653042644723e+22,42594,73113
2022-03-31 00:00:00.000 UTC,795428,81510,28205,90392,1.0910870704397415e+22,42605,75356
