day,successful_transaction_count,unique_sending_addresses,unique_receiving_addresses,unique_active_addresses,native_fees_paid,block_count,native_transfer_count
2022-03-01 00:00:00.000 UTC,111181,,,,44871111559,4157,
2022-03-02 00:00:00.000 UTC,128476,,,,48468972347,4045,
2022-03-03 00:00:00.000 UTC,106356,,,,42042065263,4109,
2022-03-04 00:00:00.000 UTC,111173,,,,43654980418,4015,
2022-03-05 00:00:00.000 UTC,100285,,,,39549804386,4101,
2022-03-06 00:00:00.000 UTC,105080,,,,43315157391,4099,
2022-03-07 00:00:00.000 UTC,106480,,,,43221211192,4033,
2022-03-08 00:00:00.000 UTC,97722,,,,41068830127,4201,
2022-03-09 00:00:00.000 UTC,89883,,,,40226272708,4039,
2022-03-10 00:00:00.000 UTC,82732,,,,37026024460,4201,
2022-03-11 00:00:00.000 UTC,83923,,,,35426822598,4054,
2022-03-12 00:00:00.000 UTC,105015,,,,42300637623,4122,
2022-03-13 00:00:00.000 UTC,102580,,,,41023723778,4137,
2022-03-14 00:00:00.000 UTC,136253,,,,49403607103,4232,
2022-03-15 00:00:00.000 UTC,130762,,,,47966598917,4031,
2022-03-16 00:00:00.000 UTC,117457,,,,46209763138,4035,
2022-03-17 00:00:00.000 UTC,124473,,,,46969939137,4093,
2022-03-18 00:00:00.000 UTC,116356,,,,46955432494,4259,
2022-03-19 00:00:00.000 UTC,112664,,,,46044854814,3943,
2022-03-20 00:00:00.000 UTC,107572,,,,45080632691,4049,
2022-03-21 00:00:00.000 UTC,106952,,,,44181167832,3945,
2022-03-22 00:00:00.000 UTC,118826,,,,48128271931,4049,
2022-03-23 00:00:00.000 UTC,103646,,,,43147625464,4098,
2022-03-24 00:00:00.000 UTC,110482,,,,44064841848,4112,
2022-03-25 00:00:00.000 UTC,107133,,,,44655130097,4246,
2022-03-26 00:00:00.000 UTC,111110,,,,47662698503,4110,
2022-03-27 00:00:00.000 UTC,110257,,,,46711115130,4100,
2022-03-28 00:00:00.000 UTC,107901,,,,45493463002,4071,
2022-03-29 00:00:00.000 UTC,114118,,,,47858598974,3995,
2022-03-30 00:00:00.000 UTC,105780,,,,45449468968,4075,
2022-03-31 00:00:00.000 UTC,107814,,,,46939330109,4127,
