decision_time,classification,legacy_asset_count,historical_eligible_count,top_6_overlap,top_6_jaccard,top_10_overlap,legacy_assets_not_historically_eligible,historical_top_6_omitted_by_legacy
2019-01-07T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,6,3,2,0.2857142857142857,2,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,VET-USDT
2019-01-14T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,6,4,2,0.25,2,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,NEO-USDT;VET-USDT
2019-01-21T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,6,2,2,0.3333333333333333,2,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,
2019-01-28T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,6,2,2,0.3333333333333333,2,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,
2019-02-04T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,6,2,2,0.3333333333333333,2,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,
2019-02-11T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,6,2,2,0.3333333333333333,2,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,
2019-02-18T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,6,2,2,0.3333333333333333,2,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,
2019-02-25T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,6,2,2,0.3333333333333333,2,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,
2019-03-04T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,6,2,2,0.3333333333333333,2,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,
2019-03-11T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,6,3,2,0.2857142857142857,2,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,KCS-USDT
2019-03-18T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,6,13,2,0.2,2,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,KCS-USDT;LTC-USDT;NEO-USDT;XRP-USDT
2019-03-25T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,6,13,2,0.2,2,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,KCS-USDT;LTC-USDT;NEO-USDT;XRP-USDT
2019-04-01T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,6,13,2,0.2,2,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,KCS-USDT;LTC-USDT;NEO-USDT;XRP-USDT
2019-04-08T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,6,13,2,0.2,2,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,KCS-USDT;LTC-USDT;NEO-USDT;XRP-USDT
2019-04-15T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,6,13,2,0.2,2,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,KCS-USDT;LTC-USDT;NEO-USDT;XRP-USDT
2019-04-22T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,6,13,2,0.2,2,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,KCS-USDT;LTC-USDT;NEO-USDT;XRP-USDT
2019-04-29T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,6,13,2,0.2,2,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,KCS-USDT;LTC-USDT;NEO-USDT;XRP-USDT
2019-05-06T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,6,13,2,0.2,2,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,KCS-USDT;LTC-USDT;NEO-USDT;XRP-USDT
2019-05-13T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,6,13,2,0.2,2,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,KCS-USDT;LTC-USDT;NEO-USDT;XRP-USDT
2019-05-20T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,6,13,2,0.2,2,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,KCS-USDT;LTC-USDT;NEO-USDT;XRP-USDT
2019-05-27T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,6,13,2,0.2,2,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,KCS-USDT;LTC-USDT;NEO-USDT;XRP-USDT
2019-06-03T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,6,14,2,0.2,2,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,KCS-USDT;LTC-USDT;NEO-USDT;XRP-USDT
2019-06-10T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,6,15,2,0.2,2,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,KCS-USDT;LTC-USDT;NEO-USDT;XRP-USDT
2019-06-17T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,6,15,2,0.2,2,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,KCS-USDT;LTC-USDT;NEO-USDT;XRP-USDT
2019-06-24T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,6,15,2,0.2,2,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,KCS-USDT;LTC-USDT;NEO-USDT;XRP-USDT
2019-07-01T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,6,15,2,0.2,2,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,KCS-USDT;LTC-USDT;NEO-USDT;XRP-USDT
2019-07-08T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,6,15,2,0.2,2,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,KCS-USDT;LTC-USDT;NEO-USDT;XRP-USDT
2019-07-15T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,6,16,2,0.2,2,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,BCHSV-USDT;KCS-USDT;LTC-USDT;XRP-USDT
2019-07-22T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,6,16,2,0.2,2,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,BCHSV-USDT;KCS-USDT;LTC-USDT;XRP-USDT
2019-07-29T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,6,16,2,0.2,2,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,BCHSV-USDT;KCS-USDT;LTC-USDT;XRP-USDT
2019-08-05T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,6,16,2,0.2,2,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,BCHSV-USDT;LTC-USDT;TRX-USDT;XRP-USDT
2019-08-12T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,6,16,2,0.2,2,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,BCHSV-USDT;LTC-USDT;TRX-USDT;XRP-USDT
2019-08-19T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,6,16,2,0.2,2,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,BCHSV-USDT;LTC-USDT;TRX-USDT;XRP-USDT
2019-08-26T00:00:00+00:00,CURRENT_OR_LEGACY_NON_CAUSAL_DIAGNOSTIC_ONLY,6,17,2,0.2,2,AVAX-USDT;LINK-USDT;NEAR-USDT;SOL-USDT,BCHSV-USDT;KCS-USDT;LTC-USDT;XRP-USDT
