year,decision_count,inventory_available_count,eligible_asset_count,average_listing_age_days,median_listing_age_days,newly_eligible_count,newly_inactive_count,temporary_eligibility_loss_count,weeks_with_top_6,weeks_with_top_10,weeks_with_top_30,current_seed_only_eligible_mean
2019,52,24.076923076923077,16.25,392.06063064405055,365.3173076923077,33,2,0,42,42,6,8.26923076923077
2020,52,44.69230769230769,37.51923076923077,502.3131767475917,409.7692307692308,26,0,0,52,52,52,16.28846153846154
2021,52,127.73076923076923,96.51923076923077,487.02633505557753,382.3942307692308,109,0,0,52,52,52,24.25
2022,52,241.71153846153845,222.23076923076923,515.8134755897746,402.4519230769231,92,0,0,52,52,52,33.98076923076923
2023,52,316.0,293.4423076923077,733.6337770378965,664.5865384615385,71,10,0,52,52,52,47.19230769230769
2024,53,373.33962264150944,354.49056603773585,960.1669474771345,972.8396226415094,47,2,0,53,53,53,61.698113207547166
