variant,membership_type,asset,membership_weeks,entry_count,reentry_count,first_entry,final_exit,median_duration_weeks,mean_duration_weeks,maximum_duration_weeks
C_P0B,top_6,ADA-USDT,70,11,10,2020-06-15T00:00:00+00:00,2023-01-23T00:00:00+00:00,1,6.363636363636363,42
C_P0B,top_6,APE-USDT,5,2,1,2022-07-11T00:00:00+00:00,2022-08-15T00:00:00+00:00,2.5,2.5,4
C_P0B,top_6,APT-USDT,1,1,0,2023-02-27T00:00:00+00:00,2023-02-27T00:00:00+00:00,1,1.0,1
C_P0B,top_6,ATOM-USDT,23,7,6,2020-09-07T00:00:00+00:00,2022-10-10T00:00:00+00:00,3,3.2857142857142856,7
C_P0B,top_6,AVAX-USDT,41,5,4,2021-12-13T00:00:00+00:00,2024-01-29T00:00:00+00:00,6,8.2,15
C_P0B,top_6,BCH-USDT,1,1,0,2023-07-24T00:00:00+00:00,2023-07-24T00:00:00+00:00,1,1.0,1
C_P0B,top_6,BCHSV-USDT,65,8,7,2019-07-15T00:00:00+00:00,2021-02-08T00:00:00+00:00,4.0,8.125,37
C_P0B,top_6,BNB-USDT,5,4,3,2021-09-20T00:00:00+00:00,2023-07-03T00:00:00+00:00,1.0,1.25,2
C_P0B,top_6,BTC-USDT,313,1,0,2019-01-07T00:00:00+00:00,2024-12-30T00:00:00+00:00,313,313.0,313
C_P0B,top_6,DOGE-USDT,60,9,8,2021-05-17T00:00:00+00:00,2024-12-30T00:00:00+00:00,5,6.666666666666667,15
C_P0B,top_6,DOT-USDT,18,5,4,2021-02-15T00:00:00+00:00,2022-01-31T00:00:00+00:00,1,3.6,10
C_P0B,top_6,ETH-USDT,313,1,0,2019-01-07T00:00:00+00:00,2024-12-30T00:00:00+00:00,313,313.0,313
C_P0B,top_6,FET-USDT,4,1,0,2024-09-16T00:00:00+00:00,2024-10-07T00:00:00+00:00,4,4.0,4
C_P0B,top_6,FIL-USDT,1,1,0,2024-03-11T00:00:00+00:00,2024-03-11T00:00:00+00:00,1,1.0,1
C_P0B,top_6,GRAM-USDT,11,5,4,2023-04-17T00:00:00+00:00,2024-09-09T00:00:00+00:00,1,2.2,5
C_P0B,top_6,ICP-USDT,8,1,0,2024-01-15T00:00:00+00:00,2024-03-04T00:00:00+00:00,8,8.0,8
C_P0B,top_6,INJ-USDT,6,2,1,2023-05-15T00:00:00+00:00,2024-01-22T00:00:00+00:00,3.0,3.0,5
C_P0B,top_6,JASMY-USDT,6,3,2,2022-03-28T00:00:00+00:00,2024-06-24T00:00:00+00:00,2,2.0,3
C_P0B,top_6,KAS-USDT,2,1,0,2023-11-27T00:00:00+00:00,2023-12-04T00:00:00+00:00,2,2.0,2
C_P0B,top_6,KCS-USDT,111,6,5,2019-03-11T00:00:00+00:00,2021-08-09T00:00:00+00:00,7.5,18.5,72
C_P0B,top_6,LDO-USDT,1,1,0,2023-03-06T00:00:00+00:00,2023-03-06T00:00:00+00:00,1,1.0,1
C_P0B,top_6,LINK-USDT,7,1,0,2023-11-06T00:00:00+00:00,2023-12-18T00:00:00+00:00,7,7.0,7
C_P0B,top_6,LTC-USDT,91,9,8,2019-03-18T00:00:00+00:00,2023-08-14T00:00:00+00:00,6,10.11111111111111,33
C_P0B,top_6,LUNC-USDT,13,2,1,2022-09-12T00:00:00+00:00,2023-01-16T00:00:00+00:00,6.5,6.5,12
C_P0B,top_6,MANA-USDT,2,1,0,2021-11-29T00:00:00+00:00,2021-12-06T00:00:00+00:00,2,2.0,2
C_P0B,top_6,NEAR-USDT,21,4,3,2022-01-17T00:00:00+00:00,2024-06-03T00:00:00+00:00,5.5,5.25,9
