decision_time,year,eligible_count,total_liquidity,top_1_share,top_3_share,top_6_share,top_10_share,hhi,effective_number_assets,rank_1_rank_6_ratio,rank_6_rank_7_ratio,rank_10_rank_11_ratio,rank_30_rank_31_ratio,top_6_median_liquidity,top_6_min_liquidity,top_10_median_liquidity,top_10_min_liquidity,rank_4_5_absolute_difference,rank_4_5_margin,rank_4_5_margin_below_1pct,rank_4_5_margin_below_2pct,rank_4_5_margin_below_5pct,rank_4_5_margin_below_10pct,rank_4_5_margin_below_20pct,rank_6_7_absolute_difference,rank_6_7_margin,rank_6_7_margin_below_1pct,rank_6_7_margin_below_2pct,rank_6_7_margin_below_5pct,rank_6_7_margin_below_10pct,rank_6_7_margin_below_20pct,rank_8_9_absolute_difference,rank_8_9_margin,rank_8_9_margin_below_1pct,rank_8_9_margin_below_2pct,rank_8_9_margin_below_5pct,rank_8_9_margin_below_10pct,rank_8_9_margin_below_20pct,rank_10_11_absolute_difference,rank_10_11_margin,rank_10_11_margin_below_1pct,rank_10_11_margin_below_2pct,rank_10_11_margin_below_5pct,rank_10_11_margin_below_10pct,rank_10_11_margin_below_20pct,rank_30_31_absolute_difference,rank_30_31_margin,rank_30_31_margin_below_1pct,rank_30_31_margin_below_2pct,rank_30_31_margin_below_5pct,rank_30_31_margin_below_10pct,rank_30_31_margin_below_20pct
2019-01-07T00:00:00+00:00,2019,3,1438546.99054387,0.5700461367349869,1.0,1.0,1.0,0.5000412199044554,1.9998351339737022,,,,,601705.1474354051,16803.68863719,601705.1474354051,16803.68863719,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False
2019-01-14T00:00:00+00:00,2019,4,1363394.493045515,0.491825618653298,0.9881524239065042,1.0,1.0,0.4768680983042706,2.097015932824971,,,,,338344.6165165475,16152.92000181,338344.6165165475,16152.92000181,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False
2019-01-21T00:00:00+00:00,2019,2,926316.65995515,0.5188679600716523,1.0,1.0,1.0,0.500711999834531,1.9971560504451011,,,,,463158.329977575,445680.624223835,463158.329977575,445680.624223835,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False
2019-01-28T00:00:00+00:00,2019,2,707353.625885735,0.5402947113415049,1.0,1.0,1.0,0.5032473275241904,1.9870945066308998,,,,,353676.8129428675,325174.202771435,353676.8129428675,325174.202771435,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False
2019-02-04T00:00:00+00:00,2019,2,605466.5246843799,0.5955269684300635,1.0,1.0,1.0,0.5182508033948767,1.929567679296116,,,,,302733.26234218996,244894.88075320495,302733.26234218996,244894.88075320495,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False
2019-02-11T00:00:00+00:00,2019,2,478592.081972535,0.6615078402001923,1.0,1.0,1.0,0.5521695648922617,1.8110378832544278,,,,,239296.0409862675,161999.66748997,239296.0409862675,161999.66748997,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False
2019-02-18T00:00:00+00:00,2019,2,430626.17135094,0.6668512262525267,1.0,1.0,1.0,0.5556786634039437,1.7996012189387636,,,,,215313.08567547,143462.580929135,215313.08567547,143462.580929135,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False
2019-02-25T00:00:00+00:00,2019,2,426600.8378455505,0.6637076906513832,1.0,1.0,1.0,0.5536004159568181,1.806357024265679,,,,,213300.41892277525,143462.580929135,213300.41892277525,143462.580929135,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False
2019-03-04T00:00:00+00:00,2019,2,402445.2653792135,0.6126282388537025,1.0,1.0,1.0,0.5253702403745734,1.9034195756634973,,,,,201222.63268960675,155895.931214935,201222.63268960675,155895.931214935,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False
2019-03-11T00:00:00+00:00,2019,3,738582.3909607314,0.4670647501162727,1.0,1.0,1.0,0.3696797157431775,2.70504427863907,,,,,247765.7829662969,145850.80812008135,247765.7829662969,145850.80812008135,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False,,,False,False,False,False,False
