pair,eligible_weeks,top_30_weeks,top_10_weeks,top_6_weeks,hysteresis_weeks,first_entry,final_exit,best_rank,last_rank,retained_pre_delisting
ACS-USDT,85,0,0,0,0,2023-05-22T00:00:00+00:00,2024-12-30T00:00:00+00:00,135,354,True
CELR-USDT,128,0,0,0,0,2022-07-25T00:00:00+00:00,2024-12-30T00:00:00+00:00,131,220,True
POLS-USDT,174,0,0,0,0,2021-09-06T00:00:00+00:00,2024-12-30T00:00:00+00:00,91,189,True
QI-USDT,163,0,0,0,0,2021-11-22T00:00:00+00:00,2024-12-30T00:00:00+00:00,69,321,True
RPL-USDT,89,0,0,0,0,2023-04-24T00:00:00+00:00,2024-12-30T00:00:00+00:00,165,326,True
XEM-USDT,275,14,0,0,0,2019-09-30T00:00:00+00:00,2024-12-30T00:00:00+00:00,23,324,True
