pair,canonical_asset_id,discovery_channels,provenance_category,current_seed_only,secondary_channels
XPR-USDT,XPR,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
XPRT-USDT,XPRT,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
XRD-USDT,XRD,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
XRP-USDT,XRP,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed
XTZ-USDT,XTZ,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,MULTI_CHANNEL_CONFIRMED,False,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
XYO-USDT,XYO,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
YFI-USDT,YFI,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
YGG-USDT,YGG,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
ZBCN-USDT,ZBCN,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
ZEC-USDT,ZEC,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence,MULTI_CHANNEL_CONFIRMED,False,announcement_explicit_spot_pair;announcement_listing;current_currency_non_causal_seed;rd18_p0_historical_evidence
ZEN-USDT,ZEN,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
ZIL-USDT,ZIL,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
ZKJ-USDT,ZKJ,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
ZPAY-USDT,ZPAY,announcement_listing;current_currency_non_causal_seed,MULTI_CHANNEL_CONFIRMED,False,announcement_listing;current_currency_non_causal_seed
ZRX-USDT,ZRX,current_currency_non_causal_seed,CURRENT_SEED_ONLY_KLINE_CONFIRMED,True,current_currency_non_causal_seed
