scope,variant_id,window_id,start,end,days,portfolio_return,equal_weight_return,capture_ratio,high_opportunity_window,strategic_bull_adequacy
STANDALONE,DAILY_PULLBACK_RECLAIM,1,2019-05-01T00:00:00+00:00,2019-09-20T00:00:00+00:00,143,0.0,0.6437975137033425,0.0,False,
STANDALONE,DAILY_PULLBACK_RECLAIM,2,2020-05-27T00:00:00+00:00,2021-05-15T00:00:00+00:00,354,0.17766555943020168,8.977084241529303,0.01979100949151116,True,False
STANDALONE,DAILY_PULLBACK_RECLAIM,3,2021-08-15T00:00:00+00:00,2021-09-21T00:00:00+00:00,38,-0.012901515300955735,0.33154791649728477,-0.038912973537149016,False,
STANDALONE,DAILY_PULLBACK_RECLAIM,4,2021-10-01T00:00:00+00:00,2021-12-04T00:00:00+00:00,65,0.006298129678588449,0.37052437252117865,0.016997882314012842,False,
STANDALONE,DAILY_PULLBACK_RECLAIM,5,2023-03-13T00:00:00+00:00,2023-06-14T00:00:00+00:00,94,-0.02015253588767607,-0.15141585105211164,,False,
STANDALONE,DAILY_PULLBACK_RECLAIM,6,2023-10-23T00:00:00+00:00,2024-06-02T00:00:00+00:00,224,-0.013427936488431436,2.667291938689029,-0.0050342957565534625,True,False
STANDALONE,DAILY_PULLBACK_RECLAIM,7,2024-10-28T00:00:00+00:00,2025-01-01T00:00:00+00:00,66,0.02696745096696085,0.37373514866458524,0.0721565821767629,False,
OVERLAY,DAILY_PULLBACK_RECLAIM,1,2019-05-01T00:00:00+00:00,2019-09-20T00:00:00+00:00,143,-0.014018995338449192,0.6437975137033425,-0.021775472939942184,False,
OVERLAY,DAILY_PULLBACK_RECLAIM,2,2020-05-27T00:00:00+00:00,2021-05-15T00:00:00+00:00,354,0.5360336337334883,8.977084241529303,0.05971132934831094,True,False
OVERLAY,DAILY_PULLBACK_RECLAIM,3,2021-08-15T00:00:00+00:00,2021-09-21T00:00:00+00:00,38,-0.03792356715561629,0.33154791649728477,-0.11438336743680567,False,
OVERLAY,DAILY_PULLBACK_RECLAIM,4,2021-10-01T00:00:00+00:00,2021-12-04T00:00:00+00:00,65,-0.016294744499784186,0.37052437252117865,-0.04397752403953616,False,
OVERLAY,DAILY_PULLBACK_RECLAIM,5,2023-03-13T00:00:00+00:00,2023-06-14T00:00:00+00:00,94,-0.02048633838456282,-0.15141585105211164,,False,
OVERLAY,DAILY_PULLBACK_RECLAIM,6,2023-10-23T00:00:00+00:00,2024-06-02T00:00:00+00:00,224,0.1786988633403579,2.667291938689029,0.06699636464547941,True,False
OVERLAY,DAILY_PULLBACK_RECLAIM,7,2024-10-28T00:00:00+00:00,2025-01-01T00:00:00+00:00,66,-0.07370353515707595,0.37373514866458524,-0.19720793032293144,False,
STANDALONE,DAILY_COMPRESSION_BREAKOUT,1,2019-05-01T00:00:00+00:00,2019-09-20T00:00:00+00:00,143,0.0,0.6437975137033425,0.0,False,
STANDALONE,DAILY_COMPRESSION_BREAKOUT,2,2020-05-27T00:00:00+00:00,2021-05-15T00:00:00+00:00,354,0.0821936217610415,8.977084241529303,0.00915593744579134,True,False
STANDALONE,DAILY_COMPRESSION_BREAKOUT,3,2021-08-15T00:00:00+00:00,2021-09-21T00:00:00+00:00,38,-0.007034186789807384,0.33154791649728477,-0.021216199649576113,False,
STANDALONE,DAILY_COMPRESSION_BREAKOUT,4,2021-10-01T00:00:00+00:00,2021-12-04T00:00:00+00:00,65,-0.0024631005227691016,0.37052437252117865,-0.006647607297758299,False,
STANDALONE,DAILY_COMPRESSION_BREAKOUT,5,2023-03-13T00:00:00+00:00,2023-06-14T00:00:00+00:00,94,-0.010542212437458898,-0.15141585105211164,,False,
STANDALONE,DAILY_COMPRESSION_BREAKOUT,6,2023-10-23T00:00:00+00:00,2024-06-02T00:00:00+00:00,224,0.006520108368119892,2.667291938689029,0.0024444674666262885,True,False
STANDALONE,DAILY_COMPRESSION_BREAKOUT,7,2024-10-28T00:00:00+00:00,2025-01-01T00:00:00+00:00,66,0.05057920824224138,0.37373514866458524,0.13533436291172743,False,
OVERLAY,DAILY_COMPRESSION_BREAKOUT,1,2019-05-01T00:00:00+00:00,2019-09-20T00:00:00+00:00,143,-0.014018995338449192,0.6437975137033425,-0.021775472939942184,False,
OVERLAY,DAILY_COMPRESSION_BREAKOUT,2,2020-05-27T00:00:00+00:00,2021-05-15T00:00:00+00:00,354,0.5470018924004987,8.977084241529303,0.06093313571348568,True,False
OVERLAY,DAILY_COMPRESSION_BREAKOUT,3,2021-08-15T00:00:00+00:00,2021-09-21T00:00:00+00:00,38,-0.041942316160587634,0.33154791649728477,-0.12650453848028065,False,
