domain_id,symbol,candidate_count,evaluated_count,standalone_trade_count,overlay_new_trade_count,first_signal_close,last_signal_close
DAILY_PULLBACK_RECLAIM,ADA/USDT,2,2,2,1,2020-08-14T00:00:00+00:00,2024-12-12T00:00:00+00:00
DAILY_PULLBACK_RECLAIM,ATOM/USDT,2,2,2,2,2021-09-23T00:00:00+00:00,2022-01-21T00:00:00+00:00
DAILY_PULLBACK_RECLAIM,AVAX/USDT,2,2,1,0,2021-10-29T00:00:00+00:00,2021-11-01T00:00:00+00:00
DAILY_PULLBACK_RECLAIM,BTC/USDT,8,8,7,2,2020-05-13T00:00:00+00:00,2024-11-06T00:00:00+00:00
DAILY_PULLBACK_RECLAIM,ETH/USDT,12,12,11,2,2020-05-23T00:00:00+00:00,2023-06-07T00:00:00+00:00
DAILY_PULLBACK_RECLAIM,LINK/USDT,2,2,2,0,2023-10-21T00:00:00+00:00,2024-03-07T00:00:00+00:00
DAILY_PULLBACK_RECLAIM,LTC/USDT,4,4,4,4,2020-11-30T00:00:00+00:00,2023-08-02T00:00:00+00:00
DAILY_PULLBACK_RECLAIM,NEAR/USDT,1,1,1,0,2024-10-05T00:00:00+00:00,2024-10-05T00:00:00+00:00
DAILY_PULLBACK_RECLAIM,SOL/USDT,1,1,1,0,2024-06-05T00:00:00+00:00,2024-06-05T00:00:00+00:00
DAILY_PULLBACK_RECLAIM,XRP/USDT,4,4,3,2,2021-08-28T00:00:00+00:00,2024-08-20T00:00:00+00:00
DAILY_COMPRESSION_BREAKOUT,ADA/USDT,1,1,1,1,2021-04-14T00:00:00+00:00,2021-04-14T00:00:00+00:00
DAILY_COMPRESSION_BREAKOUT,ATOM/USDT,3,3,2,2,2021-04-12T00:00:00+00:00,2023-02-02T00:00:00+00:00
DAILY_COMPRESSION_BREAKOUT,AVAX/USDT,2,2,1,0,2021-11-04T00:00:00+00:00,2021-11-05T00:00:00+00:00
DAILY_COMPRESSION_BREAKOUT,BTC/USDT,7,7,5,0,2020-06-02T00:00:00+00:00,2024-11-07T00:00:00+00:00
DAILY_COMPRESSION_BREAKOUT,ETH/USDT,13,13,9,0,2020-05-29T00:00:00+00:00,2024-05-21T00:00:00+00:00
DAILY_COMPRESSION_BREAKOUT,LINK/USDT,5,5,5,2,2021-10-24T00:00:00+00:00,2024-03-03T00:00:00+00:00
DAILY_COMPRESSION_BREAKOUT,LTC/USDT,4,4,3,4,2020-10-22T00:00:00+00:00,2024-05-21T00:00:00+00:00
DAILY_COMPRESSION_BREAKOUT,NEAR/USDT,2,2,1,1,2024-02-13T00:00:00+00:00,2024-02-19T00:00:00+00:00
DAILY_COMPRESSION_BREAKOUT,SOL/USDT,5,5,4,0,2023-12-08T00:00:00+00:00,2024-11-08T00:00:00+00:00
DAILY_COMPRESSION_BREAKOUT,XRP/USDT,5,5,5,5,2021-03-21T00:00:00+00:00,2023-07-14T00:00:00+00:00
WEEKLY_TREND_ACCELERATION,ADA/USDT,1,1,1,0,2024-11-14T00:00:00+00:00,2024-11-14T00:00:00+00:00
WEEKLY_TREND_ACCELERATION,AVAX/USDT,1,1,1,0,2024-10-14T00:00:00+00:00,2024-10-14T00:00:00+00:00
WEEKLY_TREND_ACCELERATION,BTC/USDT,2,2,2,0,2023-10-23T00:00:00+00:00,2024-07-22T00:00:00+00:00
WEEKLY_TREND_ACCELERATION,LTC/USDT,4,4,4,3,2022-11-24T00:00:00+00:00,2023-06-01T00:00:00+00:00
WEEKLY_TREND_ACCELERATION,NEAR/USDT,1,1,1,1,2024-10-21T00:00:00+00:00,2024-10-21T00:00:00+00:00
WEEKLY_TREND_ACCELERATION,XRP/USDT,2,2,2,1,2021-10-07T00:00:00+00:00,2024-09-19T00:00:00+00:00
CROSS_SECTIONAL_LEADER_PULLBACK,ADA/USDT,8,8,5,5,2021-01-12T00:00:00+00:00,2021-03-18T00:00:00+00:00
CROSS_SECTIONAL_LEADER_PULLBACK,ATOM/USDT,11,11,8,7,2020-08-23T00:00:00+00:00,2022-01-11T00:00:00+00:00
CROSS_SECTIONAL_LEADER_PULLBACK,AVAX/USDT,12,12,6,2,2021-11-17T00:00:00+00:00,2024-03-21T00:00:00+00:00
CROSS_SECTIONAL_LEADER_PULLBACK,BTC/USDT,21,21,12,4,2019-08-20T00:00:00+00:00,2024-11-07T00:00:00+00:00
CROSS_SECTIONAL_LEADER_PULLBACK,ETH/USDT,26,26,16,5,2020-02-21T00:00:00+00:00,2024-06-17T00:00:00+00:00
CROSS_SECTIONAL_LEADER_PULLBACK,LINK/USDT,9,9,5,2,2023-07-27T00:00:00+00:00,2024-12-25T00:00:00+00:00
CROSS_SECTIONAL_LEADER_PULLBACK,LTC/USDT,10,10,6,6,2020-11-01T00:00:00+00:00,2024-04-03T00:00:00+00:00
