scope,variant_id,cost_multiplier,trade_count,net_return,monthly_geometric_return,maximum_drawdown,profit_factor,minimum_cash,minimum_equity,capital_feasible
STANDALONE,DAILY_PULLBACK_RECLAIM,1.0,34,0.14629693379348674,0.0018977448283350462,0.06676969272709377,2.082988420636476,85343.38694750224,99825.70102205363,True
STANDALONE,DAILY_PULLBACK_RECLAIM,1.5,34,0.14356517342892205,0.0018645510752164363,0.06822130512393709,2.0503001368118734,85314.5429061528,99816.92690262356,True
STANDALONE,DAILY_PULLBACK_RECLAIM,2.0,34,0.14083341306435782,0.0018312790373047338,0.06967494962926801,2.018369811505143,85285.69886480339,99808.1527831935,True
STANDALONE,DAILY_PULLBACK_RECLAIM,3.0,34,0.13536989233522712,0.0017644986134341956,0.07258835205778291,1.95667997534045,85228.01078210454,99790.60454433334,True
OVERLAY,DAILY_PULLBACK_RECLAIM,1.0,580,1.0243357936023378,0.009841082800499557,0.12193824458374602,1.4614987087648976,4924.12494235066,95178.94982197955,True
OVERLAY,DAILY_PULLBACK_RECLAIM,1.5,580,0.7799400721144432,0.00803851361835295,0.16014746092143262,1.3294023993019104,3982.972667682734,94429.99096855147,True
OVERLAY,DAILY_PULLBACK_RECLAIM,2.0,580,0.535544350626521,0.005973258980402685,0.20571341679749677,1.2120645907922747,3041.820393014721,93681.03211512335,True
OVERLAY,DAILY_PULLBACK_RECLAIM,3.0,580,0.046752907650704945,0.0006346922961872892,0.3294407864161757,1.016322594177803,-34296.281994986726,92183.11440826714,False
STANDALONE,DAILY_COMPRESSION_BREAKOUT,1.0,36,0.12063940147386365,0.0015828569599771747,0.06324113162783218,1.9953327451000653,71967.83949948582,99281.5878203729,True
STANDALONE,DAILY_COMPRESSION_BREAKOUT,1.5,36,0.11770629921651965,0.0015464079320210988,0.06426896403593807,1.9609669448395204,71812.26133016283,99269.45927707637,True
STANDALONE,DAILY_COMPRESSION_BREAKOUT,2.0,36,0.11477319695917476,0.001509864459845689,0.06529780560219689,1.9273132068196295,71656.68316083979,99257.33073377982,True
